comID,yearG5,sex,CAUSE,Ndeaths,YLL,mean.age,Level,county,pop,YLLper,cDeathRate,rateLCI,rateUCI,comName,oDeaths,aRate,aLCI,aUCI,aSE,YLL.adj.rate,causeName
10,2014-2018,Female,C,107,690,75.44,lev1,Butte,23620,584.4,90.62,73.45,107.8,Oroville/Palermo/Thermalito,107,63.64,51.42,78.9,6.571,663.8,Cardiovascular diseases
10,2014-2018,Female,C01,12,67,76.33,lev2,Butte,23620,56.74,10.16,4.413,15.91,Oroville/Palermo/Thermalito,12,7.04,3.383,14.39,2.221,64.78,Hypertensive heart disease
10,2014-2018,Female,C02,39,245,76.72,lev2,Butte,23620,207.5,33.03,22.66,43.4,Oroville/Palermo/Thermalito,39,22.79,15.77,33.06,3.92,236.8,Ischaemic heart disease
10,2014-2018,Female,C03,25,114,76.48,lev2,Butte,23620,96.55,21.17,12.87,29.47,Oroville/Palermo/Thermalito,25,14.48,9.121,23.17,3.054,106.3,Stroke
10,2014-2018,Female,C99,19,205,69.68,lev2,Butte,23620,173.6,16.09,8.856,23.33,Oroville/Palermo/Thermalito,19,12.29,7.094,21.01,3.022,206.6,Other or unspecified cardiovascular diseases
10,2014-2018,Female,D,104,653,76.18,lev1,Butte,23620,553,88.08,71.15,105,Oroville/Palermo/Thermalito,104,61.15,49.1,76.25,6.483,636.4,Other Chronic
10,2014-2018,Female,D05,24,40,83.79,lev2,Butte,23620,33.88,20.33,12.19,28.46,Oroville/Palermo/Thermalito,24,12.7,7.877,20.85,2.762,55.53,Alzheimer’s disease and other dementias
10,2014-2018,Female,D10,11,55,75.27,lev2,Butte,23620,46.58,9.316,3.811,14.82,Oroville/Palermo/Thermalito,11,6.615,3.055,13.91,2.181,57.38,Kidney diseases
10,2014-2018,Female,D66,20,189,70.9,lev2,Butte,23620,160.1,16.94,9.515,24.36,Oroville/Palermo/Thermalito,20,12.93,7.576,21.81,3.108,187.7,Chronic obstructive pulmonary disease
10,2014-2018,Female,E,16,215,65.25,lev1,Butte,23620,182.1,13.55,6.911,20.19,Oroville/Palermo/Thermalito,16,10.16,5.619,18.24,2.668,188.3,Injuries
10,2014-2018,Female,E01,11,138,67.27,lev2,Butte,23620,116.9,9.316,3.811,14.82,Oroville/Palermo/Thermalito,11,6.557,3.154,13.62,2.066,113.9,Unintentional injuries
10,2014-2018,Male,0,314,3268,69.39,lev0,Butte,24120,2710,260.4,231.6,289.2,Oroville/Palermo/Thermalito,314,213.7,189.8,240.4,12.53,2756,All CAUSES
10,2014-2018,Male,A,24,225,68.83,lev1,Butte,24120,186.6,19.9,11.94,27.86,Oroville/Palermo/Thermalito,24,15.82,9.951,24.88,3.347,171.9,"Communicable, maternal, perinatal and nutritional conditions"
10,2014-2018,Male,B,70,585,71.77,lev1,Butte,24120,485.1,58.05,44.45,71.65,Oroville/Palermo/Thermalito,70,47.78,36.85,61.74,5.945,502.5,Cancer/Malignant neoplasms
10,2014-2018,Male,B07,16,99,74.75,lev2,Butte,24120,82.1,13.27,6.767,19.77,Oroville/Palermo/Thermalito,16,10.37,5.811,18.22,2.672,80.94,"Trachea, bronchus and lung cancers"
10,2014-2018,Male,B99,12,164,64.17,lev2,Butte,24120,136,9.951,4.321,15.58,Oroville/Palermo/Thermalito,12,9.142,4.439,17.46,2.85,161.3,Other malignant neoplasms
10,2014-2018,Male,C,102,1173,68.48,lev1,Butte,24120,972.7,84.58,68.17,101,Oroville/Palermo/Thermalito,102,66.9,54.21,82.5,6.819,938.7,Cardiovascular diseases
10,2014-2018,Male,C01,15,252,60.67,lev2,Butte,24120,209,12.44,6.144,18.73,Oroville/Palermo/Thermalito,15,10.54,5.79,18.65,2.796,202.2,Hypertensive heart disease
10,2014-2018,Male,C02,52,596,69.27,lev2,Butte,24120,494.2,43.12,31.4,54.84,Oroville/Palermo/Thermalito,52,33.04,24.45,44.6,4.713,473.4,Ischaemic heart disease
10,2014-2018,Male,C03,17,194,68.35,lev2,Butte,24120,160.9,14.1,7.396,20.8,Oroville/Palermo/Thermalito,17,11.2,6.43,19.24,2.781,158.3,Stroke
10,2014-2018,Male,D,89,612,73.64,lev1,Butte,24120,507.5,73.8,58.47,89.14,Oroville/Palermo/Thermalito,89,58.49,46.61,73.31,6.408,496.4,Other Chronic
10,2014-2018,Male,D05,22,63,80.73,lev2,Butte,24120,52.24,18.24,10.62,25.87,Oroville/Palermo/Thermalito,22,13.49,8.421,21.67,2.896,33.56,Alzheimer’s disease and other dementias
10,2014-2018,Male,D66,15,153,68.27,lev2,Butte,24120,126.9,12.44,6.144,18.73,Oroville/Palermo/Thermalito,15,10.22,5.559,18.24,2.749,135.4,Chronic obstructive pulmonary disease
10,2014-2018,Male,E,25,639,51.6,lev1,Butte,24120,529.9,20.73,12.6,28.86,Oroville/Palermo/Thermalito,25,21.36,13.54,32.67,4.457,601.6,Injuries
10,2014-2018,Total,0,637,5394,72.33,lev0,Butte,47730,2260,266.9,246.2,287.6,Oroville/Palermo/Thermalito,637,200.8,184.8,218.2,8.338,2333,All CAUSES
10,2014-2018,Total,A,49,358,73.12,lev1,Butte,47730,150,20.53,14.78,26.28,Oroville/Palermo/Thermalito,49,14.81,10.82,20.33,2.198,138.8,"Communicable, maternal, perinatal and nutritional conditions"
10,2014-2018,Total,A07,19,238,65.58,lev2,Butte,47730,99.72,7.961,4.381,11.54,Oroville/Palermo/Thermalito,19,6.349,3.694,10.72,1.543,101.6,Respiratory infections
10,2014-2018,Total,A99,18,60,77.67,lev2,Butte,47730,25.14,7.542,4.058,11.03,Oroville/Palermo/Thermalito,18,5.28,3.099,9.104,1.265,21.01,Other Infectious Diseases
10,2014-2018,Total,B,139,963,73.71,lev1,Butte,47730,403.5,58.24,48.56,67.92,Oroville/Palermo/Thermalito,139,42.81,35.73,51.34,3.776,386.9,Cancer/Malignant neoplasms
10,2014-2018,Total,B04,11,102,69.45,lev2,Butte,47730,42.74,4.609,1.885,7.333,Oroville/Palermo/Thermalito,11,3.234,1.583,6.63,0.998,33.08,Colon and rectum cancers
10,2014-2018,Total,B06,11,138,66.27,lev2,Butte,47730,57.82,4.609,1.885,7.333,Oroville/Palermo/Thermalito,11,3.873,1.882,7.657,1.206,59.94,Pancreas cancer
10,2014-2018,Total,B07,32,190,75.28,lev2,Butte,47730,79.61,13.41,8.762,18.05,Oroville/Palermo/Thermalito,32,9.961,6.688,14.83,1.839,84.5,"Trachea, bronchus and lung cancers"
10,2014-2018,Total,B99,22,222,68.05,lev2,Butte,47730,93.02,9.218,5.366,13.07,Oroville/Palermo/Thermalito,22,7.171,4.313,11.73,1.648,96.34,Other malignant neoplasms
10,2014-2018,Total,C,209,1863,72.04,lev1,Butte,47730,780.6,87.57,75.7,99.44,Oroville/Palermo/Thermalito,209,65.52,56.58,75.89,4.726,801.9,Cardiovascular diseases
10,2014-2018,Total,C01,27,319,67.63,lev2,Butte,47730,133.7,11.31,7.046,15.58,Oroville/Palermo/Thermalito,27,8.794,5.664,13.56,1.776,137,Hypertensive heart disease
10,2014-2018,Total,C02,91,841,72.46,lev2,Butte,47730,352.4,38.13,30.29,45.96,Oroville/Palermo/Thermalito,91,27.72,22.1,34.83,3.034,355.6,Ischaemic heart disease
10,2014-2018,Total,C03,42,308,73.19,lev2,Butte,47730,129.1,17.6,12.28,22.92,Oroville/Palermo/Thermalito,42,13.08,9.306,18.41,2.093,133.9,Stroke
10,2014-2018,Total,C05,15,57,79.93,lev2,Butte,47730,23.88,6.285,3.104,9.466,Oroville/Palermo/Thermalito,15,4.382,2.421,8.022,1.154,20.38,Congestive heart failure
10,2014-2018,Total,C99,26,271,69.65,lev2,Butte,47730,113.5,10.89,6.707,15.08,Oroville/Palermo/Thermalito,26,8.862,5.665,13.72,1.817,126.6,Other or unspecified cardiovascular diseases
10,2014-2018,Total,D,193,1265,75.01,lev1,Butte,47730,530,80.87,69.46,92.28,Oroville/Palermo/Thermalito,193,59.54,51.04,69.49,4.505,556.4,Other Chronic
10,2014-2018,Total,D04,17,167,68.18,lev2,Butte,47730,69.97,7.123,3.737,10.51,Oroville/Palermo/Thermalito,17,5.281,2.967,9.298,1.356,66.12,Substance use
10,2014-2018,Total,D05,46,103,82.33,lev2,Butte,47730,43.16,19.27,13.7,24.84,Oroville/Palermo/Thermalito,46,13.07,9.485,18.16,1.978,43.62,Alzheimer’s disease and other dementias
10,2014-2018,Total,D06,13,48,78.31,lev2,Butte,47730,20.11,5.447,2.486,8.408,Oroville/Palermo/Thermalito,13,3.557,1.889,6.913,0.9899,12.93,Other neurological conditions
10,2014-2018,Total,D10,15,75,75.33,lev2,Butte,47730,31.42,6.285,3.104,9.466,Oroville/Palermo/Thermalito,15,4.583,2.469,8.415,1.251,33.27,Kidney diseases
10,2014-2018,Total,D11,17,230,65.06,lev2,Butte,47730,96.37,7.123,3.737,10.51,Oroville/Palermo/Thermalito,17,6.777,3.729,11.68,1.794,129.6,Cirrhosis of the liver
10,2014-2018,Total,D66,35,342,69.77,lev2,Butte,47730,143.3,14.66,9.807,19.52,Oroville/Palermo/Thermalito,35,11.52,7.86,16.8,2.051,156.6,Chronic obstructive pulmonary disease
10,2014-2018,Total,E,41,854,56.93,lev1,Butte,47730,357.8,17.18,11.92,22.44,Oroville/Palermo/Thermalito,41,15.8,11.11,22.18,2.606,402.5,Injuries
10,2014-2018,Total,E01,21,436,57.14,lev2,Butte,47730,182.7,8.799,5.036,12.56,Oroville/Palermo/Thermalito,21,7.561,4.525,12.33,1.753,194.4,Unintentional injuries
10,2014-2018,Total,E02,13,213,61.38,lev2,Butte,47730,89.25,5.447,2.486,8.408,Oroville/Palermo/Thermalito,13,5.412,2.765,9.925,1.585,116.9,Suicide/Self-harm
102,2014-2018,Total,0,16,135,70.88,lev0,Mono,5966,452.6,53.64,27.36,79.92,Benton/Bridgeport/Chalfant/Crowley Lake/Coleville/Hammill Valley/June Lake/Lee Vining/Paradise/Sunny Slopes/Topaz/Walker,16,39.21,20.75,77.36,10.96,655.2,All CAUSES
103,2014-2018,Total,0,17,110,71.71,lev0,Mono,8092,271.9,42.02,22.04,61.99,Mammoth Lakes,NA,NA,NA,NA,NA,NA,All CAUSES
105,2014-2018,Female,0,37,221,74.68,lev0,Monterey,8144,542.7,90.86,61.59,120.1,King City/San Lucas,37,171.2,109,259.5,35.38,584.2,All CAUSES
105,2014-2018,Female,C,19,125,74,lev1,Monterey,8144,307,46.66,25.68,67.64,King City/San Lucas,19,100.2,52.72,175.6,28.24,303.6,Cardiovascular diseases
105,2014-2018,Male,0,38,328,71.63,lev0,Monterey,8985,730.1,84.59,57.69,111.5,King City/San Lucas,38,181.6,121.7,265.5,33.69,721.3,All CAUSES
105,2014-2018,Male,B,11,31,78.18,lev1,Monterey,8985,69,24.49,10.02,38.95,King City/San Lucas,11,59.44,26.98,118.5,19.97,80.18,Cancer/Malignant neoplasms
105,2014-2018,Male,C,11,127,68.36,lev1,Monterey,8985,282.7,24.49,10.02,38.95,King City/San Lucas,11,42.52,18.93,91.12,14.57,268.4,Cardiovascular diseases
105,2014-2018,Total,0,75,549,73.13,lev0,Monterey,17130,641,87.57,67.75,107.4,King City/San Lucas,75,163,120.6,217.3,23.23,655.6,All CAUSES
105,2014-2018,Total,B,19,79,76.74,lev1,Monterey,17130,92.24,22.18,12.21,32.16,King City/San Lucas,19,41.41,21.79,73.98,11.67,108.8,Cancer/Malignant neoplasms
105,2014-2018,Total,C,30,252,71.93,lev1,Monterey,17130,294.2,35.03,22.49,47.56,King City/San Lucas,30,68.27,41.56,107.8,15.36,279.3,Cardiovascular diseases
105,2014-2018,Total,D,16,60,76.62,lev1,Monterey,17130,70.06,18.68,9.528,27.84,King City/San Lucas,16,37.89,18.82,70.28,11.49,87.06,Other Chronic
106,2014-2018,Female,0,14,149,68.79,lev0,Monterey,2163,1378,129.4,61.64,197.3,Bradley/San Ardo,14,273.8,121.7,551.8,94,1634,All CAUSES
106,2014-2018,Total,0,20,262,65.5,lev0,Monterey,4700,1115,85.11,47.81,122.4,Bradley/San Ardo,20,143.1,78.77,246.9,37.86,1333,All CAUSES
107,2014-2018,Female,0,86,574,75.62,lev0,Monterey,23650,485.4,72.73,57.36,88.1,Chualar/Gonzalez/Greenfield/Soledad,86,118.8,94.27,148.3,13.27,493.7,All CAUSES
107,2014-2018,Female,B,23,188,73.83,lev1,Monterey,23650,159,19.45,11.5,27.4,Chualar/Gonzalez/Greenfield/Soledad,23,31.77,19.85,48.71,6.812,174.3,Cancer/Malignant neoplasms
107,2014-2018,Female,C,28,93,79.61,lev1,Monterey,23650,78.65,23.68,14.91,32.45,Chualar/Gonzalez/Greenfield/Soledad,28,40.14,26.29,59.06,7.823,82.29,Cardiovascular diseases
107,2014-2018,Female,D,23,209,73.61,lev1,Monterey,23650,176.8,19.45,11.5,27.4,Chualar/Gonzalez/Greenfield/Soledad,23,29.07,18.04,45,6.316,185.8,Other Chronic
107,2014-2018,Male,0,98,1437,64.16,lev0,Monterey,33350,861.7,58.77,47.13,70.4,Chualar/Gonzalez/Greenfield/Soledad,98,100,79.27,125.4,11.22,851.2,All CAUSES
107,2014-2018,Male,B,21,149,71.71,lev1,Monterey,33350,89.35,12.59,7.207,17.98,Chualar/Gonzalez/Greenfield/Soledad,21,22.49,13.31,36.6,5.314,96.82,Cancer/Malignant neoplasms
107,2014-2018,Male,C,31,485,63.29,lev1,Monterey,33350,290.8,18.59,12.05,25.13,Chualar/Gonzalez/Greenfield/Soledad,31,32.79,21.27,49.2,6.525,294.2,Cardiovascular diseases
107,2014-2018,Male,C02,11,189,60.82,lev2,Monterey,33350,113.3,6.596,2.698,10.49,Chualar/Gonzalez/Greenfield/Soledad,11,11.63,5.165,23.45,3.996,109.2,Ischaemic heart disease
107,2014-2018,Male,D,27,286,69.11,lev1,Monterey,33350,171.5,16.19,10.08,22.3,Chualar/Gonzalez/Greenfield/Soledad,27,29.91,18.88,45.88,6.286,169.4,Other Chronic
107,2014-2018,Male,E,12,371,46.08,lev1,Monterey,33350,222.5,7.196,3.125,11.27,Chualar/Gonzalez/Greenfield/Soledad,12,10.25,4.636,20.97,3.455,213.4,Injuries
107,2014-2018,Total,0,184,2011,69.52,lev0,Monterey,57000,705.6,64.56,55.23,73.89,Chualar/Gonzalez/Greenfield/Soledad,184,109.8,93.52,128.5,8.665,699,All CAUSES
107,2014-2018,Total,A,13,218,63.77,lev1,Monterey,57000,76.49,4.561,2.082,7.041,Chualar/Gonzalez/Greenfield/Soledad,13,6.974,3.46,13.02,2.119,68.54,"Communicable, maternal, perinatal and nutritional conditions"
107,2014-2018,Total,B,44,337,72.82,lev1,Monterey,57000,118.2,15.44,10.88,20,Chualar/Gonzalez/Greenfield/Soledad,44,26.78,19.08,36.88,4.267,124.8,Cancer/Malignant neoplasms
107,2014-2018,Total,B07,11,70,72.45,lev2,Monterey,57000,24.56,3.86,1.579,6.14,Chualar/Gonzalez/Greenfield/Soledad,11,5.929,2.843,11.51,1.875,28.14,"Trachea, bronchus and lung cancers"
