,year,CAUSE,Ndeaths,YLL,m.YLL,Level,pop,YLLper,YLLrateLCI,YLLrateUCI,cDeathRate,rateLCI,rateUCI,causeName,county,stateRate,SMR,aRate,aLCI,aUCI,YLL.adj.rate
3792,2004,13,11,123.03,11.18454545,gbd36,998201,12.32517299,10.14728468,14.50306129,1.101982466,0.450764411,1.753200522,Diarrhoeal diseases,Contra Costa,1.034884994,1.06483568,1.208220471,0.600250343,2.20983923,13.17946004
3876,2006,135,11,311.76,28.34181818,gbd36,1010104,30.86414864,27.43811048,34.29018681,1.088996777,0.445452633,1.73254092,Multiple sclerosis,Contra Costa,0.830417629,1.311384462,1.200089295,0.594842952,2.189674067,33.59433381
3880,2006,156,11,325.71,29.61,gbd36,1010104,32.24519455,28.7433445,35.74704461,1.088996777,0.445452633,1.73254092,Asthma,Contra Costa,1.282871089,0.848874674,1.150037202,0.571304061,2.105749405,34.23678211
4069,2012,63,11,255.13,23.19363636,gbd36,1075665,23.71835097,20.80795676,26.62874518,1.022623214,0.418302618,1.626943811,Nutritional deficiencies,Contra Costa,1.001538084,1.02105275,1.007771386,0.501949002,1.835457501,23.90762906
4111,2013,135,11,361.88,32.89818182,gbd36,1089656,33.21048111,29.78878869,36.63217352,1.009492904,0.412931683,1.606054125,Multiple sclerosis,Contra Costa,0.872999795,1.156349532,0.967410533,0.481617641,1.769857791,32.2982242
4128,2014,10,11,395.65,35.96818182,gbd36,1102941,35.87227241,32.33758189,39.40696292,0.997333493,0.407957893,1.586709093,HIV/AIDS,Contra Costa,1.871479199,0.532911877,0.942533622,0.470015278,1.727696069,34.26855354
4183,2015,156,11,257.52,23.41090909,gbd36,1116882,23.05704631,20.24095793,25.8731347,0.984884706,0.402865733,1.566903678,Asthma,Contra Costa,1.003589137,0.981362462,0.906651878,0.452357826,1.668642249,21.53671026
4188,2015,178,11,240.74,21.88545455,gbd36,1116882,21.55464946,18.83185457,24.27744435,0.984884706,0.402865733,1.566903678,Skin diseases,Contra Costa,0.77573344,1.269617442,0.895169955,0.446753827,1.649841838,19.45642761
4294,2004,132,11,111.24,10.11272727,gbd36,28187,394.650016,321.3119039,467.988128,39.02508248,15.96315628,62.08700869,Alzheimer’s disease and other dementias,Del Norte,27.41606139,1.423438689,44.15217905,21.7774047,80.33393537,426.0503077
4367,2007,157,11,183.29,16.66272727,gbd36,28480,643.5744382,550.4041387,736.7447377,38.62359551,15.79892858,61.44826243,Other respiratory diseases,Del Norte,8.798296829,4.389894573,41.35925467,20.44053196,75.3102897,656.7535591
4511,2013,132,11,125.24,11.38545455,gbd36,27543,454.7071851,375.0713794,534.3429908,39.93755219,16.33640076,63.53870362,Alzheimer’s disease and other dementias,Del Norte,57.20363729,0.698164559,38.27645513,19.05979467,69.81546439,421.22643
4541,2014,157,11,185.54,16.86727273,gbd36,27235,681.2557371,583.230142,779.2813322,40.38920507,16.52114874,64.25726139,Other respiratory diseases,Del Norte,10.36670409,3.896050734,36.8285835,18.34070433,67.71146573,614.8752571
4548,2014,198,11,456.77,41.52454545,gbd36,27235,1677.143382,1523.33872,1830.948043,40.38920507,16.52114874,64.25726139,Unintentional injuries,Del Norte,20.09581457,2.009831695,38.93729525,19.33768089,71.23003901,1688.703476
4582,2000,46,11,317.58,28.87090909,gbd36,158288,200.6342869,178.5681315,222.7004422,6.949358132,2.842625379,11.05609088,Other infectious diseases,El Dorado,4.758706661,1.460345978,8.008065122,3.869564772,15.08259094,209.4196606
4617,2001,105,11,183.39,16.67181818,gbd36,161880,113.2876205,96.89143883,129.6838021,6.795156906,2.77954958,10.81076423,"Endocrine, blood, immune disorders",El Dorado,6.078914275,1.117824105,8.293655004,4.057546064,15.34852798,128.2578812
4713,2004,105,11,276.32,25.12,gbd36,170304,162.2510334,143.1203977,181.3816692,6.459037956,2.642060586,10.27601533,"Endocrine, blood, immune disorders",El Dorado,6.307204492,1.024073021,5.968331353,2.938048882,11.37029922,140.9375262
4818,2007,179,11,213.4,19.4,gbd36,177195,120.4322921,104.2740603,136.590524,6.207850109,2.539312543,9.876387674,Musculoskeletal diseases,El Dorado,3.62492018,1.712548084,6.158817701,3.053873492,11.58547588,114.4462353
4914,2011,13,11,149.92,13.62909091,gbd36,180837,82.90338813,69.63278737,96.1739889,6.08282597,2.488171591,9.677480349,Diarrhoeal diseases,El Dorado,3.182485638,1.911344359,5.473167441,2.723116581,10.40607191,71.4796618
4925,2011,110,11,467.14,42.46727273,gbd36,180837,258.3210294,234.8957745,281.7462843,6.08282597,2.488171591,9.677480349,Mental and substance use disorders,El Dorado,7.859332755,0.773962137,6.320781774,3.076010298,11.88409563,286.5892992
4929,2011,138,11,257.96,23.45090909,gbd36,180837,142.6477988,125.2402757,160.055322,6.08282597,2.488171591,9.677480349,Other neurological conditions,El Dorado,4.950238294,1.228794577,5.168673973,2.56814281,9.926622944,114.9630457
4945,2012,13,11,253.71,23.06454545,gbd36,181098,140.095418,122.8567688,157.3340671,6.074059349,2.484585617,9.663533081,Diarrhoeal diseases,El Dorado,3.138678405,1.935228324,5.581242249,2.75061157,10.64926832,146.2521286
4952,2012,103,11,202.78,18.43454545,gbd36,181098,111.9725232,96.56094915,127.3840972,6.074059349,2.484585617,9.663533081,Other neoplasms,El Dorado,3.598702459,1.687847056,5.529453496,2.750563669,10.52421924,102.9496751
4954,2012,105,11,85.45,7.768181818,gbd36,181098,47.1843974,37.18001069,57.1887841,6.074059349,2.484585617,9.663533081,"Endocrine, blood, immune disorders",El Dorado,7.633770592,0.79568272,5.630385454,2.808146848,10.67336943,43.15064734
4987,2013,133,11,126.87,11.53363636,gbd36,182280,69.60171165,57.49047358,81.71294972,6.034671933,2.468474249,9.600869618,Parkinson disease,El Dorado,6.611344713,0.912775267,5.18916744,2.585354675,9.982958587,58.34483374
4989,2013,138,11,271.88,24.71636364,gbd36,182280,149.1551459,131.4255964,166.8846955,6.034671933,2.468474249,9.600869618,Other neurological conditions,El Dorado,5.060792839,1.192436072,5.547314343,2.700408209,10.65719769,153.0035287
5006,2014,46,11,163.96,14.90545455,gbd36,182547,89.81796469,76.06987535,103.566054,6.025845399,2.464863767,9.58682703,Other infectious diseases,El Dorado,4.829707009,1.247662723,4.61197071,2.295235923,9.093552233,66.26385705
5261,2005,178,11,260.53,23.68454545,gbd36,871910,29.88037756,26.25205991,33.50869522,1.261598101,0.516054967,2.007141235,Skin diseases,Fresno,0.794762747,1.587389577,1.645210926,0.813685126,3.009113333,37.58159878
5401,2009,178,11,292.81,26.61909091,gbd36,923895,31.69299542,28.06289677,35.32309406,1.190611487,0.48701799,1.894204984,Skin diseases,Fresno,0.69584535,1.711028876,1.452789404,0.722610106,2.650182095,37.86410198
5507,2012,178,11,344.85,31.35,gbd36,950634,36.27579068,32.44710369,40.10447768,1.15712251,0.47331937,1.84092565,Skin diseases,Fresno,0.6808356,1.699562287,1.344116321,0.666343114,2.443245025,38.44784214
5621,2000,48,11,83.34,7.576363636,gbd36,26555,313.8392017,246.4595854,381.2188179,41.42346074,16.94420961,65.90271188,Lower respiratory infections,Glenn,24.67880568,1.678503461,47.80036976,23.637035,86.93185744,342.9780733
5630,2000,155,11,194.32,17.66545455,gbd36,26555,731.7642629,628.8772553,834.6512704,41.42346074,16.94420961,65.90271188,Chronic obstructive pulmonary disease,Glenn,35.56089137,1.164860023,46.41893255,22.96108479,84.65470205,814.9947694
5634,2000,168,11,168.72,15.33818182,gbd36,26555,635.3605724,539.4900556,731.2310892,41.42346074,16.94420961,65.90271188,Genitourinary diseases,Glenn,12.14381941,3.411073514,45.21652924,22.24714208,82.89244488,715.22706
5637,2000,198,11,368.05,33.45909091,gbd36,26555,1385.991339,1244.393966,1527.588712,41.42346074,16.94420961,65.90271188,Unintentional injuries,Glenn,21.02595422,1.97011086,42.34539792,20.90461208,78.06829092,1407.25254
5650,2001,138,11,132.54,12.04909091,gbd36,26611,498.0647101,413.2716362,582.8577839,41.3362895,16.90855233,65.76402668,Other neurological conditions,Glenn,4.314348596,9.581119509,45.73674833,22.64148701,83.40665887,520.8118553
5691,2003,48,11,156.08,14.18909091,gbd36,27156,574.7532774,484.5845543,664.9220004,40.50670202,16.56921071,64.44419332,Lower respiratory infections,Glenn,23.22760384,1.743903602,42.42583179,21.01645769,77.52764483,574.6820142
5715,2004,48,11,231.6,21.05454545,gbd36,27264,849.471831,740.0691927,958.8744693,40.34624413,16.50357563,64.18891263,Lower respiratory infections,Glenn,20.5914144,1.959372161,44.76585979,22.2119279,81.04178329,979.1043722
5839,2009,132,11,67.51,6.137272727,gbd36,28056,240.6258911,183.226618,298.0251641,39.20729969,16.03769198,62.3769074,Alzheimer’s disease and other dementias,Glenn,43.68722086,0.897454654,41.26261516,20.59814882,74.48539352,253.2399226
5970,2014,198,11,302.64,27.51272727,gbd36,28828,1049.812682,931.5366513,1168.088713,38.15734702,15.60821028,60.70648376,Unintentional injuries,Glenn,20.09581457,1.898770855,37.91511294,18.83010169,69.16840437,1123.404339
5989,2015,157,11,154.9,14.08181818,gbd36,28960,534.8756906,450.6440534,619.1073279,37.98342541,15.53706789,60.42978294,Other respiratory diseases,Glenn,11.36974326,3.340746097,32.94392859,16.43793251,61.0337029,461.910788
6117,2003,209,11,745.4,67.76363636,gbd36,130179,572.5961945,531.4905129,613.7018761,8.449903594,3.456421436,13.44338575,Interpersonal violence,Humboldt,7.010667291,1.205292341,8.914346617,4.428421323,16.25223906,607.6065008
6155,2005,46,11,267.62,24.32909091,gbd36,131689,203.2212258,178.8735296,227.568922,8.353013539,3.416788692,13.28923839,Other infectious diseases,Humboldt,6.027413979,1.385837039,8.03449562,3.983119715,14.79981371,187.943424
6201,2006,138,11,407.78,37.07090909,gbd36,132226,308.3962307,278.463648,338.3288134,8.319090043,3.402912332,13.23526775,Other neurological conditions,Humboldt,4.585229569,1.814323562,8.363497111,4.139918984,15.32433307,309.8873341
6231,2007,133,11,135.3,12.3,gbd36,132657,101.9923562,84.8066724,119.1780401,8.292061482,3.391856337,13.19226663,Parkinson disease,Humboldt,5.422333431,1.529242269,8.087985395,4.023791397,14.80679313,99.60045511
6307,2009,209,11,586.5,53.31818182,gbd36,133766,438.4522225,402.967913,473.936532,8.223315342,3.363735823,13.08289486,Interpersonal violence,Humboldt,5.636886751,1.458839907,8.222517859,4.080474233,15.06580952,438.8126396
6356,2011,133,11,166.76,15.16,gbd36,135332,123.2228889,104.5206528,141.9251249,8.128158898,3.32481221,12.93150559,Parkinson disease,Humboldt,6.147320047,1.322228034,7.541203624,3.759555213,13.85574494,110.8145536
6374,2012,46,11,208.06,18.91454545,gbd36,134840,154.3013942,133.335005,175.2677835,8.157816672,3.336943682,12.97868966,Other infectious diseases,Humboldt,4.902542064,1.663997282,7.410997683,3.693687565,13.63373258,136.5288581
6417,2013,133,11,140.74,12.79454545,gbd36,134923,104.311348,87.07795165,121.5447443,8.152798263,3.334890909,12.97070562,Parkinson disease,Humboldt,6.611344713,1.233152803,7.597827309,3.790503441,13.9307043,95.67489072
6495,2015,209,11,624.93,56.81181818,gbd36,135090,462.6027093,426.3332922,498.8721264,8.142719668,3.330768274,12.95467106,Interpersonal violence,Humboldt,5.053788153,1.611211119,8.307155742,4.126989907,15.1314189,475.227788
6501,2000,46,11,267.71,24.33727273,gbd36,143151,187.0123157,164.6103565,209.4142749,7.684193614,3.143208822,12.22517841,Other infectious diseases,Imperial,4.758706661,1.614765137,11.57104597,5.447619691,22.7547753,246.322721
6531,2001,48,11,209.24,19.02181818,gbd36,144726,144.5766483,124.9871241,164.1661725,7.600569352,3.109002433,12.09213627,Lower respiratory infections,Imperial,23.75064838,0.320015236,12.97055933,6.052604171,25.07465107,187.1025241
6537,2001,105,11,327.52,29.77454545,gbd36,144726,226.3034976,201.7947881,250.8122072,7.600569352,3.109002433,12.09213627,"Endocrine, blood, immune disorders",Imperial,6.078914275,1.250316917,9.989639309,4.773145485,19.9688203,262.7309809
6577,2002,157,11,239.06,21.73272727,gbd36,147185,162.4214424,141.8323124,183.0105724,7.473587662,3.057060747,11.89011458,Other respiratory diseases,Imperial,8.231656443,0.907908112,10.61490705,5.049304716,20.65180364,212.8079164
6643,2004,208,11,440.54,40.04909091,gbd36,153937,286.1820095,259.4582382,312.9057808,7.145780417,2.922971645,11.36858919,Self-harm,Imperial,9.409062488,0.759457218,9.312653112,4.404648992,18.18404976,311.2915355
6673,2005,208,11,660.91,60.08272727,gbd36,157657,419.2075201,387.2475773,451.167463,6.977171962,2.854002588,11.10034134,Self-harm,Imperial,8.672917948,0.804478032,6.962438674,3.431254224,13.87807907,406.2213803
6704,2006,208,11,485.23,44.11181818,gbd36,162532,298.5442867,271.9809251,325.1076482,6.767898014,2.768399368,10.76739666,Self-harm,Imperial,8.933196957,0.75761209,7.917925919,3.836255739,15.29786927,313.0215587
6728,2007,167,11,253.75,23.06818182,gbd36,166894,152.0426139,133.3353448,170.7498829,6.591009863,2.696043513,10.48597621,Other digestive diseases,Imperial,8.765467363,0.751929086,8.035228637,3.972640244,15.25478524,190.830274
6731,2007,179,11,244.94,22.26727273,gbd36,166894,146.7638142,128.3841647,165.1434636,6.591009863,2.696043513,10.48597621,Musculoskeletal diseases,Imperial,3.62492018,1.818249654,8.589248109,4.210532659,16.20770544,190.5816626
6874,2012,105,11,299.47,27.22454545,gbd36,179414,166.9156253,148.0109848,185.8202658,6.131071154,2.507906217,9.75423609,"Endocrine, blood, immune disorders",Imperial,7.633770592,0.803151088,6.66953011,3.32190683,12.17623281,182.8061336
6875,2012,110,11,411.46,37.40545455,gbd36,179414,229.3355034,207.176227,251.4947797,6.131071154,2.507906217,9.75423609,Mental and substance use disorders,Imperial,7.851953429,0.780833866,6.936369526,3.45153609,12.61675969,251.8521619
6886,2012,179,11,323.84,29.44,gbd36,179414,180.4987348,160.8399346,200.1575349,6.131071154,2.507906217,9.75423609,Musculoskeletal diseases,Imperial,3.356861242,1.826429725,7.002231451,3.484217123,12.72444479,200.6093873
6889,2012,208,11,525.11,47.73727273,gbd36,179414,292.6806158,267.6473848,317.7138468,6.131071154,2.507906217,9.75423609,Self-harm,Imperial,10.05481147,0.609764904,6.449449312,3.20728221,11.82675236,299.4200587
6939,2014,138,11,211.19,19.19909091,gbd36,183179,115.2916,99.74236305,130.840837,6.005055165,2.45635955,9.553750779,Other neurological conditions,Imperial,5.0026575,1.200373035,6.899411938,3.437717851,12.42371656,133.3703642
7040,2002,155,11,171.01,15.54636364,gbd36,18415,928.6451263,789.4618288,1067.828424,59.73391257,24.43407473,95.03375042,Chronic obstructive pulmonary disease,Inyo,34.52945178,1.729940948,41.73172874,20.47224972,86.19030205,673.0268143
7044,2002,168,11,166.08,15.09818182,gbd36,18415,901.8734727,764.7110852,1039.03586,59.73391257,24.43407473,95.03375042,Genitourinary diseases,Inyo,11.9095697,5.015623072,43.09341598,21.18036509,88.23761321,691.9372279
7258,2012,132,11,99.56,9.050909091,gbd36,18569,536.1624212,430.844563,641.4802795,59.23851581,24.23143336,94.24559825,Alzheimer’s disease and other dementias,Inyo,54.41953126,1.088552482,36.08120172,17.98541237,72.86773685,336.0238563
7305,2014,155,11,206.13,18.73909091,gbd36,18626,1106.678836,955.601578,1257.756094,59.05723183,24.1572794,93.95718425,Chronic obstructive pulmonary disease,Inyo,31.51829106,1.873744732,36.93752901,18.38597203,75.48605463,718.5512649
7334,2000,10,11,543.74,49.43090909,gbd36,664373,81.84257939,74.96347725,88.72168154,1.655696424,0.677260343,2.634132504,HIV/AIDS,Kern,4.273424461,0.387440199,1.608060055,0.795586905,3.18064198,78.62133368
7627,2008,156,11,410.96,37.36,gbd36,819891,50.12373596,45.27764292,54.969829,1.341641755,0.548796713,2.134486796,Asthma,Kern,1.191115031,1.126374632,1.670714554,0.811278615,3.164045157,51.28203085
7693,2010,135,11,352.4,32.03636364,gbd36,841887,41.85834916,37.48803923,46.2286591,1.306588651,0.53445829,2.078719013,Multiple sclerosis,Kern,0.857137125,1.524363621,1.68029671,0.827247899,3.13359121,49.75645566
7905,2000,208,11,571.18,51.92545455,gbd36,129764,440.1683055,404.0705364,476.2660747,8.476927345,3.467475464,13.48637923,Self-harm,Kings,9.155657501,0.925867677,9.498121553,4.42151215,19.10863333,423.0125995
7925,2001,157,11,291.53,26.50272727,gbd36,132441,220.1206575,194.8528671,245.3884479,8.305585128,3.397388166,13.21378209,Other respiratory diseases,Kings,8.825725872,0.941065386,14.51906254,7.159086385,26.68826291,370.4450005
7926,2001,160,11,375.38,34.12545455,gbd36,132441,283.4318678,254.7596554,312.1040801,8.305585128,3.397388166,13.21378209,Cirrhosis of the liver,Kings,10.75255046,0.772429309,14.04905932,6.859212798,26.03741076,453.9438578
7989,2003,157,11,206.86,18.80545455,gbd36,138772,149.0646528,128.7511647,169.3781409,7.926671086,3.242393898,12.61094827,Other respiratory diseases,Kings,8.36702372,0.947370457,14.70437257,7.302568282,26.69120957,272.1701268
8066,2006,58,11,1011.34,91.94,gbd36,147496,685.6728318,643.4141018,727.9315618,7.457829365,3.050614837,11.86504389,Neonatal conditions,Kings,3.898272792,1.913111207,5.901625714,2.946070293,12.46145313,542.5954682
8071,2006,105,11,382.68,34.78909091,gbd36,147496,259.4511038,233.4563486,285.4458589,7.457829365,3.050614837,11.86504389,"Endocrine, blood, immune disorders",Kings,6.566092884,1.1358093,10.48381857,5.002285779,20.02592198,310.0647196
8101,2007,105,11,461.33,41.93909091,gbd36,150378,306.7802471,278.7859456,334.7745486,7.314899786,2.99214969,11.63764988,"Endocrine, blood, immune disorders",Kings,6.812114149,1.073807577,9.136668682,4.367665196,17.79632483,336.3534138
8156,2009,46,11,242.56,22.05090909,gbd36,151794,159.7955123,139.6859288,179.9050959,7.246663241,2.964237625,11.52908886,Other infectious diseases,Kings,4.585027501,1.580505949,12.03991916,5.962433763,22.11351517,251.4542149
8191,2010,103,11,326.36,29.66909091,gbd36,152175,214.463611,191.1959224,237.7312996,7.228519796,2.956816074,11.50022352,Other neoplasms,Kings,3.62676146,1.993105936,10.51223782,5.074833769,19.72078044,251.6389204
8194,2010,110,11,540.4,49.12727273,gbd36,152175,355.1174634,325.1767289,385.058198,7.228519796,2.956816074,11.50022352,Mental and substance use disorders,Kings,7.882982997,0.916977723,7.699681472,3.77821503,15.03456506,362.3135397
8238,2011,208,11,495.26,45.02363636,gbd36,151382,327.1591074,298.3459747,355.9722401,7.2663857,2.97230507,11.56046633,Self-harm,Kings,10.45522179,0.695000627,8.556856107,4.155220081,16.37998183,347.0446739
8239,2011,209,11,533.58,48.50727273,gbd36,151382,352.4725529,322.5654996,382.3796061,7.2663857,2.97230507,11.56046633,Interpersonal violence,Kings,5.205049487,1.396026247,8.046548573,3.876254371,15.6057322,348.4879105
8242,2012,21,11,349.66,31.78727273,gbd36,149973,233.1486334,208.7110651,257.5862017,7.334653571,3.000229949,11.66907719,Hepatitis,Kings,3.609217294,2.032200606,10.11787003,4.969216188,18.78744449,300.0910374
8243,2012,46,11,401.63,36.51181818,gbd36,149973,267.8015376,241.6107786,293.9922966,7.334653571,3.000229949,11.66907719,Other infectious diseases,Kings,4.902542064,1.49609192,9.601232945,4.685465266,17.99615543,311.0654434
8320,2014,157,11,172.01,15.63727273,gbd36,149433,115.1084432,97.90646384,132.3104227,7.361158512,3.011071758,11.71124527,Other respiratory diseases,Kings,10.36670409,0.710077036,10.94768111,5.439900054,19.8561966,164.6327092
8372,2000,132,11,115.24,10.47636364,gbd36,58479,197.0621933,161.0831361,233.0412504,18.81017117,7.69427463,29.92606772,Alzheimer’s disease and other dementias,Lake,19.9024524,0.94511826,16.57825528,8.061591482,32.22411497,158.2430383
8381,2000,168,11,176,16,gbd36,58479,300.9627388,256.4991526,345.4263249,18.81017117,7.69427463,29.92606772,Genitourinary diseases,Lake,12.14381941,1.548950173,16.1823234,7.875916354,31.57666977,243.0119202
8400,2001,132,11,107.94,9.812727273,gbd36,60046,179.7621823,145.8500408,213.6743238,18.31928855,7.493479767,29.14509732,Alzheimer’s disease and other dementias,Lake,21.54276818,0.850368365,16.09140349,7.897580861,31.1938992,151.7022475
8431,2002,157,11,174.27,15.84272727,gbd36,61005,285.6651094,243.2525994,328.0776194,18.03130891,7.375682093,28.68693573,Other respiratory diseases,Lake,8.231656443,2.190483657,16.52244785,8.192941246,31.70821427,259.5072636
8445,2003,46,11,219.63,19.96636364,gbd36,61981,354.3505268,307.4869596,401.2140939,17.7473742,7.259538989,28.2352094,Other infectious diseases,Lake,5.77299205,3.074207281,13.2633153,6.507898923,26.57411193,269.6720965
