Year,County,Disease,Cases
2017,Alameda,Salmonellosis,259
2017,Alameda,Scombroid Fish Poisoning,0
2017,Alameda,Shiga Toxin Positive Feces (without culture confirmation),17
2017,Alameda,Shigellosis,144
2017,Alameda,Spotted Fever Rickettsiosis,4
2017,Alameda,Streptococcal Infection (cases in food and dairy workers),1
2017,Alameda,TB,128
2017,Alameda,Tetanus,1
2017,Alameda,Trichinosis,3
2017,Alameda,Tularemia,1
2017,Alameda,"Typhoid Fever, case",12
2017,Alameda,Typhus Fever,1
2017,Alameda,Varicella Hospitalizations,2
2017,Alameda,Vibrio Infection (non-Cholera),6
2017,Alameda,Yellow Fever,0
2017,Alameda,Yersiniosis,8
2017,Alameda,Zika Virus Infection,10
2017,Alpine,Amebiasis,0
2017,Alpine,Anaplasmosis,0
2017,Alpine,Anthrax,0
2017,Alpine,Babesiosis,0
2017,Alpine,"Botulism, Foodborne",0
2017,Alpine,"Botulism, Other",0
2017,Alpine,"Botulism, Wound",0
2017,Alpine,Brucellosis,0
2017,Alpine,Campylobacteriosis,0
2017,Alpine,Chikungunya Virus Infection,0
2017,Alpine,Chlamydia,9
2017,Alpine,Cholera,0
2017,Alpine,Ciguatera Fish Poisoning,0
2017,Alpine,Coccidioidomycosis,0
2017,Alpine,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,0
2017,Alpine,Cryptosporidiosis,0
2017,Alpine,Cyclosporiasis,0
2017,Alpine,Cysticercosis or Taeniasis,0
2017,Alpine,Dengue,0
2017,Alpine,Diphtheria,0
2017,Alpine,Domoic Acid Poisoning,0
2017,Alpine,E. coli O157,1
2017,Alpine,E. coli Other STEC (non-O157),0
2017,Alpine,Early Syphilis,0
2017,Alpine,Ehrlichiosis,0
2017,Alpine,Flavivirus Infection of Undetermined Species,0
2017,Alpine,Giardiasis,0
2017,Alpine,Gonorrhea,0
2017,Alpine,Hantavirus Infection,0
2017,Alpine,Hemolytic Uremic Syndrome,0
2017,Alpine,Hepatitis A,0
2017,Alpine,"Hepatitis B, Acute",0
2017,Alpine,"Hepatitis C, Acute",0
2017,Alpine,"Hepatitis E, acute infection",0
2017,Alpine,Invasive Meningococcal Disease,0
2017,Alpine,Legionellosis,0
2017,Alpine,Leprosy,0
2017,Alpine,Leptospirosis,0
2017,Alpine,Listeriosis,0
2017,Alpine,Lyme Disease,0
2017,Alpine,Malaria,0
2017,Alpine,Measles,0
2017,Alpine,Mumps,0
2017,Alpine,Paralytic Shellfish Poisoning,0
2017,Alpine,Pertussis,0
2017,Alpine,"Plague, human",0
2017,Alpine,Psittacosis,0
2017,Alpine,Q Fever,0
2017,Alpine,"Rabies, human",0
2017,Alpine,Relapsing Fever,0
2017,Alpine,Rubella,0
2017,Alpine,Salmonellosis,0
2017,Alpine,Scombroid Fish Poisoning,0
2017,Alpine,Shiga Toxin Positive Feces (without culture confirmation),0
2017,Alpine,Shigellosis,0
2017,Alpine,Spotted Fever Rickettsiosis,0
2017,Alpine,Streptococcal Infection (cases in food and dairy workers),0
2017,Alpine,TB,0
2017,Alpine,Tetanus,0
2017,Alpine,Trichinosis,0
2017,Alpine,Tularemia,0
2017,Alpine,"Typhoid Fever, case",0
2017,Alpine,Typhus Fever,0
2017,Alpine,Varicella Hospitalizations,0
2017,Alpine,Vibrio Infection (non-Cholera),0
2017,Alpine,Yellow Fever,0
2017,Alpine,Yersiniosis,0
2017,Alpine,Zika Virus Infection,0
2017,Amador,Amebiasis,0
2017,Amador,Anaplasmosis,0
2017,Amador,Anthrax,0
2017,Amador,Babesiosis,0
2017,Amador,"Botulism, Foodborne",0
2017,Amador,"Botulism, Other",0
2017,Amador,"Botulism, Wound",0
2017,Amador,Brucellosis,0
2017,Amador,Campylobacteriosis,6
2017,Amador,Chikungunya Virus Infection,0
2017,Amador,Chlamydia,66
2017,Amador,Cholera,0
2017,Amador,Ciguatera Fish Poisoning,0
2017,Amador,Coccidioidomycosis,1
2017,Amador,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,0
2017,Amador,Cryptosporidiosis,1
2017,Amador,Cyclosporiasis,0
2017,Amador,Cysticercosis or Taeniasis,0
2017,Amador,Dengue,0
2017,Amador,Diphtheria,0
2017,Amador,Domoic Acid Poisoning,0
2017,Amador,E. coli O157,1
2017,Amador,E. coli Other STEC (non-O157),0
2017,Amador,Early Syphilis,4
2017,Amador,Ehrlichiosis,0
2017,Amador,Flavivirus Infection of Undetermined Species,0
2017,Amador,Giardiasis,3
2017,Amador,Gonorrhea,20
2017,Amador,Hantavirus Infection,0
2017,Amador,Hemolytic Uremic Syndrome,0
2017,Amador,Hepatitis A,0
2017,Amador,"Hepatitis B, Acute",0
2017,Amador,"Hepatitis C, Acute",5
2017,Amador,"Hepatitis E, acute infection",0
2017,Amador,Invasive Meningococcal Disease,0
2017,Amador,Legionellosis,0
2017,Amador,Leprosy,0
2017,Amador,Leptospirosis,0
2017,Amador,Listeriosis,0
2017,Amador,Lyme Disease,0
2017,Amador,Malaria,0
2017,Amador,Measles,0
2017,Amador,Mumps,0
2017,Amador,Paralytic Shellfish Poisoning,0
2017,Amador,Pertussis,0
2017,Amador,"Plague, human",0
2017,Amador,Psittacosis,0
2017,Amador,Q Fever,0
2017,Amador,"Rabies, human",0
2017,Amador,Relapsing Fever,0
2017,Amador,Rubella,0
2017,Amador,Salmonellosis,3
2017,Amador,Scombroid Fish Poisoning,0
2017,Amador,Shiga Toxin Positive Feces (without culture confirmation),0
2017,Amador,Shigellosis,0
2017,Amador,Spotted Fever Rickettsiosis,0
2017,Amador,Streptococcal Infection (cases in food and dairy workers),0
2017,Amador,TB,0
2017,Amador,Tetanus,0
2017,Amador,Trichinosis,0
2017,Amador,Tularemia,0
2017,Amador,"Typhoid Fever, case",0
2017,Amador,Typhus Fever,0
2017,Amador,Varicella Hospitalizations,0
2017,Amador,Vibrio Infection (non-Cholera),1
2017,Amador,Yellow Fever,0
2017,Amador,Yersiniosis,1
2017,Amador,Zika Virus Infection,0
2017,Butte,Amebiasis,0
2017,Butte,Anaplasmosis,0
2017,Butte,Anthrax,0
2017,Butte,Babesiosis,0
2017,Butte,"Botulism, Foodborne",0
2017,Butte,"Botulism, Other",0
2017,Butte,"Botulism, Wound",0
2017,Butte,Brucellosis,0
2017,Butte,Campylobacteriosis,97
2017,Butte,Chikungunya Virus Infection,0
2017,Butte,Chlamydia,1210
2017,Butte,Cholera,0
2017,Butte,Ciguatera Fish Poisoning,0
2017,Butte,Coccidioidomycosis,4
2017,Butte,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,1
2017,Butte,Cryptosporidiosis,9
2017,Butte,Cyclosporiasis,0
2017,Butte,Cysticercosis or Taeniasis,1
2017,Butte,Dengue,1
2017,Butte,Diphtheria,0
2017,Butte,Domoic Acid Poisoning,0
2017,Butte,E. coli O157,4
2017,Butte,E. coli Other STEC (non-O157),3
2017,Butte,Early Syphilis,76
2017,Butte,Ehrlichiosis,0
2017,Butte,Flavivirus Infection of Undetermined Species,0
2017,Butte,Giardiasis,28
2017,Butte,Gonorrhea,307
2017,Butte,Hantavirus Infection,0
2017,Butte,Hemolytic Uremic Syndrome,0
2017,Butte,Hepatitis A,1
2017,Butte,"Hepatitis B, Acute",1
2017,Butte,"Hepatitis C, Acute",5
2017,Butte,"Hepatitis E, acute infection",0
2017,Butte,Invasive Meningococcal Disease,1
2017,Butte,Legionellosis,1
2017,Butte,Leprosy,0
2017,Butte,Leptospirosis,0
2017,Butte,Listeriosis,0
2017,Butte,Lyme Disease,0
2017,Butte,Malaria,0
2017,Butte,Measles,0
2017,Butte,Mumps,0
2017,Butte,Paralytic Shellfish Poisoning,0
2017,Butte,Pertussis,4
2017,Butte,"Plague, human",0
2017,Butte,Psittacosis,0
2017,Butte,Q Fever,0
2017,Butte,"Rabies, human",0
2017,Butte,Relapsing Fever,0
2017,Butte,Rubella,0
2017,Butte,Salmonellosis,40
2017,Butte,Scombroid Fish Poisoning,0
2017,Butte,Shiga Toxin Positive Feces (without culture confirmation),0
2017,Butte,Shigellosis,4
2017,Butte,Spotted Fever Rickettsiosis,0
2017,Butte,Streptococcal Infection (cases in food and dairy workers),0
2017,Butte,TB,2
2017,Butte,Tetanus,0
2017,Butte,Trichinosis,0
2017,Butte,Tularemia,0
2017,Butte,"Typhoid Fever, case",0
2017,Butte,Typhus Fever,0
2017,Butte,Varicella Hospitalizations,0
2017,Butte,Vibrio Infection (non-Cholera),0
2017,Butte,Yellow Fever,0
2017,Butte,Yersiniosis,0
2017,Butte,Zika Virus Infection,0
2017,Calaveras,Amebiasis,0
2017,Calaveras,Anaplasmosis,0
2017,Calaveras,Anthrax,0
2017,Calaveras,Babesiosis,0
2017,Calaveras,"Botulism, Foodborne",0
2017,Calaveras,"Botulism, Other",0
2017,Calaveras,"Botulism, Wound",0
2017,Calaveras,Brucellosis,0
2017,Calaveras,Campylobacteriosis,14
2017,Calaveras,Chikungunya Virus Infection,0
2017,Calaveras,Chlamydia,76
2017,Calaveras,Cholera,0
2017,Calaveras,Ciguatera Fish Poisoning,0
2017,Calaveras,Coccidioidomycosis,0
2017,Calaveras,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,0
2017,Calaveras,Cryptosporidiosis,0
2017,Calaveras,Cyclosporiasis,0
2017,Calaveras,Cysticercosis or Taeniasis,0
2017,Calaveras,Dengue,0
2017,Calaveras,Diphtheria,0
2017,Calaveras,Domoic Acid Poisoning,0
2017,Calaveras,E. coli O157,1
2017,Calaveras,E. coli Other STEC (non-O157),0
2017,Calaveras,Early Syphilis,4
2017,Calaveras,Ehrlichiosis,0
2017,Calaveras,Flavivirus Infection of Undetermined Species,0
2017,Calaveras,Giardiasis,3
2017,Calaveras,Gonorrhea,20
2017,Calaveras,Hantavirus Infection,0
2017,Calaveras,Hemolytic Uremic Syndrome,1
2017,Calaveras,Hepatitis A,0
2017,Calaveras,"Hepatitis B, Acute",0
2017,Calaveras,"Hepatitis C, Acute",0
2017,Calaveras,"Hepatitis E, acute infection",1
2017,Calaveras,Invasive Meningococcal Disease,0
2017,Calaveras,Legionellosis,0
2017,Calaveras,Leprosy,0
2017,Calaveras,Leptospirosis,0
2017,Calaveras,Listeriosis,0
2017,Calaveras,Lyme Disease,1
2017,Calaveras,Malaria,0
2017,Calaveras,Measles,0
2017,Calaveras,Mumps,0
2017,Calaveras,Paralytic Shellfish Poisoning,0
2017,Calaveras,Pertussis,1
2017,Calaveras,"Plague, human",0
2017,Calaveras,Psittacosis,0
2017,Calaveras,Q Fever,0
2017,Calaveras,"Rabies, human",0
2017,Calaveras,Relapsing Fever,0
2017,Calaveras,Rubella,0
2017,Calaveras,Salmonellosis,7
2017,Calaveras,Scombroid Fish Poisoning,0
2017,Calaveras,Shiga Toxin Positive Feces (without culture confirmation),0
2017,Calaveras,Shigellosis,2
2017,Calaveras,Spotted Fever Rickettsiosis,0
2017,Calaveras,Streptococcal Infection (cases in food and dairy workers),1
2017,Calaveras,TB,2
2017,Calaveras,Tetanus,0
2017,Calaveras,Trichinosis,0
2017,Calaveras,Tularemia,0
2017,Calaveras,"Typhoid Fever, case",0
2017,Calaveras,Typhus Fever,0
2017,Calaveras,Varicella Hospitalizations,0
2017,Calaveras,Vibrio Infection (non-Cholera),0
2017,Calaveras,Yellow Fever,0
2017,Calaveras,Yersiniosis,0
2017,Calaveras,Zika Virus Infection,0
2017,CALIFORNIA,Amebiasis,270
2017,CALIFORNIA,Anaplasmosis,8
2017,CALIFORNIA,Anthrax,0
2017,CALIFORNIA,Babesiosis,6
2017,CALIFORNIA,"Botulism, Foodborne",15
2017,CALIFORNIA,"Botulism, Other",2
2017,CALIFORNIA,"Botulism, Wound",22
2017,CALIFORNIA,Brucellosis,29
2017,CALIFORNIA,Campylobacteriosis,9488
2017,CALIFORNIA,Chikungunya Virus Infection,36
2017,CALIFORNIA,Chlamydia,218728
2017,CALIFORNIA,Cholera,0
2017,CALIFORNIA,Ciguatera Fish Poisoning,3
2017,CALIFORNIA,Coccidioidomycosis,7658
2017,CALIFORNIA,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,36
2017,CALIFORNIA,Cryptosporidiosis,654
2017,CALIFORNIA,Cyclosporiasis,63
2017,CALIFORNIA,Cysticercosis or Taeniasis,27
2017,CALIFORNIA,Dengue,132
2017,CALIFORNIA,Diphtheria,0
2017,CALIFORNIA,Domoic Acid Poisoning,0
2017,CALIFORNIA,E. coli O157,628
2017,CALIFORNIA,E. coli Other STEC (non-O157),679
2017,CALIFORNIA,Early Syphilis,13719
2017,CALIFORNIA,Ehrlichiosis,3
2017,CALIFORNIA,Flavivirus Infection of Undetermined Species,0
2017,CALIFORNIA,Giardiasis,2582
2017,CALIFORNIA,Gonorrhea,75372
2017,CALIFORNIA,Hantavirus Infection,5
2017,CALIFORNIA,Hemolytic Uremic Syndrome,61
2017,CALIFORNIA,Hepatitis A,948
2017,CALIFORNIA,"Hepatitis B, Acute",126
2017,CALIFORNIA,"Hepatitis C, Acute",128
2017,CALIFORNIA,"Hepatitis E, acute infection",38
2017,CALIFORNIA,Invasive Meningococcal Disease,61
2017,CALIFORNIA,Legionellosis,537
2017,CALIFORNIA,Leprosy,4
2017,CALIFORNIA,Leptospirosis,7
2017,CALIFORNIA,Listeriosis,133
2017,CALIFORNIA,Lyme Disease,173
2017,CALIFORNIA,Malaria,134
2017,CALIFORNIA,Measles,15
2017,CALIFORNIA,Mumps,189
2017,CALIFORNIA,Paralytic Shellfish Poisoning,0
2017,CALIFORNIA,Pertussis,3155
2017,CALIFORNIA,"Plague, human",0
2017,CALIFORNIA,Psittacosis,2
2017,CALIFORNIA,Q Fever,40
2017,CALIFORNIA,"Rabies, human",0
2017,CALIFORNIA,Relapsing Fever,4
2017,CALIFORNIA,Rubella,1
2017,CALIFORNIA,Salmonellosis,5417
2017,CALIFORNIA,Scombroid Fish Poisoning,18
2017,CALIFORNIA,Shiga Toxin Positive Feces (without culture confirmation),201
2017,CALIFORNIA,Shigellosis,2649
2017,CALIFORNIA,Spotted Fever Rickettsiosis,15
2017,CALIFORNIA,Streptococcal Infection (cases in food and dairy workers),22
2017,CALIFORNIA,TB,2057
2017,CALIFORNIA,Tetanus,2
2017,CALIFORNIA,Trichinosis,8
2017,CALIFORNIA,Tularemia,5
2017,CALIFORNIA,"Typhoid Fever, case",76
2017,CALIFORNIA,Typhus Fever,98
2017,CALIFORNIA,Varicella Hospitalizations,42
2017,CALIFORNIA,Vibrio Infection (non-Cholera),266
2017,CALIFORNIA,Yellow Fever,0
2017,CALIFORNIA,Yersiniosis,273
2017,CALIFORNIA,Zika Virus Infection,131
2017,Colusa,Amebiasis,0
2017,Colusa,Anaplasmosis,0
2017,Colusa,Anthrax,0
2017,Colusa,Babesiosis,0
2017,Colusa,"Botulism, Foodborne",1
2017,Colusa,"Botulism, Other",0
2017,Colusa,"Botulism, Wound",0
2017,Colusa,Brucellosis,0
2017,Colusa,Campylobacteriosis,9
2017,Colusa,Chikungunya Virus Infection,0
2017,Colusa,Chlamydia,49
2017,Colusa,Cholera,0
2017,Colusa,Ciguatera Fish Poisoning,0
2017,Colusa,Coccidioidomycosis,0
2017,Colusa,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,0
2017,Colusa,Cryptosporidiosis,1
2017,Colusa,Cyclosporiasis,0
2017,Colusa,Cysticercosis or Taeniasis,0
2017,Colusa,Dengue,0
2017,Colusa,Diphtheria,0
2017,Colusa,Domoic Acid Poisoning,0
2017,Colusa,E. coli O157,0
2017,Colusa,E. coli Other STEC (non-O157),0
2017,Colusa,Early Syphilis,4
2017,Colusa,Ehrlichiosis,0
2017,Colusa,Flavivirus Infection of Undetermined Species,0
2017,Colusa,Giardiasis,0
2017,Colusa,Gonorrhea,16
2017,Colusa,Hantavirus Infection,0
2017,Colusa,Hemolytic Uremic Syndrome,0
2017,Colusa,Hepatitis A,0
2017,Colusa,"Hepatitis B, Acute",0
2017,Colusa,"Hepatitis C, Acute",0
2017,Colusa,"Hepatitis E, acute infection",0
2017,Colusa,Invasive Meningococcal Disease,0
2017,Colusa,Legionellosis,0
2017,Colusa,Leprosy,0
2017,Colusa,Leptospirosis,0
2017,Colusa,Listeriosis,0
2017,Colusa,Lyme Disease,0
2017,Colusa,Malaria,0
2017,Colusa,Measles,0
2017,Colusa,Mumps,0
2017,Colusa,Paralytic Shellfish Poisoning,0
2017,Colusa,Pertussis,0
2017,Colusa,"Plague, human",0
2017,Colusa,Psittacosis,0
2017,Colusa,Q Fever,0
2017,Colusa,"Rabies, human",0
2017,Colusa,Relapsing Fever,0
2017,Colusa,Rubella,0
2017,Colusa,Salmonellosis,2
2017,Colusa,Scombroid Fish Poisoning,0
2017,Colusa,Shiga Toxin Positive Feces (without culture confirmation),0
2017,Colusa,Shigellosis,1
2017,Colusa,Spotted Fever Rickettsiosis,0
2017,Colusa,Streptococcal Infection (cases in food and dairy workers),0
2017,Colusa,TB,0
2017,Colusa,Tetanus,0
2017,Colusa,Trichinosis,0
2017,Colusa,Tularemia,0
2017,Colusa,"Typhoid Fever, case",0
2017,Colusa,Typhus Fever,0
2017,Colusa,Varicella Hospitalizations,0
2017,Colusa,Vibrio Infection (non-Cholera),0
2017,Colusa,Yellow Fever,0
2017,Colusa,Yersiniosis,0
2017,Colusa,Zika Virus Infection,0
2017,Contra Costa,Amebiasis,12
2017,Contra Costa,Anaplasmosis,0
2017,Contra Costa,Anthrax,0
2017,Contra Costa,Babesiosis,0
2017,Contra Costa,"Botulism, Foodborne",1
2017,Contra Costa,"Botulism, Other",0
2017,Contra Costa,"Botulism, Wound",0
2017,Contra Costa,Brucellosis,0
2017,Contra Costa,Campylobacteriosis,308
2017,Contra Costa,Chikungunya Virus Infection,4
2017,Contra Costa,Chlamydia,5735
2017,Contra Costa,Cholera,0
2017,Contra Costa,Ciguatera Fish Poisoning,0
2017,Contra Costa,Coccidioidomycosis,89
2017,Contra Costa,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,1
2017,Contra Costa,Cryptosporidiosis,6
2017,Contra Costa,Cyclosporiasis,0
2017,Contra Costa,Cysticercosis or Taeniasis,1
2017,Contra Costa,Dengue,4
2017,Contra Costa,Diphtheria,0
2017,Contra Costa,Domoic Acid Poisoning,0
2017,Contra Costa,E. coli O157,13
2017,Contra Costa,E. coli Other STEC (non-O157),49
2017,Contra Costa,Early Syphilis,194
2017,Contra Costa,Ehrlichiosis,0
2017,Contra Costa,Flavivirus Infection of Undetermined Species,0
2017,Contra Costa,Giardiasis,105
2017,Contra Costa,Gonorrhea,1765
2017,Contra Costa,Hantavirus Infection,0
2017,Contra Costa,Hemolytic Uremic Syndrome,3
2017,Contra Costa,Hepatitis A,7
2017,Contra Costa,"Hepatitis B, Acute",4
2017,Contra Costa,"Hepatitis C, Acute",0
2017,Contra Costa,"Hepatitis E, acute infection",2
2017,Contra Costa,Invasive Meningococcal Disease,2
2017,Contra Costa,Legionellosis,7
2017,Contra Costa,Leprosy,0
2017,Contra Costa,Leptospirosis,0
2017,Contra Costa,Listeriosis,5
2017,Contra Costa,Lyme Disease,11
2017,Contra Costa,Malaria,3
2017,Contra Costa,Measles,0
2017,Contra Costa,Mumps,2
2017,Contra Costa,Paralytic Shellfish Poisoning,0
2017,Contra Costa,Pertussis,48
2017,Contra Costa,"Plague, human",0
2017,Contra Costa,Psittacosis,0
2017,Contra Costa,Q Fever,1
2017,Contra Costa,"Rabies, human",0
2017,Contra Costa,Relapsing Fever,0
2017,Contra Costa,Rubella,0
2017,Contra Costa,Salmonellosis,177
2017,Contra Costa,Scombroid Fish Poisoning,0
2017,Contra Costa,Shiga Toxin Positive Feces (without culture confirmation),6
2017,Contra Costa,Shigellosis,70
2017,Contra Costa,Spotted Fever Rickettsiosis,0
2017,Contra Costa,Streptococcal Infection (cases in food and dairy workers),0
2017,Contra Costa,TB,61
2017,Contra Costa,Tetanus,0
2017,Contra Costa,Trichinosis,0
2017,Contra Costa,Tularemia,0
2017,Contra Costa,"Typhoid Fever, case",0
2017,Contra Costa,Typhus Fever,0
2017,Contra Costa,Varicella Hospitalizations,0
2017,Contra Costa,Vibrio Infection (non-Cholera),4
2017,Contra Costa,Yellow Fever,0
2017,Contra Costa,Yersiniosis,0
2017,Contra Costa,Zika Virus Infection,4
2017,Del Norte,Amebiasis,0
2017,Del Norte,Anaplasmosis,0
2017,Del Norte,Anthrax,0
2017,Del Norte,Babesiosis,0
2017,Del Norte,"Botulism, Foodborne",0
2017,Del Norte,"Botulism, Other",0
2017,Del Norte,"Botulism, Wound",0
2017,Del Norte,Brucellosis,0
2017,Del Norte,Campylobacteriosis,3
2017,Del Norte,Chikungunya Virus Infection,0
2017,Del Norte,Chlamydia,100
2017,Del Norte,Cholera,0
2017,Del Norte,Ciguatera Fish Poisoning,0
2017,Del Norte,Coccidioidomycosis,0
2017,Del Norte,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,0
2017,Del Norte,Cryptosporidiosis,0
2017,Del Norte,Cyclosporiasis,0
2017,Del Norte,Cysticercosis or Taeniasis,0
2017,Del Norte,Dengue,0
2017,Del Norte,Diphtheria,0
2017,Del Norte,Domoic Acid Poisoning,0
2017,Del Norte,E. coli O157,0
2017,Del Norte,E. coli Other STEC (non-O157),0
2017,Del Norte,Early Syphilis,1
2017,Del Norte,Ehrlichiosis,0
2017,Del Norte,Flavivirus Infection of Undetermined Species,0
2017,Del Norte,Giardiasis,1
2017,Del Norte,Gonorrhea,67
2017,Del Norte,Hantavirus Infection,0
2017,Del Norte,Hemolytic Uremic Syndrome,0
2017,Del Norte,Hepatitis A,0
2017,Del Norte,"Hepatitis B, Acute",0
2017,Del Norte,"Hepatitis C, Acute",0
2017,Del Norte,"Hepatitis E, acute infection",0
2017,Del Norte,Invasive Meningococcal Disease,1
2017,Del Norte,Legionellosis,0
2017,Del Norte,Leprosy,0
2017,Del Norte,Leptospirosis,0
2017,Del Norte,Listeriosis,0
2017,Del Norte,Lyme Disease,0
2017,Del Norte,Malaria,0
2017,Del Norte,Measles,0
2017,Del Norte,Mumps,0
2017,Del Norte,Paralytic Shellfish Poisoning,0
2017,Del Norte,Pertussis,0
2017,Del Norte,"Plague, human",0
2017,Del Norte,Psittacosis,0
2017,Del Norte,Q Fever,0
2017,Del Norte,"Rabies, human",0
2017,Del Norte,Relapsing Fever,0
2017,Del Norte,Rubella,0
2017,Del Norte,Salmonellosis,1
2017,Del Norte,Scombroid Fish Poisoning,0
2017,Del Norte,Shiga Toxin Positive Feces (without culture confirmation),0
2017,Del Norte,Shigellosis,0
2017,Del Norte,Spotted Fever Rickettsiosis,0
2017,Del Norte,Streptococcal Infection (cases in food and dairy workers),0
2017,Del Norte,TB,0
2017,Del Norte,Tetanus,0
2017,Del Norte,Trichinosis,0
2017,Del Norte,Tularemia,0
2017,Del Norte,"Typhoid Fever, case",0
2017,Del Norte,Typhus Fever,0
2017,Del Norte,Varicella Hospitalizations,0
2017,Del Norte,Vibrio Infection (non-Cholera),0
2017,Del Norte,Yellow Fever,0
2017,Del Norte,Yersiniosis,0
2017,Del Norte,Zika Virus Infection,0
2017,El Dorado,Amebiasis,0
2017,El Dorado,Anaplasmosis,0
2017,El Dorado,Anthrax,0
2017,El Dorado,Babesiosis,0
2017,El Dorado,"Botulism, Foodborne",0
2017,El Dorado,"Botulism, Other",0
2017,El Dorado,"Botulism, Wound",0
2017,El Dorado,Brucellosis,0
2017,El Dorado,Campylobacteriosis,52
2017,El Dorado,Chikungunya Virus Infection,0
2017,El Dorado,Chlamydia,451
2017,El Dorado,Cholera,0
2017,El Dorado,Ciguatera Fish Poisoning,0
2017,El Dorado,Coccidioidomycosis,5
2017,El Dorado,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,0
2017,El Dorado,Cryptosporidiosis,3
2017,El Dorado,Cyclosporiasis,0
2017,El Dorado,Cysticercosis or Taeniasis,0
2017,El Dorado,Dengue,2
2017,El Dorado,Diphtheria,0
2017,El Dorado,Domoic Acid Poisoning,0
2017,El Dorado,E. coli O157,3
2017,El Dorado,E. coli Other STEC (non-O157),6
2017,El Dorado,Early Syphilis,13
2017,El Dorado,Ehrlichiosis,0
2017,El Dorado,Flavivirus Infection of Undetermined Species,0
2017,El Dorado,Giardiasis,19
2017,El Dorado,Gonorrhea,105
2017,El Dorado,Hantavirus Infection,0
2017,El Dorado,Hemolytic Uremic Syndrome,1
2017,El Dorado,Hepatitis A,1
2017,El Dorado,"Hepatitis B, Acute",0
2017,El Dorado,"Hepatitis C, Acute",0
2017,El Dorado,"Hepatitis E, acute infection",0
2017,El Dorado,Invasive Meningococcal Disease,1
2017,El Dorado,Legionellosis,0
2017,El Dorado,Leprosy,0
2017,El Dorado,Leptospirosis,0
2017,El Dorado,Listeriosis,2
2017,El Dorado,Lyme Disease,1
2017,El Dorado,Malaria,0
2017,El Dorado,Measles,0
2017,El Dorado,Mumps,0
2017,El Dorado,Paralytic Shellfish Poisoning,0
2017,El Dorado,Pertussis,5
2017,El Dorado,"Plague, human",0
2017,El Dorado,Psittacosis,0
2017,El Dorado,Q Fever,0
2017,El Dorado,"Rabies, human",0
2017,El Dorado,Relapsing Fever,0
2017,El Dorado,Rubella,0
2017,El Dorado,Salmonellosis,41
2017,El Dorado,Scombroid Fish Poisoning,0
2017,El Dorado,Shiga Toxin Positive Feces (without culture confirmation),3
2017,El Dorado,Shigellosis,8
2017,El Dorado,Spotted Fever Rickettsiosis,0
2017,El Dorado,Streptococcal Infection (cases in food and dairy workers),0
2017,El Dorado,TB,3
2017,El Dorado,Tetanus,0
2017,El Dorado,Trichinosis,0
