County,Year,Sex,Disease,Cases
Alpine,2018,Total,Gonorrhea,1
Amador,2018,Total,Gonorrhea,17
Butte,2018,Total,Gonorrhea,424
Calaveras,2018,Total,Gonorrhea,40
Colusa,2018,Total,Gonorrhea,14
Contra Costa,2018,Total,Gonorrhea,2055
Del Norte,2018,Total,Gonorrhea,64
El Dorado,2018,Total,Gonorrhea,94
Fresno,2018,Total,Gonorrhea,2250
Glenn,2018,Total,Gonorrhea,16
Humboldt,2018,Total,Gonorrhea,227
Imperial,2018,Total,Gonorrhea,197
Inyo,2018,Total,Gonorrhea,16
Kern,2018,Total,Gonorrhea,2317
Kings,2018,Total,Gonorrhea,266
Lake,2018,Total,Gonorrhea,171
Lassen,2018,Total,Gonorrhea,18
Los Angeles,2018,Total,Gonorrhea,27333
Madera,2018,Total,Gonorrhea,282
Marin,2018,Total,Gonorrhea,200
Mariposa,2018,Total,Gonorrhea,14
Mendocino,2018,Total,Gonorrhea,115
Merced,2018,Total,Gonorrhea,484
Modoc,2018,Total,Gonorrhea,11
Mono,2018,Total,Gonorrhea,2
Monterey,2018,Total,Gonorrhea,429
Napa,2018,Total,Gonorrhea,130
Nevada,2018,Total,Gonorrhea,56
Orange,2018,Total,Gonorrhea,3967
Placer,2018,Total,Gonorrhea,235
Plumas,2018,Total,Gonorrhea,8
Riverside,2018,Total,Gonorrhea,4082
Sacramento,2018,Total,Gonorrhea,3838
San Benito,2018,Total,Gonorrhea,51
San Bernardino,2018,Total,Gonorrhea,3904
San Diego,2018,Total,Gonorrhea,6208
San Francisco,2018,Total,Gonorrhea,5894
San Joaquin,2018,Total,Gonorrhea,1409
San Luis Obispo,2018,Total,Gonorrhea,188
San Mateo,2018,Total,Gonorrhea,729
Santa Barbara,2018,Total,Gonorrhea,501
Santa Clara,2018,Total,Gonorrhea,2184
Santa Cruz,2018,Total,Gonorrhea,301
Shasta,2018,Total,Gonorrhea,304
Sierra,2018,Total,Gonorrhea,1
Siskiyou,2018,Total,Gonorrhea,23
Solano,2018,Total,Gonorrhea,1009
Sonoma,2018,Total,Gonorrhea,553
Stanislaus,2018,Total,Gonorrhea,828
Sutter,2018,Total,Gonorrhea,135
Tehama,2018,Total,Gonorrhea,79
Trinity,2018,Total,Gonorrhea,12
Tulare,2018,Total,Gonorrhea,776
Tuolumne,2018,Total,Gonorrhea,25
Ventura,2018,Total,Gonorrhea,692
Yolo,2018,Total,Gonorrhea,269
Yuba,2018,Total,Gonorrhea,172
Alameda,2018,Total,Diphtheria,0
Alpine,2018,Total,Diphtheria,0
Amador,2018,Total,Diphtheria,0
Butte,2018,Total,Diphtheria,0
Calaveras,2018,Total,Diphtheria,0
California,2018,Total,Diphtheria,0
Colusa,2018,Total,Diphtheria,0
Contra Costa,2018,Total,Diphtheria,0
Del Norte,2018,Total,Diphtheria,0
El Dorado,2018,Total,Diphtheria,0
Fresno,2018,Total,Diphtheria,0
Glenn,2018,Total,Diphtheria,0
Humboldt,2018,Total,Diphtheria,0
Imperial,2018,Total,Diphtheria,0
Inyo,2018,Total,Diphtheria,0
Kern,2018,Total,Diphtheria,0
Kings,2018,Total,Diphtheria,0
Lake,2018,Total,Diphtheria,0
Lassen,2018,Total,Diphtheria,0
Los Angeles,2018,Total,Diphtheria,0
Madera,2018,Total,Diphtheria,0
Marin,2018,Total,Diphtheria,0
Mariposa,2018,Total,Diphtheria,0
Mendocino,2018,Total,Diphtheria,0
Merced,2018,Total,Diphtheria,0
Modoc,2018,Total,Diphtheria,0
Mono,2018,Total,Diphtheria,0
Monterey,2018,Total,Diphtheria,0
Napa,2018,Total,Diphtheria,0
Nevada,2018,Total,Diphtheria,0
Orange,2018,Total,Diphtheria,0
Placer,2018,Total,Diphtheria,0
Plumas,2018,Total,Diphtheria,0
Riverside,2018,Total,Diphtheria,0
Sacramento,2018,Total,Diphtheria,0
San Benito,2018,Total,Diphtheria,0
San Bernardino,2018,Total,Diphtheria,0
San Diego,2018,Total,Diphtheria,0
San Francisco,2018,Total,Diphtheria,0
San Joaquin,2018,Total,Diphtheria,0
San Luis Obispo,2018,Total,Diphtheria,0
San Mateo,2018,Total,Diphtheria,0
Santa Barbara,2018,Total,Diphtheria,0
Santa Clara,2018,Total,Diphtheria,0
Santa Cruz,2018,Total,Diphtheria,0
Shasta,2018,Total,Diphtheria,0
Sierra,2018,Total,Diphtheria,0
Siskiyou,2018,Total,Diphtheria,0
Solano,2018,Total,Diphtheria,0
Sonoma,2018,Total,Diphtheria,0
Stanislaus,2018,Total,Diphtheria,0
Sutter,2018,Total,Diphtheria,0
Tehama,2018,Total,Diphtheria,0
Trinity,2018,Total,Diphtheria,0
Tulare,2018,Total,Diphtheria,0
Tuolumne,2018,Total,Diphtheria,0
Ventura,2018,Total,Diphtheria,0
Yolo,2018,Total,Diphtheria,0
Yuba,2018,Total,Diphtheria,0
Alameda,2018,Total,Hepatitis A,11
Alpine,2018,Total,Hepatitis A,0
Amador,2018,Total,Hepatitis A,0
Butte,2018,Total,Hepatitis A,0
Calaveras,2018,Total,Hepatitis A,0
California,2018,Total,Hepatitis A,188
Colusa,2018,Total,Hepatitis A,0
Contra Costa,2018,Total,Hepatitis A,6
Del Norte,2018,Total,Hepatitis A,0
El Dorado,2018,Total,Hepatitis A,0
Fresno,2018,Total,Hepatitis A,2
Glenn,2018,Total,Hepatitis A,1
Humboldt,2018,Total,Hepatitis A,1
Imperial,2018,Total,Hepatitis A,0
Inyo,2018,Total,Hepatitis A,0
Kern,2018,Total,Hepatitis A,2
Kings,2018,Total,Hepatitis A,2
Lake,2018,Total,Hepatitis A,1
Lassen,2018,Total,Hepatitis A,0
Los Angeles,2018,Total,Hepatitis A,41
Madera,2018,Total,Hepatitis A,0
Marin,2018,Total,Hepatitis A,3
Mariposa,2018,Total,Hepatitis A,0
Mendocino,2018,Total,Hepatitis A,2
Merced,2018,Total,Hepatitis A,0
Modoc,2018,Total,Hepatitis A,0
Mono,2018,Total,Hepatitis A,0
Monterey,2018,Total,Hepatitis A,7
Napa,2018,Total,Hepatitis A,1
Nevada,2018,Total,Hepatitis A,1
Orange,2018,Total,Hepatitis A,11
Placer,2018,Total,Hepatitis A,1
Plumas,2018,Total,Hepatitis A,0
Riverside,2018,Total,Hepatitis A,5
Sacramento,2018,Total,Hepatitis A,13
San Benito,2018,Total,Hepatitis A,0
San Bernardino,2018,Total,Hepatitis A,3
San Diego,2018,Total,Hepatitis A,35
San Francisco,2018,Total,Hepatitis A,4
San Joaquin,2018,Total,Hepatitis A,0
San Luis Obispo,2018,Total,Hepatitis A,1
San Mateo,2018,Total,Hepatitis A,4
Santa Barbara,2018,Total,Hepatitis A,2
Santa Clara,2018,Total,Hepatitis A,13
Santa Cruz,2018,Total,Hepatitis A,0
Shasta,2018,Total,Hepatitis A,0
Sierra,2018,Total,Hepatitis A,0
Siskiyou,2018,Total,Hepatitis A,1
Solano,2018,Total,Hepatitis A,2
Sonoma,2018,Total,Hepatitis A,0
Stanislaus,2018,Total,Hepatitis A,3
Sutter,2018,Total,Hepatitis A,0
Tehama,2018,Total,Hepatitis A,0
Trinity,2018,Total,Hepatitis A,0
Tulare,2018,Total,Hepatitis A,2
Tuolumne,2018,Total,Hepatitis A,0
Ventura,2018,Total,Hepatitis A,5
Yolo,2018,Total,Hepatitis A,1
Yuba,2018,Total,Hepatitis A,1
Alameda,2018,Total,"Hepatitis B, Acute",4
Alpine,2018,Total,"Hepatitis B, Acute",0
Amador,2018,Total,"Hepatitis B, Acute",1
Butte,2018,Total,"Hepatitis B, Acute",5
Calaveras,2018,Total,"Hepatitis B, Acute",0
California,2018,Total,"Hepatitis B, Acute",105
Colusa,2018,Total,"Hepatitis B, Acute",0
Contra Costa,2018,Total,"Hepatitis B, Acute",3
Del Norte,2018,Total,"Hepatitis B, Acute",0
El Dorado,2018,Total,"Hepatitis B, Acute",0
Fresno,2018,Total,"Hepatitis B, Acute",4
Glenn,2018,Total,"Hepatitis B, Acute",0
Humboldt,2018,Total,"Hepatitis B, Acute",0
Imperial,2018,Total,"Hepatitis B, Acute",0
Inyo,2018,Total,"Hepatitis B, Acute",0
Kern,2018,Total,"Hepatitis B, Acute",6
Kings,2018,Total,"Hepatitis B, Acute",0
Lake,2018,Total,"Hepatitis B, Acute",1
Lassen,2018,Total,"Hepatitis B, Acute",0
Los Angeles,2018,Total,"Hepatitis B, Acute",38
Madera,2018,Total,"Hepatitis B, Acute",0
Marin,2018,Total,"Hepatitis B, Acute",0
Mariposa,2018,Total,"Hepatitis B, Acute",0
Mendocino,2018,Total,"Hepatitis B, Acute",0
Merced,2018,Total,"Hepatitis B, Acute",0
Modoc,2018,Total,"Hepatitis B, Acute",0
Mono,2018,Total,"Hepatitis B, Acute",0
Monterey,2018,Total,"Hepatitis B, Acute",1
Napa,2018,Total,"Hepatitis B, Acute",0
Nevada,2018,Total,"Hepatitis B, Acute",0
Orange,2018,Total,"Hepatitis B, Acute",11
Placer,2018,Total,"Hepatitis B, Acute",0
Plumas,2018,Total,"Hepatitis B, Acute",0
Riverside,2018,Total,"Hepatitis B, Acute",1
Sacramento,2018,Total,"Hepatitis B, Acute",3
San Benito,2018,Total,"Hepatitis B, Acute",0
San Bernardino,2018,Total,"Hepatitis B, Acute",5
San Diego,2018,Total,"Hepatitis B, Acute",8
San Francisco,2018,Total,"Hepatitis B, Acute",4
San Joaquin,2018,Total,"Hepatitis B, Acute",0
San Luis Obispo,2018,Total,"Hepatitis B, Acute",0
San Mateo,2018,Total,"Hepatitis B, Acute",1
Santa Barbara,2018,Total,"Hepatitis B, Acute",0
Santa Clara,2018,Total,"Hepatitis B, Acute",2
Santa Cruz,2018,Total,"Hepatitis B, Acute",0
Shasta,2018,Total,"Hepatitis B, Acute",2
Sierra,2018,Total,"Hepatitis B, Acute",0
Siskiyou,2018,Total,"Hepatitis B, Acute",0
Solano,2018,Total,"Hepatitis B, Acute",0
Sonoma,2018,Total,"Hepatitis B, Acute",3
Stanislaus,2018,Total,"Hepatitis B, Acute",1
Sutter,2018,Total,"Hepatitis B, Acute",0
Tehama,2018,Total,"Hepatitis B, Acute",0
Trinity,2018,Total,"Hepatitis B, Acute",0
Tulare,2018,Total,"Hepatitis B, Acute",0
Tuolumne,2018,Total,"Hepatitis B, Acute",0
Ventura,2018,Total,"Hepatitis B, Acute",0
Yolo,2018,Total,"Hepatitis B, Acute",1
Yuba,2018,Total,"Hepatitis B, Acute",0
Alameda,2018,Total,"Hepatitis C, Acute",2
Alpine,2018,Total,"Hepatitis C, Acute",0
Amador,2018,Total,"Hepatitis C, Acute",4
Butte,2018,Total,"Hepatitis C, Acute",2
Calaveras,2018,Total,"Hepatitis C, Acute",1
California,2018,Total,"Hepatitis C, Acute",132
Colusa,2018,Total,"Hepatitis C, Acute",0
Contra Costa,2018,Total,"Hepatitis C, Acute",0
Del Norte,2018,Total,"Hepatitis C, Acute",0
El Dorado,2018,Total,"Hepatitis C, Acute",0
Fresno,2018,Total,"Hepatitis C, Acute",18
Glenn,2018,Total,"Hepatitis C, Acute",0
Humboldt,2018,Total,"Hepatitis C, Acute",1
Imperial,2018,Total,"Hepatitis C, Acute",5
Inyo,2018,Total,"Hepatitis C, Acute",0
Kern,2018,Total,"Hepatitis C, Acute",12
Kings,2018,Total,"Hepatitis C, Acute",11
Lake,2018,Total,"Hepatitis C, Acute",0
Lassen,2018,Total,"Hepatitis C, Acute",0
Los Angeles,2018,Total,"Hepatitis C, Acute",12
Madera,2018,Total,"Hepatitis C, Acute",3
Marin,2018,Total,"Hepatitis C, Acute",0
Mariposa,2018,Total,"Hepatitis C, Acute",0
Mendocino,2018,Total,"Hepatitis C, Acute",0
Merced,2018,Total,"Hepatitis C, Acute",0
Modoc,2018,Total,"Hepatitis C, Acute",0
Mono,2018,Total,"Hepatitis C, Acute",0
Monterey,2018,Total,"Hepatitis C, Acute",6
Napa,2018,Total,"Hepatitis C, Acute",0
Nevada,2018,Total,"Hepatitis C, Acute",1
Orange,2018,Total,"Hepatitis C, Acute",8
Placer,2018,Total,"Hepatitis C, Acute",0
Plumas,2018,Total,"Hepatitis C, Acute",0
Riverside,2018,Total,"Hepatitis C, Acute",0
Sacramento,2018,Total,"Hepatitis C, Acute",9
San Benito,2018,Total,"Hepatitis C, Acute",0
San Bernardino,2018,Total,"Hepatitis C, Acute",2
San Diego,2018,Total,"Hepatitis C, Acute",1
San Francisco,2018,Total,"Hepatitis C, Acute",14
San Joaquin,2018,Total,"Hepatitis C, Acute",2
San Luis Obispo,2018,Total,"Hepatitis C, Acute",5
San Mateo,2018,Total,"Hepatitis C, Acute",0
Santa Barbara,2018,Total,"Hepatitis C, Acute",2
Santa Clara,2018,Total,"Hepatitis C, Acute",1
Santa Cruz,2018,Total,"Hepatitis C, Acute",1
Shasta,2018,Total,"Hepatitis C, Acute",0
Sierra,2018,Total,"Hepatitis C, Acute",0
Siskiyou,2018,Total,"Hepatitis C, Acute",0
Solano,2018,Total,"Hepatitis C, Acute",0
Sonoma,2018,Total,"Hepatitis C, Acute",0
Stanislaus,2018,Total,"Hepatitis C, Acute",3
Sutter,2018,Total,"Hepatitis C, Acute",0
Tehama,2018,Total,"Hepatitis C, Acute",0
Trinity,2018,Total,"Hepatitis C, Acute",0
Tulare,2018,Total,"Hepatitis C, Acute",1
Tuolumne,2018,Total,"Hepatitis C, Acute",2
Ventura,2018,Total,"Hepatitis C, Acute",2
Yolo,2018,Total,"Hepatitis C, Acute",0
Yuba,2018,Total,"Hepatitis C, Acute",1
Alameda,2018,Total,Invasive Meningococcal Disease,3
Alpine,2018,Total,Invasive Meningococcal Disease,0
Amador,2018,Total,Invasive Meningococcal Disease,0
Butte,2018,Total,Invasive Meningococcal Disease,0
Calaveras,2018,Total,Invasive Meningococcal Disease,0
California,2018,Total,Invasive Meningococcal Disease,43
Colusa,2018,Total,Invasive Meningococcal Disease,0
Contra Costa,2018,Total,Invasive Meningococcal Disease,2
Del Norte,2018,Total,Invasive Meningococcal Disease,1
El Dorado,2018,Total,Invasive Meningococcal Disease,0
Fresno,2018,Total,Invasive Meningococcal Disease,1
Glenn,2018,Total,Invasive Meningococcal Disease,0
Humboldt,2018,Total,Invasive Meningococcal Disease,1
Imperial,2018,Total,Invasive Meningococcal Disease,0
Inyo,2018,Total,Invasive Meningococcal Disease,0
Kern,2018,Total,Invasive Meningococcal Disease,1
Kings,2018,Total,Invasive Meningococcal Disease,0
Lake,2018,Total,Invasive Meningococcal Disease,0
Lassen,2018,Total,Invasive Meningococcal Disease,0
Los Angeles,2018,Total,Invasive Meningococcal Disease,11
Madera,2018,Total,Invasive Meningococcal Disease,0
Marin,2018,Total,Invasive Meningococcal Disease,0
Mariposa,2018,Total,Invasive Meningococcal Disease,0
Mendocino,2018,Total,Invasive Meningococcal Disease,0
Merced,2018,Total,Invasive Meningococcal Disease,0
Modoc,2018,Total,Invasive Meningococcal Disease,0
Mono,2018,Total,Invasive Meningococcal Disease,0
Monterey,2018,Total,Invasive Meningococcal Disease,0
Napa,2018,Total,Invasive Meningococcal Disease,0
Nevada,2018,Total,Invasive Meningococcal Disease,0
Orange,2018,Total,Invasive Meningococcal Disease,2
Placer,2018,Total,Invasive Meningococcal Disease,0
Plumas,2018,Total,Invasive Meningococcal Disease,0
Riverside,2018,Total,Invasive Meningococcal Disease,1
Sacramento,2018,Total,Invasive Meningococcal Disease,1
San Benito,2018,Total,Invasive Meningococcal Disease,0
San Bernardino,2018,Total,Invasive Meningococcal Disease,1
San Diego,2018,Total,Invasive Meningococcal Disease,11
San Francisco,2018,Total,Invasive Meningococcal Disease,2
San Joaquin,2018,Total,Invasive Meningococcal Disease,0
San Luis Obispo,2018,Total,Invasive Meningococcal Disease,0
San Mateo,2018,Total,Invasive Meningococcal Disease,1
Santa Barbara,2018,Total,Invasive Meningococcal Disease,0
Santa Clara,2018,Total,Invasive Meningococcal Disease,0
Santa Cruz,2018,Total,Invasive Meningococcal Disease,1
Shasta,2018,Total,Invasive Meningococcal Disease,1
Sierra,2018,Total,Invasive Meningococcal Disease,0
Siskiyou,2018,Total,Invasive Meningococcal Disease,1
Solano,2018,Total,Invasive Meningococcal Disease,0
Sonoma,2018,Total,Invasive Meningococcal Disease,0
Stanislaus,2018,Total,Invasive Meningococcal Disease,1
Sutter,2018,Total,Invasive Meningococcal Disease,0
Tehama,2018,Total,Invasive Meningococcal Disease,0
Trinity,2018,Total,Invasive Meningococcal Disease,0
Tulare,2018,Total,Invasive Meningococcal Disease,0
Tuolumne,2018,Total,Invasive Meningococcal Disease,0
Ventura,2018,Total,Invasive Meningococcal Disease,0
Yolo,2018,Total,Invasive Meningococcal Disease,0
Yuba,2018,Total,Invasive Meningococcal Disease,0
Alameda,2018,Total,Measles,1
Alpine,2018,Total,Measles,0
Amador,2018,Total,Measles,0
Butte,2018,Total,Measles,0
Calaveras,2018,Total,Measles,0
California,2018,Total,Measles,23
Colusa,2018,Total,Measles,0
Contra Costa,2018,Total,Measles,1
Del Norte,2018,Total,Measles,0
El Dorado,2018,Total,Measles,0
Fresno,2018,Total,Measles,1
Glenn,2018,Total,Measles,0
Humboldt,2018,Total,Measles,0
Imperial,2018,Total,Measles,0
Inyo,2018,Total,Measles,0
Kern,2018,Total,Measles,0
Kings,2018,Total,Measles,0
Lake,2018,Total,Measles,0
Lassen,2018,Total,Measles,0
Los Angeles,2018,Total,Measles,6
Madera,2018,Total,Measles,0
Marin,2018,Total,Measles,0
Mariposa,2018,Total,Measles,0
Mendocino,2018,Total,Measles,0
Merced,2018,Total,Measles,0
Modoc,2018,Total,Measles,0
Mono,2018,Total,Measles,0
Monterey,2018,Total,Measles,0
Napa,2018,Total,Measles,0
Nevada,2018,Total,Measles,0
Orange,2018,Total,Measles,1
Placer,2018,Total,Measles,0
Plumas,2018,Total,Measles,0
Riverside,2018,Total,Measles,1
Sacramento,2018,Total,Measles,1
San Benito,2018,Total,Measles,0
San Bernardino,2018,Total,Measles,0
San Diego,2018,Total,Measles,0
San Francisco,2018,Total,Measles,0
San Joaquin,2018,Total,Measles,0
San Luis Obispo,2018,Total,Measles,1
San Mateo,2018,Total,Measles,1
Santa Barbara,2018,Total,Measles,0
Santa Clara,2018,Total,Measles,9
Santa Cruz,2018,Total,Measles,0
Shasta,2018,Total,Measles,0
Sierra,2018,Total,Measles,0
Siskiyou,2018,Total,Measles,0
Solano,2018,Total,Measles,0
Sonoma,2018,Total,Measles,0
Stanislaus,2018,Total,Measles,0
Sutter,2018,Total,Measles,0
Tehama,2018,Total,Measles,0
Trinity,2018,Total,Measles,0
Tulare,2018,Total,Measles,0
Tuolumne,2018,Total,Measles,0
Ventura,2018,Total,Measles,0
Yolo,2018,Total,Measles,0
Yuba,2018,Total,Measles,0
Alameda,2018,Total,Mumps,5
Alpine,2018,Total,Mumps,0
Amador,2018,Total,Mumps,0
Butte,2018,Total,Mumps,0
Calaveras,2018,Total,Mumps,0
California,2018,Total,Mumps,140
Colusa,2018,Total,Mumps,0
Contra Costa,2018,Total,Mumps,2
Del Norte,2018,Total,Mumps,0
El Dorado,2018,Total,Mumps,1
Fresno,2018,Total,Mumps,2
Glenn,2018,Total,Mumps,0
Humboldt,2018,Total,Mumps,0
Imperial,2018,Total,Mumps,3
Inyo,2018,Total,Mumps,0
Kern,2018,Total,Mumps,0
Kings,2018,Total,Mumps,0
Lake,2018,Total,Mumps,0
Lassen,2018,Total,Mumps,0
Los Angeles,2018,Total,Mumps,56
Madera,2018,Total,Mumps,0
Marin,2018,Total,Mumps,0
Mariposa,2018,Total,Mumps,0
Mendocino,2018,Total,Mumps,0
Merced,2018,Total,Mumps,0
Modoc,2018,Total,Mumps,0
Mono,2018,Total,Mumps,0
Monterey,2018,Total,Mumps,0
Napa,2018,Total,Mumps,1
Nevada,2018,Total,Mumps,2
Orange,2018,Total,Mumps,13
Placer,2018,Total,Mumps,1
Plumas,2018,Total,Mumps,0
Riverside,2018,Total,Mumps,6
Sacramento,2018,Total,Mumps,3
San Benito,2018,Total,Mumps,0
San Bernardino,2018,Total,Mumps,4
San Diego,2018,Total,Mumps,9
San Francisco,2018,Total,Mumps,15
San Joaquin,2018,Total,Mumps,1
San Luis Obispo,2018,Total,Mumps,1
San Mateo,2018,Total,Mumps,0
Santa Barbara,2018,Total,Mumps,0
Santa Clara,2018,Total,Mumps,9
Santa Cruz,2018,Total,Mumps,2
Shasta,2018,Total,Mumps,0
Sierra,2018,Total,Mumps,0
Siskiyou,2018,Total,Mumps,0
Solano,2018,Total,Mumps,1
Sonoma,2018,Total,Mumps,1
Stanislaus,2018,Total,Mumps,0
Sutter,2018,Total,Mumps,0
Tehama,2018,Total,Mumps,0
Trinity,2018,Total,Mumps,0
Tulare,2018,Total,Mumps,0
Tuolumne,2018,Total,Mumps,0
Ventura,2018,Total,Mumps,2
Yolo,2018,Total,Mumps,0
Yuba,2018,Total,Mumps,0
Alameda,2018,Total,Pertussis,326
Alpine,2018,Total,Pertussis,0
Amador,2018,Total,Pertussis,0
Butte,2018,Total,Pertussis,7
Calaveras,2018,Total,Pertussis,0
California,2018,Total,Pertussis,3364
Colusa,2018,Total,Pertussis,0
Contra Costa,2018,Total,Pertussis,110
Del Norte,2018,Total,Pertussis,0
El Dorado,2018,Total,Pertussis,1
Fresno,2018,Total,Pertussis,84
Glenn,2018,Total,Pertussis,0
Humboldt,2018,Total,Pertussis,0
Imperial,2018,Total,Pertussis,6
Inyo,2018,Total,Pertussis,0
Kern,2018,Total,Pertussis,35
Kings,2018,Total,Pertussis,2
Lake,2018,Total,Pertussis,1
Lassen,2018,Total,Pertussis,0
Los Angeles,2018,Total,Pertussis,509
Madera,2018,Total,Pertussis,31
Marin,2018,Total,Pertussis,245
Mariposa,2018,Total,Pertussis,3
Mendocino,2018,Total,Pertussis,2
Merced,2018,Total,Pertussis,10
Modoc,2018,Total,Pertussis,0
Mono,2018,Total,Pertussis,0
Monterey,2018,Total,Pertussis,35
Napa,2018,Total,Pertussis,20
Nevada,2018,Total,Pertussis,13
Orange,2018,Total,Pertussis,172
Placer,2018,Total,Pertussis,27
Plumas,2018,Total,Pertussis,0
Riverside,2018,Total,Pertussis,69
Sacramento,2018,Total,Pertussis,95
San Benito,2018,Total,Pertussis,3
San Bernardino,2018,Total,Pertussis,31
San Diego,2018,Total,Pertussis,649
San Francisco,2018,Total,Pertussis,35
San Joaquin,2018,Total,Pertussis,25
San Luis Obispo,2018,Total,Pertussis,21
San Mateo,2018,Total,Pertussis,113
Santa Barbara,2018,Total,Pertussis,23
Santa Clara,2018,Total,Pertussis,181
Santa Cruz,2018,Total,Pertussis,169
Shasta,2018,Total,Pertussis,0
Sierra,2018,Total,Pertussis,0
