County,Year,Sex,Disease,Cases,Branch
Santa Cruz,2021,Total,Anaplasmosis,1,IDB
Shasta,2021,Total,Anaplasmosis,0,IDB
Sierra,2021,Total,Anaplasmosis,0,IDB
Siskiyou,2021,Total,Anaplasmosis,0,IDB
Solano,2021,Total,Anaplasmosis,0,IDB
Sonoma,2021,Total,Anaplasmosis,1,IDB
Stanislaus,2021,Total,Anaplasmosis,0,IDB
Sutter,2021,Total,Anaplasmosis,0,IDB
Tehama,2021,Total,Anaplasmosis,0,IDB
Trinity,2021,Total,Anaplasmosis,0,IDB
Tulare,2021,Total,Anaplasmosis,0,IDB
Tuolumne,2021,Total,Anaplasmosis,0,IDB
Ventura,2021,Total,Anaplasmosis,0,IDB
Yolo,2021,Total,Anaplasmosis,0,IDB
Yuba,2021,Total,Anaplasmosis,0,IDB
Alameda,2021,Total,Anthrax,0,IDB
Alpine,2021,Total,Anthrax,0,IDB
Amador,2021,Total,Anthrax,0,IDB
Butte,2021,Total,Anthrax,0,IDB
Calaveras,2021,Total,Anthrax,0,IDB
CALIFORNIA,2021,Total,Anthrax,0,IDB
Colusa,2021,Total,Anthrax,0,IDB
Contra Costa,2021,Total,Anthrax,0,IDB
Del Norte,2021,Total,Anthrax,0,IDB
El Dorado,2021,Total,Anthrax,0,IDB
Fresno,2021,Total,Anthrax,0,IDB
Glenn,2021,Total,Anthrax,0,IDB
Humboldt,2021,Total,Anthrax,0,IDB
Imperial,2021,Total,Anthrax,0,IDB
Inyo,2021,Total,Anthrax,0,IDB
Kern,2021,Total,Anthrax,0,IDB
Kings,2021,Total,Anthrax,0,IDB
Lake,2021,Total,Anthrax,0,IDB
Lassen,2021,Total,Anthrax,0,IDB
Los Angeles,2021,Total,Anthrax,0,IDB
Madera,2021,Total,Anthrax,0,IDB
Marin,2021,Total,Anthrax,0,IDB
Mariposa,2021,Total,Anthrax,0,IDB
Mendocino,2021,Total,Anthrax,0,IDB
Merced,2021,Total,Anthrax,0,IDB
Modoc,2021,Total,Anthrax,0,IDB
Mono,2021,Total,Anthrax,0,IDB
Monterey,2021,Total,Anthrax,0,IDB
Napa,2021,Total,Anthrax,0,IDB
Nevada,2021,Total,Anthrax,0,IDB
Orange,2021,Total,Anthrax,0,IDB
Placer,2021,Total,Anthrax,0,IDB
Plumas,2021,Total,Anthrax,0,IDB
Riverside,2021,Total,Anthrax,0,IDB
Sacramento,2021,Total,Anthrax,0,IDB
San Benito,2021,Total,Anthrax,0,IDB
San Bernardino,2021,Total,Anthrax,0,IDB
San Diego,2021,Total,Anthrax,0,IDB
San Francisco,2021,Total,Anthrax,0,IDB
San Joaquin,2021,Total,Anthrax,0,IDB
San Luis Obispo,2021,Total,Anthrax,0,IDB
San Mateo,2021,Total,Anthrax,0,IDB
Santa Barbara,2021,Total,Anthrax,0,IDB
Santa Clara,2021,Total,Anthrax,0,IDB
Santa Cruz,2021,Total,Anthrax,0,IDB
Shasta,2021,Total,Anthrax,0,IDB
Sierra,2021,Total,Anthrax,0,IDB
Siskiyou,2021,Total,Anthrax,0,IDB
Solano,2021,Total,Anthrax,0,IDB
Sonoma,2021,Total,Anthrax,0,IDB
Stanislaus,2021,Total,Anthrax,0,IDB
Sutter,2021,Total,Anthrax,0,IDB
Tehama,2021,Total,Anthrax,0,IDB
Trinity,2021,Total,Anthrax,0,IDB
Tulare,2021,Total,Anthrax,0,IDB
Tuolumne,2021,Total,Anthrax,0,IDB
Ventura,2021,Total,Anthrax,0,IDB
Yolo,2021,Total,Anthrax,0,IDB
Yuba,2021,Total,Anthrax,0,IDB
Alameda,2021,Total,Babesiosis,0,IDB
Alpine,2021,Total,Babesiosis,0,IDB
Amador,2021,Total,Babesiosis,0,IDB
Butte,2021,Total,Babesiosis,0,IDB
Calaveras,2021,Total,Babesiosis,0,IDB
CALIFORNIA,2021,Total,Babesiosis,6,IDB
Colusa,2021,Total,Babesiosis,0,IDB
Contra Costa,2021,Total,Babesiosis,0,IDB
Del Norte,2021,Total,Babesiosis,0,IDB
El Dorado,2021,Total,Babesiosis,0,IDB
Fresno,2021,Total,Babesiosis,0,IDB
Glenn,2021,Total,Babesiosis,0,IDB
Humboldt,2021,Total,Babesiosis,0,IDB
Imperial,2021,Total,Babesiosis,0,IDB
Inyo,2021,Total,Babesiosis,0,IDB
Kern,2021,Total,Babesiosis,0,IDB
Kings,2021,Total,Babesiosis,0,IDB
Lake,2021,Total,Babesiosis,0,IDB
Lassen,2021,Total,Babesiosis,0,IDB
Los Angeles,2021,Total,Babesiosis,3,IDB
Madera,2021,Total,Babesiosis,0,IDB
Marin,2021,Total,Babesiosis,0,IDB
Mariposa,2021,Total,Babesiosis,0,IDB
Mendocino,2021,Total,Babesiosis,0,IDB
Merced,2021,Total,Babesiosis,0,IDB
Modoc,2021,Total,Babesiosis,0,IDB
Mono,2021,Total,Babesiosis,0,IDB
Monterey,2021,Total,Babesiosis,0,IDB
Napa,2021,Total,Babesiosis,0,IDB
Nevada,2021,Total,Babesiosis,0,IDB
Orange,2021,Total,Babesiosis,1,IDB
Placer,2021,Total,Babesiosis,0,IDB
Plumas,2021,Total,Babesiosis,0,IDB
Riverside,2021,Total,Babesiosis,0,IDB
Sacramento,2021,Total,Babesiosis,0,IDB
San Benito,2021,Total,Babesiosis,0,IDB
San Bernardino,2021,Total,Babesiosis,0,IDB
San Diego,2021,Total,Babesiosis,0,IDB
San Francisco,2021,Total,Babesiosis,1,IDB
San Joaquin,2021,Total,Babesiosis,0,IDB
San Luis Obispo,2021,Total,Babesiosis,0,IDB
San Mateo,2021,Total,Babesiosis,0,IDB
Santa Barbara,2021,Total,Babesiosis,0,IDB
Santa Clara,2021,Total,Babesiosis,0,IDB
Santa Cruz,2021,Total,Babesiosis,1,IDB
Shasta,2021,Total,Babesiosis,0,IDB
Sierra,2021,Total,Babesiosis,0,IDB
Siskiyou,2021,Total,Babesiosis,0,IDB
Solano,2021,Total,Babesiosis,0,IDB
Sonoma,2021,Total,Babesiosis,0,IDB
Stanislaus,2021,Total,Babesiosis,0,IDB
Sutter,2021,Total,Babesiosis,0,IDB
Tehama,2021,Total,Babesiosis,0,IDB
Trinity,2021,Total,Babesiosis,0,IDB
Tulare,2021,Total,Babesiosis,0,IDB
Tuolumne,2021,Total,Babesiosis,0,IDB
Ventura,2021,Total,Babesiosis,0,IDB
Yolo,2021,Total,Babesiosis,0,IDB
Yuba,2021,Total,Babesiosis,0,IDB
Alameda,2021,Total,"Botulism, Foodborne",0,IDB
Alpine,2021,Total,"Botulism, Foodborne",0,IDB
Amador,2021,Total,"Botulism, Foodborne",0,IDB
Butte,2021,Total,"Botulism, Foodborne",0,IDB
Calaveras,2021,Total,"Botulism, Foodborne",0,IDB
CALIFORNIA,2021,Total,"Botulism, Foodborne",1,IDB
Colusa,2021,Total,"Botulism, Foodborne",0,IDB
Contra Costa,2021,Total,"Botulism, Foodborne",0,IDB
Del Norte,2021,Total,"Botulism, Foodborne",0,IDB
El Dorado,2021,Total,"Botulism, Foodborne",0,IDB
Fresno,2021,Total,"Botulism, Foodborne",0,IDB
Glenn,2021,Total,"Botulism, Foodborne",0,IDB
Humboldt,2021,Total,"Botulism, Foodborne",0,IDB
Imperial,2021,Total,"Botulism, Foodborne",0,IDB
Inyo,2021,Total,"Botulism, Foodborne",0,IDB
Kern,2021,Total,"Botulism, Foodborne",0,IDB
Kings,2021,Total,"Botulism, Foodborne",0,IDB
Lake,2021,Total,"Botulism, Foodborne",0,IDB
Lassen,2021,Total,"Botulism, Foodborne",0,IDB
Los Angeles,2021,Total,"Botulism, Foodborne",0,IDB
Madera,2021,Total,"Botulism, Foodborne",0,IDB
Marin,2021,Total,"Botulism, Foodborne",0,IDB
Mariposa,2021,Total,"Botulism, Foodborne",0,IDB
Mendocino,2021,Total,"Botulism, Foodborne",0,IDB
Merced,2021,Total,"Botulism, Foodborne",0,IDB
Modoc,2021,Total,"Botulism, Foodborne",0,IDB
Mono,2021,Total,"Botulism, Foodborne",0,IDB
Monterey,2021,Total,"Botulism, Foodborne",0,IDB
Napa,2021,Total,"Botulism, Foodborne",0,IDB
Nevada,2021,Total,"Botulism, Foodborne",0,IDB
Orange,2021,Total,"Botulism, Foodborne",0,IDB
Placer,2021,Total,"Botulism, Foodborne",0,IDB
Plumas,2021,Total,"Botulism, Foodborne",0,IDB
Riverside,2021,Total,"Botulism, Foodborne",1,IDB
Sacramento,2021,Total,"Botulism, Foodborne",0,IDB
San Benito,2021,Total,"Botulism, Foodborne",0,IDB
San Bernardino,2021,Total,"Botulism, Foodborne",0,IDB
San Diego,2021,Total,"Botulism, Foodborne",0,IDB
San Francisco,2021,Total,"Botulism, Foodborne",0,IDB
San Joaquin,2021,Total,"Botulism, Foodborne",0,IDB
San Luis Obispo,2021,Total,"Botulism, Foodborne",0,IDB
San Mateo,2021,Total,"Botulism, Foodborne",0,IDB
Santa Barbara,2021,Total,"Botulism, Foodborne",0,IDB
Santa Clara,2021,Total,"Botulism, Foodborne",0,IDB
Santa Cruz,2021,Total,"Botulism, Foodborne",0,IDB
Shasta,2021,Total,"Botulism, Foodborne",0,IDB
Sierra,2021,Total,"Botulism, Foodborne",0,IDB
Siskiyou,2021,Total,"Botulism, Foodborne",0,IDB
Solano,2021,Total,"Botulism, Foodborne",0,IDB
Sonoma,2021,Total,"Botulism, Foodborne",0,IDB
Stanislaus,2021,Total,"Botulism, Foodborne",0,IDB
Sutter,2021,Total,"Botulism, Foodborne",0,IDB
Tehama,2021,Total,"Botulism, Foodborne",0,IDB
Trinity,2021,Total,"Botulism, Foodborne",0,IDB
Tulare,2021,Total,"Botulism, Foodborne",0,IDB
Tuolumne,2021,Total,"Botulism, Foodborne",0,IDB
Ventura,2021,Total,"Botulism, Foodborne",0,IDB
Yolo,2021,Total,"Botulism, Foodborne",0,IDB
Yuba,2021,Total,"Botulism, Foodborne",0,IDB
Alameda,2021,Total,"Botulism, Other/Unknown",0,IDB
Alpine,2021,Total,"Botulism, Other/Unknown",0,IDB
Amador,2021,Total,"Botulism, Other/Unknown",0,IDB
Butte,2021,Total,"Botulism, Other/Unknown",0,IDB
Calaveras,2021,Total,"Botulism, Other/Unknown",0,IDB
CALIFORNIA,2021,Total,"Botulism, Other/Unknown",3,IDB
Colusa,2021,Total,"Botulism, Other/Unknown",0,IDB
Contra Costa,2021,Total,"Botulism, Other/Unknown",0,IDB
Del Norte,2021,Total,"Botulism, Other/Unknown",0,IDB
El Dorado,2021,Total,"Botulism, Other/Unknown",0,IDB
Fresno,2021,Total,"Botulism, Other/Unknown",0,IDB
Glenn,2021,Total,"Botulism, Other/Unknown",0,IDB
Humboldt,2021,Total,"Botulism, Other/Unknown",0,IDB
Imperial,2021,Total,"Botulism, Other/Unknown",0,IDB
Inyo,2021,Total,"Botulism, Other/Unknown",0,IDB
Kern,2021,Total,"Botulism, Other/Unknown",0,IDB
Kings,2021,Total,"Botulism, Other/Unknown",0,IDB
Lake,2021,Total,"Botulism, Other/Unknown",0,IDB
Lassen,2021,Total,"Botulism, Other/Unknown",0,IDB
Los Angeles,2021,Total,"Botulism, Other/Unknown",0,IDB
Madera,2021,Total,"Botulism, Other/Unknown",0,IDB
Marin,2021,Total,"Botulism, Other/Unknown",0,IDB
Mariposa,2021,Total,"Botulism, Other/Unknown",0,IDB
Mendocino,2021,Total,"Botulism, Other/Unknown",0,IDB
Merced,2021,Total,"Botulism, Other/Unknown",0,IDB
Modoc,2021,Total,"Botulism, Other/Unknown",0,IDB
Mono,2021,Total,"Botulism, Other/Unknown",0,IDB
Monterey,2021,Total,"Botulism, Other/Unknown",0,IDB
Napa,2021,Total,"Botulism, Other/Unknown",0,IDB
Nevada,2021,Total,"Botulism, Other/Unknown",0,IDB
Orange,2021,Total,"Botulism, Other/Unknown",1,IDB
Placer,2021,Total,"Botulism, Other/Unknown",0,IDB
Plumas,2021,Total,"Botulism, Other/Unknown",0,IDB
Riverside,2021,Total,"Botulism, Other/Unknown",0,IDB
Sacramento,2021,Total,"Botulism, Other/Unknown",1,IDB
San Benito,2021,Total,"Botulism, Other/Unknown",0,IDB
San Bernardino,2021,Total,"Botulism, Other/Unknown",0,IDB
San Diego,2021,Total,"Botulism, Other/Unknown",0,IDB
San Francisco,2021,Total,"Botulism, Other/Unknown",0,IDB
San Joaquin,2021,Total,"Botulism, Other/Unknown",0,IDB
San Luis Obispo,2021,Total,"Botulism, Other/Unknown",0,IDB
San Mateo,2021,Total,"Botulism, Other/Unknown",0,IDB
Santa Barbara,2021,Total,"Botulism, Other/Unknown",0,IDB
Santa Clara,2021,Total,"Botulism, Other/Unknown",1,IDB
Santa Cruz,2021,Total,"Botulism, Other/Unknown",0,IDB
Shasta,2021,Total,"Botulism, Other/Unknown",0,IDB
Sierra,2021,Total,"Botulism, Other/Unknown",0,IDB
Siskiyou,2021,Total,"Botulism, Other/Unknown",0,IDB
Solano,2021,Total,"Botulism, Other/Unknown",0,IDB
Sonoma,2021,Total,"Botulism, Other/Unknown",0,IDB
Stanislaus,2021,Total,"Botulism, Other/Unknown",0,IDB
Sutter,2021,Total,"Botulism, Other/Unknown",0,IDB
Tehama,2021,Total,"Botulism, Other/Unknown",0,IDB
Trinity,2021,Total,"Botulism, Other/Unknown",0,IDB
Tulare,2021,Total,"Botulism, Other/Unknown",0,IDB
Tuolumne,2021,Total,"Botulism, Other/Unknown",0,IDB
Ventura,2021,Total,"Botulism, Other/Unknown",0,IDB
Yolo,2021,Total,"Botulism, Other/Unknown",0,IDB
Yuba,2021,Total,"Botulism, Other/Unknown",0,IDB
Alameda,2021,Total,"Botulism, Wound",0,IDB
Alpine,2021,Total,"Botulism, Wound",0,IDB
Amador,2021,Total,"Botulism, Wound",0,IDB
Butte,2021,Total,"Botulism, Wound",3,IDB
Calaveras,2021,Total,"Botulism, Wound",0,IDB
CALIFORNIA,2021,Total,"Botulism, Wound",49,IDB
Colusa,2021,Total,"Botulism, Wound",0,IDB
Contra Costa,2021,Total,"Botulism, Wound",0,IDB
Del Norte,2021,Total,"Botulism, Wound",0,IDB
El Dorado,2021,Total,"Botulism, Wound",0,IDB
Fresno,2021,Total,"Botulism, Wound",4,IDB
Glenn,2021,Total,"Botulism, Wound",0,IDB
Humboldt,2021,Total,"Botulism, Wound",0,IDB
Imperial,2021,Total,"Botulism, Wound",0,IDB
Inyo,2021,Total,"Botulism, Wound",0,IDB
Kern,2021,Total,"Botulism, Wound",0,IDB
Kings,2021,Total,"Botulism, Wound",1,IDB
Lake,2021,Total,"Botulism, Wound",0,IDB
Lassen,2021,Total,"Botulism, Wound",0,IDB
Los Angeles,2021,Total,"Botulism, Wound",7,IDB
Madera,2021,Total,"Botulism, Wound",0,IDB
Marin,2021,Total,"Botulism, Wound",0,IDB
Mariposa,2021,Total,"Botulism, Wound",0,IDB
Mendocino,2021,Total,"Botulism, Wound",0,IDB
Merced,2021,Total,"Botulism, Wound",0,IDB
Modoc,2021,Total,"Botulism, Wound",0,IDB
Mono,2021,Total,"Botulism, Wound",0,IDB
Monterey,2021,Total,"Botulism, Wound",0,IDB
Napa,2021,Total,"Botulism, Wound",0,IDB
Nevada,2021,Total,"Botulism, Wound",0,IDB
Orange,2021,Total,"Botulism, Wound",2,IDB
Placer,2021,Total,"Botulism, Wound",0,IDB
Plumas,2021,Total,"Botulism, Wound",0,IDB
Riverside,2021,Total,"Botulism, Wound",3,IDB
Sacramento,2021,Total,"Botulism, Wound",7,IDB
San Benito,2021,Total,"Botulism, Wound",0,IDB
San Bernardino,2021,Total,"Botulism, Wound",8,IDB
San Diego,2021,Total,"Botulism, Wound",1,IDB
San Francisco,2021,Total,"Botulism, Wound",0,IDB
San Joaquin,2021,Total,"Botulism, Wound",4,IDB
San Luis Obispo,2021,Total,"Botulism, Wound",1,IDB
San Mateo,2021,Total,"Botulism, Wound",0,IDB
Santa Barbara,2021,Total,"Botulism, Wound",2,IDB
Santa Clara,2021,Total,"Botulism, Wound",1,IDB
Santa Cruz,2021,Total,"Botulism, Wound",1,IDB
Shasta,2021,Total,"Botulism, Wound",0,IDB
Sierra,2021,Total,"Botulism, Wound",0,IDB
Siskiyou,2021,Total,"Botulism, Wound",0,IDB
Solano,2021,Total,"Botulism, Wound",0,IDB
Sonoma,2021,Total,"Botulism, Wound",0,IDB
Stanislaus,2021,Total,"Botulism, Wound",1,IDB
Sutter,2021,Total,"Botulism, Wound",0,IDB
Tehama,2021,Total,"Botulism, Wound",0,IDB
Trinity,2021,Total,"Botulism, Wound",0,IDB
Tulare,2021,Total,"Botulism, Wound",0,IDB
Tuolumne,2021,Total,"Botulism, Wound",0,IDB
Ventura,2021,Total,"Botulism, Wound",3,IDB
Yolo,2021,Total,"Botulism, Wound",0,IDB
Yuba,2021,Total,"Botulism, Wound",0,IDB
Alameda,2021,Total,Brucellosis,1,IDB
Alpine,2021,Total,Brucellosis,0,IDB
Amador,2021,Total,Brucellosis,0,IDB
Butte,2021,Total,Brucellosis,1,IDB
Calaveras,2021,Total,Brucellosis,0,IDB
CALIFORNIA,2021,Total,Brucellosis,31,IDB
Colusa,2021,Total,Brucellosis,0,IDB
Contra Costa,2021,Total,Brucellosis,0,IDB
Del Norte,2021,Total,Brucellosis,0,IDB
El Dorado,2021,Total,Brucellosis,0,IDB
Fresno,2021,Total,Brucellosis,0,IDB
Glenn,2021,Total,Brucellosis,0,IDB
Humboldt,2021,Total,Brucellosis,0,IDB
Imperial,2021,Total,Brucellosis,0,IDB
Inyo,2021,Total,Brucellosis,0,IDB
Kern,2021,Total,Brucellosis,1,IDB
Kings,2021,Total,Brucellosis,0,IDB
Lake,2021,Total,Brucellosis,0,IDB
Lassen,2021,Total,Brucellosis,0,IDB
Los Angeles,2021,Total,Brucellosis,1,IDB
Madera,2021,Total,Brucellosis,0,IDB
Marin,2021,Total,Brucellosis,0,IDB
Mariposa,2021,Total,Brucellosis,0,IDB
Mendocino,2021,Total,Brucellosis,0,IDB
Merced,2021,Total,Brucellosis,1,IDB
Modoc,2021,Total,Brucellosis,0,IDB
Mono,2021,Total,Brucellosis,0,IDB
Monterey,2021,Total,Brucellosis,1,IDB
Napa,2021,Total,Brucellosis,0,IDB
Nevada,2021,Total,Brucellosis,0,IDB
Orange,2021,Total,Brucellosis,2,IDB
Placer,2021,Total,Brucellosis,0,IDB
Plumas,2021,Total,Brucellosis,0,IDB
Riverside,2021,Total,Brucellosis,2,IDB
Sacramento,2021,Total,Brucellosis,1,IDB
San Benito,2021,Total,Brucellosis,0,IDB
San Bernardino,2021,Total,Brucellosis,3,IDB
San Diego,2021,Total,Brucellosis,3,IDB
San Francisco,2021,Total,Brucellosis,0,IDB
San Joaquin,2021,Total,Brucellosis,2,IDB
San Luis Obispo,2021,Total,Brucellosis,0,IDB
San Mateo,2021,Total,Brucellosis,0,IDB
Santa Barbara,2021,Total,Brucellosis,1,IDB
Santa Clara,2021,Total,Brucellosis,6,IDB
Santa Cruz,2021,Total,Brucellosis,0,IDB
Shasta,2021,Total,Brucellosis,0,IDB
Sierra,2021,Total,Brucellosis,0,IDB
Siskiyou,2021,Total,Brucellosis,0,IDB
Solano,2021,Total,Brucellosis,0,IDB
Sonoma,2021,Total,Brucellosis,1,IDB
Stanislaus,2021,Total,Brucellosis,0,IDB
Sutter,2021,Total,Brucellosis,0,IDB
Tehama,2021,Total,Brucellosis,0,IDB
Trinity,2021,Total,Brucellosis,0,IDB
Tulare,2021,Total,Brucellosis,0,IDB
Tuolumne,2021,Total,Brucellosis,0,IDB
Ventura,2021,Total,Brucellosis,0,IDB
Yolo,2021,Total,Brucellosis,4,IDB
Yuba,2021,Total,Brucellosis,0,IDB
Alameda,2021,Total,Campylobacteriosis,304,IDB
Alpine,2021,Total,Campylobacteriosis,0,IDB
Amador,2021,Total,Campylobacteriosis,5,IDB
Butte,2021,Total,Campylobacteriosis,80,IDB
Calaveras,2021,Total,Campylobacteriosis,0,IDB
CALIFORNIA,2021,Total,Campylobacteriosis,7740,IDB
Colusa,2021,Total,Campylobacteriosis,4,IDB
Contra Costa,2021,Total,Campylobacteriosis,203,IDB
Del Norte,2021,Total,Campylobacteriosis,5,IDB
El Dorado,2021,Total,Campylobacteriosis,26,IDB
Fresno,2021,Total,Campylobacteriosis,249,IDB
Glenn,2021,Total,Campylobacteriosis,12,IDB
Humboldt,2021,Total,Campylobacteriosis,18,IDB
Imperial,2021,Total,Campylobacteriosis,85,IDB
Inyo,2021,Total,Campylobacteriosis,11,IDB
Kern,2021,Total,Campylobacteriosis,238,IDB
Kings,2021,Total,Campylobacteriosis,35,IDB
Lake,2021,Total,Campylobacteriosis,15,IDB
Lassen,2021,Total,Campylobacteriosis,1,IDB
Los Angeles,2021,Total,Campylobacteriosis,1917,IDB
Madera,2021,Total,Campylobacteriosis,72,IDB
Marin,2021,Total,Campylobacteriosis,65,IDB
Mariposa,2021,Total,Campylobacteriosis,3,IDB
Mendocino,2021,Total,Campylobacteriosis,42,IDB
Merced,2021,Total,Campylobacteriosis,49,IDB
Modoc,2021,Total,Campylobacteriosis,3,IDB
Mono,2021,Total,Campylobacteriosis,1,IDB
Monterey,2021,Total,Campylobacteriosis,73,IDB
Napa,2021,Total,Campylobacteriosis,28,IDB
Nevada,2021,Total,Campylobacteriosis,35,IDB
Orange,2021,Total,Campylobacteriosis,457,IDB
Placer,2021,Total,Campylobacteriosis,64,IDB
Plumas,2021,Total,Campylobacteriosis,3,IDB
Riverside,2021,Total,Campylobacteriosis,404,IDB
Sacramento,2021,Total,Campylobacteriosis,276,IDB
San Benito,2021,Total,Campylobacteriosis,6,IDB
San Bernardino,2021,Total,Campylobacteriosis,223,IDB
San Diego,2021,Total,Campylobacteriosis,901,IDB
San Francisco,2021,Total,Campylobacteriosis,252,IDB
San Joaquin,2021,Total,Campylobacteriosis,138,IDB
San Luis Obispo,2021,Total,Campylobacteriosis,43,IDB
San Mateo,2021,Total,Campylobacteriosis,175,IDB
Santa Barbara,2021,Total,Campylobacteriosis,125,IDB
Santa Clara,2021,Total,Campylobacteriosis,323,IDB
Santa Cruz,2021,Total,Campylobacteriosis,50,IDB
Shasta,2021,Total,Campylobacteriosis,35,IDB
Sierra,2021,Total,Campylobacteriosis,0,IDB
Siskiyou,2021,Total,Campylobacteriosis,4,IDB
Solano,2021,Total,Campylobacteriosis,70,IDB
Sonoma,2021,Total,Campylobacteriosis,119,IDB
Stanislaus,2021,Total,Campylobacteriosis,113,IDB
Sutter,2021,Total,Campylobacteriosis,13,IDB
Tehama,2021,Total,Campylobacteriosis,11,IDB
Trinity,2021,Total,Campylobacteriosis,0,IDB
Tulare,2021,Total,Campylobacteriosis,113,IDB
Tuolumne,2021,Total,Campylobacteriosis,10,IDB
Ventura,2021,Total,Campylobacteriosis,176,IDB
Yolo,2021,Total,Campylobacteriosis,36,IDB
Yuba,2021,Total,Campylobacteriosis,21,IDB
Alameda,2021,Total,Chikungunya Virus Infection,0,IDB
Alpine,2021,Total,Chikungunya Virus Infection,0,IDB
Amador,2021,Total,Chikungunya Virus Infection,0,IDB
Butte,2021,Total,Chikungunya Virus Infection,0,IDB
Calaveras,2021,Total,Chikungunya Virus Infection,0,IDB
CALIFORNIA,2021,Total,Chikungunya Virus Infection,7,IDB
Colusa,2021,Total,Chikungunya Virus Infection,0,IDB
Contra Costa,2021,Total,Chikungunya Virus Infection,0,IDB
Del Norte,2021,Total,Chikungunya Virus Infection,0,IDB
El Dorado,2021,Total,Chikungunya Virus Infection,0,IDB
Fresno,2021,Total,Chikungunya Virus Infection,0,IDB
Glenn,2021,Total,Chikungunya Virus Infection,0,IDB
Humboldt,2021,Total,Chikungunya Virus Infection,0,IDB
Imperial,2021,Total,Chikungunya Virus Infection,0,IDB
Inyo,2021,Total,Chikungunya Virus Infection,0,IDB
Kern,2021,Total,Chikungunya Virus Infection,0,IDB
Kings,2021,Total,Chikungunya Virus Infection,0,IDB
Lake,2021,Total,Chikungunya Virus Infection,0,IDB
Lassen,2021,Total,Chikungunya Virus Infection,0,IDB
Los Angeles,2021,Total,Chikungunya Virus Infection,0,IDB
Madera,2021,Total,Chikungunya Virus Infection,0,IDB
Marin,2021,Total,Chikungunya Virus Infection,1,IDB
Mariposa,2021,Total,Chikungunya Virus Infection,0,IDB
Mendocino,2021,Total,Chikungunya Virus Infection,0,IDB
Merced,2021,Total,Chikungunya Virus Infection,0,IDB
Modoc,2021,Total,Chikungunya Virus Infection,0,IDB
Mono,2021,Total,Chikungunya Virus Infection,0,IDB
Monterey,2021,Total,Chikungunya Virus Infection,0,IDB
Napa,2021,Total,Chikungunya Virus Infection,0,IDB
Nevada,2021,Total,Chikungunya Virus Infection,0,IDB
Orange,2021,Total,Chikungunya Virus Infection,0,IDB
Placer,2021,Total,Chikungunya Virus Infection,1,IDB
Plumas,2021,Total,Chikungunya Virus Infection,0,IDB
Riverside,2021,Total,Chikungunya Virus Infection,0,IDB
Sacramento,2021,Total,Chikungunya Virus Infection,0,IDB
San Benito,2021,Total,Chikungunya Virus Infection,0,IDB
San Bernardino,2021,Total,Chikungunya Virus Infection,0,IDB
San Diego,2021,Total,Chikungunya Virus Infection,1,IDB
San Francisco,2021,Total,Chikungunya Virus Infection,1,IDB
San Joaquin,2021,Total,Chikungunya Virus Infection,0,IDB
San Luis Obispo,2021,Total,Chikungunya Virus Infection,0,IDB
San Mateo,2021,Total,Chikungunya Virus Infection,1,IDB
