cause_id,cause_name,parent_id,level,cause_outline,sort_order,yll_only,yld_only
432,Cervical cancer,410,3,B.1.15,124,,
435,Uterine cancer,410,3,B.1.16,125,,
465,Ovarian cancer,410,3,B.1.17,126,,
438,Prostate cancer,410,3,B.1.18,127,,
468,Testicular cancer,410,3,B.1.19,128,,
471,Kidney cancer,410,3,B.1.20,129,,
474,Bladder cancer,410,3,B.1.21,130,,
477,Brain and nervous system cancer,410,3,B.1.22,131,,
480,Thyroid cancer,410,3,B.1.23,132,,
483,Mesothelioma,410,3,B.1.24,133,,
484,Hodgkin lymphoma,410,3,B.1.25,134,,
485,Non-Hodgkin lymphoma,410,3,B.1.26,135,,
486,Multiple myeloma,410,3,B.1.27,136,,
487,Leukemia,410,3,B.1.28,137,,
845,Acute lymphoid leukemia,487,4,B.1.28.1,138,,
846,Chronic lymphoid leukemia,487,4,B.1.28.2,139,,
847,Acute myeloid leukemia,487,4,B.1.28.3,140,,
848,Chronic myeloid leukemia,487,4,B.1.28.4,141,,
943,Other leukemia,487,4,B.1.28.5,142,,
489,Other malignant neoplasms,410,3,B.1.29,143,,
490,Other neoplasms,410,3,B.1.30,144,,
964,"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms",490,4,B.1.30.1,145,,
965,Benign and in situ intestinal neoplasms,490,4,B.1.30.2,146,,X
966,Benign and in situ cervical and uterine neoplasms,490,4,B.1.30.3,147,,X
967,Other benign and in situ neoplasms,490,4,B.1.30.4,148,,
491,Cardiovascular diseases,409,2,B.2,149,,
492,Rheumatic heart disease,491,3,B.2.1,150,,
493,Ischemic heart disease,491,3,B.2.2,151,,
494,Stroke,491,3,B.2.3,152,,
495,Ischemic stroke,494,4,B.2.3.1,153,,
496,Intracerebral hemorrhage,494,4,B.2.3.2,154,,
497,Subarachnoid hemorrhage,494,4,B.2.3.3,155,,
498,Hypertensive heart disease,491,3,B.2.4,156,,
504,Non-rheumatic valvular heart disease,491,3,B.2.5,157,,
968,Non-rheumatic calcific aortic valve disease,504,4,B.2.5.1,158,,
969,Non-rheumatic degenerative mitral valve disease,504,4,B.2.5.2,159,,
970,Other non-rheumatic valve diseases,504,4,B.2.5.3,160,,
499,Cardiomyopathy and myocarditis,491,3,B.2.6,161,,
942,Myocarditis,499,4,B.2.6.1,162,,
938,Alcoholic cardiomyopathy,499,4,B.2.6.2,163,,
944,Other cardiomyopathy,499,4,B.2.6.3,164,,
500,Atrial fibrillation and flutter,491,3,B.2.7,165,,
501,Aortic aneurysm,491,3,B.2.8,166,X,
502,Peripheral artery disease,491,3,B.2.9,167,,
503,Endocarditis,491,3,B.2.10,168,,
507,Other cardiovascular and circulatory diseases,491,3,B.2.11,169,,
508,Chronic respiratory diseases,409,2,B.3,170,,
509,Chronic obstructive pulmonary disease,508,3,B.3.1,171,,
510,Pneumoconiosis,508,3,B.3.2,172,,
511,Silicosis,510,4,B.3.2.1,173,,
512,Asbestosis,510,4,B.3.2.2,174,,
513,Coal workers pneumoconiosis,510,4,B.3.2.3,175,,
514,Other pneumoconiosis,510,4,B.3.2.4,176,,
515,Asthma,508,3,B.3.3,177,,
516,Interstitial lung disease and pulmonary sarcoidosis,508,3,B.3.4,178,,
520,Other chronic respiratory diseases,508,3,B.3.5,179,,
526,Digestive diseases,409,2,B.4,180,,
521,Cirrhosis and other chronic liver diseases,526,3,B.4.1,181,,
522,Cirrhosis and other chronic liver diseases due to hepatitis B,521,4,B.4.1.1,182,,
523,Cirrhosis and other chronic liver diseases due to hepatitis C,521,4,B.4.1.2,183,,
524,Cirrhosis and other chronic liver diseases due to alcohol use,521,4,B.4.1.3,184,,
971,Cirrhosis due to NASH,521,4,B.4.1.4,185,,
525,Cirrhosis and other chronic liver diseases due to other causes,521,4,B.4.1.5,186,,
992,Upper digestive system diseases,526,3,B.4.2,187,,
527,Peptic ulcer disease,992,4,B.4.2.1,188,,
528,Gastritis and duodenitis,992,4,B.4.2.2,189,,
536,Gastroesophageal reflux disease,992,4,B.4.2.3,190,,X
529,Appendicitis,526,3,B.4.3,191,,
530,Paralytic ileus and intestinal obstruction,526,3,B.4.4,192,,
531,"Inguinal, femoral, and abdominal hernia",526,3,B.4.5,193,,
532,Inflammatory bowel disease,526,3,B.4.6,194,,
533,Vascular intestinal disorders,526,3,B.4.7,195,,
534,Gallbladder and biliary diseases,526,3,B.4.8,196,,
535,Pancreatitis,526,3,B.4.9,197,,
541,Other digestive diseases,526,3,B.4.10,198,,
542,Neurological disorders,409,2,B.5,199,,
543,Alzheimer's disease and other dementias,542,3,B.5.1,200,,
544,Parkinson's disease,542,3,B.5.2,201,,
545,Epilepsy,542,3,B.5.3,202,,
546,Multiple sclerosis,542,3,B.5.4,203,,
554,Motor neuron disease,542,3,B.5.5,204,,
972,Headache disorders,542,3,B.5.6,205,,X
547,Migraine,972,4,B.5.6.1,206,,X
548,Tension-type headache,972,4,B.5.6.2,207,,X
557,Other neurological disorders,542,3,B.5.7,208,,
558,Mental disorders,409,2,B.6,209,,
559,Schizophrenia,558,3,B.6.1,210,,X
567,Depressive disorders,558,3,B.6.2,211,,X
568,Major depressive disorder,567,4,B.6.2.1,212,,X
569,Dysthymia,567,4,B.6.2.2,213,,X
570,Bipolar disorder,558,3,B.6.3,214,,X
571,Anxiety disorders,558,3,B.6.4,215,,X
572,Eating disorders,558,3,B.6.5,216,,
573,Anorexia nervosa,572,4,B.6.5.1,217,,
574,Bulimia nervosa,572,4,B.6.5.2,218,,
575,Autism spectrum disorders,558,3,B.6.6,219,,X
578,Attention-deficit/hyperactivity disorder,558,3,B.6.7,220,,X
579,Conduct disorder,558,3,B.6.8,221,,X
582,Idiopathic developmental intellectual disability,558,3,B.6.9,222,,X
585,Other mental disorders,558,3,B.6.10,223,,X
973,Substance use disorders,409,2,B.7,224,,
560,Alcohol use disorders,973,3,B.7.1,225,,
561,Drug use disorders,973,3,B.7.2,226,,
562,Opioid use disorders,561,4,B.7.2.1,227,,
563,Cocaine use disorders,561,4,B.7.2.2,228,,
564,Amphetamine use disorders,561,4,B.7.2.3,229,,
565,Cannabis use disorders,561,4,B.7.2.4,230,,X
566,Other drug use disorders,561,4,B.7.2.5,231,,
974,Diabetes and kidney diseases,409,2,B.8,232,,
587,Diabetes mellitus,974,3,B.8.1,233,,
975,Diabetes mellitus type 1,587,4,B.8.1.1,234,,
976,Diabetes mellitus type 2,587,4,B.8.1.2,235,,
589,Chronic kidney disease,974,3,B.8.2,236,,
997,Chronic kidney disease due to diabetes mellitus type 1,589,4,B.8.2.1,237.1,,
998,Chronic kidney disease due to diabetes mellitus type 2,589,4,B.8.2.2,237.2,,
591,Chronic kidney disease due to hypertension,589,4,B.8.2.3,238,,
592,Chronic kidney disease due to glomerulonephritis,589,4,B.8.2.4,239,,
593,Chronic kidney disease due to other and unspecified causes,589,4,B.8.2.5,240,,
588,Acute glomerulonephritis,974,3,B.8.3,241,,
653,Skin and subcutaneous diseases,409,2,B.9,242,,
654,Dermatitis,653,3,B.9.1,243,,X
977,Atopic dermatitis,654,4,B.9.1.1,244,,X
978,Contact dermatitis,654,4,B.9.1.2,245,,X
979,Seborrhoeic dermatitis,654,4,B.9.1.3,246,,X
655,Psoriasis,653,3,B.9.2,247,,X
980,Bacterial skin diseases,653,3,B.9.3,248,,
656,Cellulitis,980,4,B.9.3.1,249,,
657,Pyoderma,980,4,B.9.3.2,250,,
658,Scabies,653,3,B.9.4,251,,X
659,Fungal skin diseases,653,3,B.9.5,252,,X
660,Viral skin diseases,653,3,B.9.6,253,,X
661,Acne vulgaris,653,3,B.9.7,254,,X
662,Alopecia areata,653,3,B.9.8,255,,X
663,Pruritus,653,3,B.9.9,256,,X
664,Urticaria,653,3,B.9.10,257,,X
665,Decubitus ulcer,653,3,B.9.11,258,,
668,Other skin and subcutaneous diseases,653,3,B.9.12,259,,
669,Sense organ diseases,409,2,B.10,260,,X
981,Blindness and vision impairment,669,3,B.10.1,261,,X
670,Glaucoma,981,4,B.10.1.1,262,,X
671,Cataract,981,4,B.10.1.2,263,,X
672,Age-related macular degeneration,981,4,B.10.1.3,264,,X
999,Refraction disorders,981,4,B.10.1.4,265.1,,X
1000,Near vision loss,981,4,B.10.1.5,265.2,,X
675,Other vision loss,981,4,B.10.1.6,266,,X
674,Age-related and other hearing loss,669,3,B.10.2,267,,X
679,Other sense organ diseases,669,3,B.10.3,268,,X
626,Musculoskeletal disorders,409,2,B.11,269,,
627,Rheumatoid arthritis,626,3,B.11.1,270,,
628,Osteoarthritis,626,3,B.11.2,271,,X
630,Low back pain,626,3,B.11.3,272,,X
631,Neck pain,626,3,B.11.4,273,,X
632,Gout,626,3,B.11.5,274,,X
639,Other musculoskeletal disorders,626,3,B.11.6,275,,
640,Other non-communicable diseases,409,2,B.12,276,,
641,Congenital birth defects,640,3,B.12.1,277,,
642,Neural tube defects,641,4,B.12.1.1,278,,
643,Congenital heart anomalies,641,4,B.12.1.2,279,,
644,Orofacial clefts,641,4,B.12.1.3,280,,
645,Down syndrome,641,4,B.12.1.4,281,,
646,Turner syndrome,641,4,B.12.1.5,282,,X
647,Klinefelter syndrome,641,4,B.12.1.6,283,,X
648,Other chromosomal abnormalities,641,4,B.12.1.7,284,,
649,Congenital musculoskeletal and limb anomalies,641,4,B.12.1.8,285,,
650,Urogenital congenital anomalies,641,4,B.12.1.9,286,,
651,Digestive congenital anomalies,641,4,B.12.1.10,287,,
652,Other congenital birth defects,641,4,B.12.1.11,288,,
594,Urinary diseases and male infertility,640,3,B.12.2,289,,
595,Urinary tract infections,594,4,B.12.2.1,290,,
596,Urolithiasis,594,4,B.12.2.2,291,,
597,Benign prostatic hyperplasia,594,4,B.12.2.3,292,,X
598,Male infertility,594,4,B.12.2.4,293,,X
602,Other urinary diseases,594,4,B.12.2.5,293.1,,
603,Gynecological diseases,640,3,B.12.3,293.2,,
604,Uterine fibroids,603,4,B.12.3.1,294,,
605,Polycystic ovarian syndrome,603,4,B.12.3.2,295,,
606,Female infertility,603,4,B.12.3.3,296,,X
607,Endometriosis,603,4,B.12.3.4,297,,
608,Genital prolapse,603,4,B.12.3.5,298,,
609,Premenstrual syndrome,603,4,B.12.3.6,299,,X
612,Other gynecological diseases,603,4,B.12.3.7,300,,
613,Hemoglobinopathies and hemolytic anemias,640,3,B.12.4,302,,
614,Thalassemias,613,4,B.12.4.1,303,,
837,Thalassemias trait,613,4,B.12.4.2,304,,X
615,Sickle cell disorders,613,4,B.12.4.3,305,,
838,Sickle cell trait,613,4,B.12.4.4,306,,X
616,G6PD deficiency,613,4,B.12.4.5,307,,
839,G6PD trait,613,4,B.12.4.6,308,,X
618,Other hemoglobinopathies and hemolytic anemias,613,4,B.12.4.7,309,,
619,"Endocrine, metabolic, blood, and immune disorders",640,3,B.12.5,310,,
680,Oral disorders,640,3,B.12.6,311,,X
681,Caries of deciduous teeth,680,4,B.12.6.1,312,,X
682,Caries of permanent teeth,680,4,B.12.6.2,313,,X
683,Periodontal diseases,680,4,B.12.6.3,314,,X
684,Edentulism and severe tooth loss,680,4,B.12.6.4,315,,X
685,Other oral disorders,680,4,B.12.6.5,316,,X
686,Sudden infant death syndrome,640,3,B.12.7,317,X,
687,Injuries,294,1,C,318,,
688,Transport injuries,687,2,C.1,319,,
689,Road injuries,688,3,C.1.1,320,,
690,Pedestrian road injuries,689,4,C.1.1.1,321,,
691,Cyclist road injuries,689,4,C.1.1.2,322,,
692,Motorcyclist road injuries,689,4,C.1.1.3,323,,
693,Motor vehicle road injuries,689,4,C.1.1.4,324,,
694,Other road injuries,689,4,C.1.1.5,325,,
695,Other transport injuries,688,3,C.1.2,326,,
696,Unintentional injuries,687,2,C.2,327,,
697,Falls,696,3,C.2.1,328,,
698,Drowning,696,3,C.2.2,329,,
699,"Fire, heat, and hot substances",696,3,C.2.3,330,,
700,Poisonings,696,3,C.2.4,331,,
701,Poisoning by carbon monoxide,700,4,C.2.4.1,332,,
703,Poisoning by other means,700,4,C.2.4.2,333,,
704,Exposure to mechanical forces,696,3,C.2.5,334,,
705,Unintentional firearm injuries,704,4,C.2.5.1,335,,
707,Other exposure to mechanical forces,704,4,C.2.5.2,336,,
708,Adverse effects of medical treatment,696,3,C.2.6,337,,
709,Animal contact,696,3,C.2.7,338,,
710,Venomous animal contact,709,4,C.2.7.1,339,,
711,Non-venomous animal contact,709,4,C.2.7.2,340,,
712,Foreign body,696,3,C.2.8,341,,
713,Pulmonary aspiration and foreign body in airway,712,4,C.2.8.1,342,,
714,Foreign body in eyes,712,4,C.2.8.2,343,,X
715,Foreign body in other body part,712,4,C.2.8.3,344,,
842,Environmental heat and cold exposure,696,3,C.2.9,345,,
729,Exposure to forces of nature,696,3,C.2.10,346,,
716,Other unintentional injuries,696,3,C.2.11,347,,
717,Self-harm and interpersonal violence,687,2,C.3,348,,
718,Self-harm,717,3,C.3.1,349,,
721,Self-harm by firearm,718,4,C.3.1.1,350,,
723,Self-harm by other specified means,718,4,C.3.1.2,351,,
724,Interpersonal violence,717,3,C.3.2,352,,
725,Physical violence by firearm,724,4,C.3.2.1,353,,
726,Physical violence by sharp object,724,4,C.3.2.2,354,,
941,Sexual violence,724,4,C.3.2.3,355,,X
727,Physical violence by other means,724,4,C.3.2.4,356,,
945,Conflict and terrorism,717,3,C.3.3,357,,
854,Executions and police conflict,717,3,C.3.4,358,,
