rei_id,rei_name,parent_id,rei_type,level,sort_order
180,Cryptosporidium,172,Etiology,2,96
181,Rotavirus,172,Etiology,2,97
182,Aeromonas,172,Etiology,2,98
183,Clostridium difficile,172,Etiology,2,99
184,Norovirus,172,Etiology,2,100
185,Adenovirus,172,Etiology,2,101
186,Lower respiratory infection etiologies,171,Etiology,1,102
187,Influenza,186,Etiology,2,103
188,Pneumococcal pneumonia,186,Etiology,2,104
189,H influenzae type B,186,Etiology,2,105
190,Respiratory syncytial virus,186,Etiology,2,106
192,Anemia,191,Impairment,1,107
205,Mild anemia,192,Impairment,2,108
206,Moderate anemia,192,Impairment,2,109
207,Severe anemia,192,Impairment,2,110
193,Epilepsy,191,Impairment,1,111
208,Treated epilepsy,193,Impairment,2,112
209,Moderate epilepsy,193,Impairment,2,113
210,Severe epilepsy,193,Impairment,2,114
194,Guillain-Barré syndrome,191,Impairment,1,115
195,Hearing loss,191,Impairment,1,116
211,Mild hearing loss,195,Impairment,2,117
212,Moderate hearing loss,195,Impairment,2,118
213,Moderately severe hearing loss,195,Impairment,2,119
214,Severe hearing loss,195,Impairment,2,120
215,Profound hearing loss,195,Impairment,2,121
216,Complete hearing loss,195,Impairment,2,122
196,Heart failure,191,Impairment,1,123
217,Mild heart failure,196,Impairment,2,124
218,Moderate heart failure,196,Impairment,2,125
219,Severe heart failure,196,Impairment,2,126
379,Treated heart failure,196,Impairment,2,127
198,Infertility,191,Impairment,1,128
220,Primary infertility,198,Impairment,2,129
221,Secondary infertility,198,Impairment,2,130
197,Developmental intellectual disability,191,Impairment,1,131
236,Borderline intellectual disability,197,Impairment,2,132
222,Mild intellectual disability,197,Impairment,2,133
223,Moderate intellectual disability,197,Impairment,2,134
224,Severe intellectual disability,197,Impairment,2,135
225,Profound intellectual disability,197,Impairment,2,136
199,Pelvic inflammatory disease,191,Impairment,1,137
226,Moderate pelvic inflammatory disease,199,Impairment,2,138
227,Severe pelvic inflammatory disease,199,Impairment,2,139
200,Blindness and vision impairment,191,Impairment,1,140
228,Mild vision loss,200,Impairment,2,141
229,Moderate vision loss,200,Impairment,2,142
230,Severe vision loss,200,Impairment,2,143
231,Blindness,200,Impairment,2,144
232,Monocular vision loss,200,Impairment,2,145
233,Presbyopia,200,Impairment,2,146
298,Amputations,362,Injury n-codes,1,147
250,"Amputation of lower limbs, bilateral",298,Injury n-codes,2,148
261,"Amputation of upper limbs, bilateral",298,Injury n-codes,2,149
272,Amputation of fingers (excluding thumb),298,Injury n-codes,2,150
283,"Amputation of lower limb, unilateral",298,Injury n-codes,2,151
293,"Amputation of upper limb, unilateral",298,Injury n-codes,2,152
294,Amputation of thumb,298,Injury n-codes,2,153
295,Amputation of toe/toes,298,Injury n-codes,2,154
299,Burns,362,Injury n-codes,1,155
251,Lower airway burns,299,Injury n-codes,2,156
296,"Burns, <20% total burned surface area without lower airway burns",299,Injury n-codes,2,157
297,"Burns, >=20% total burned surface area or >= 10% burned surface area if head/neck or hands/wrist involved w/o lower airway burns",299,Injury n-codes,2,158
300,Fractures,362,Injury n-codes,1,159
256,"Fracture of clavicle, scapula, or humerus",300,Injury n-codes,2,160
257,Fracture of face bones,300,Injury n-codes,2,161
258,Fracture of foot bones except ankle,300,Injury n-codes,2,162
259,Fracture of hand (wrist and other distal part of hand),300,Injury n-codes,2,163
260,Fracture of hip,300,Injury n-codes,2,164
262,"Fracture of patella, tibia or fibula, or ankle",300,Injury n-codes,2,165
263,Fracture of pelvis,300,Injury n-codes,2,166
264,Fracture of radius and/or ulna,300,Injury n-codes,2,167
265,Fracture of skull,300,Injury n-codes,2,168
266,Fracture of sternum and/or fracture of one or more ribs,300,Injury n-codes,2,169
267,Fracture of vertebral column,300,Injury n-codes,2,170
268,"Fracture of femur, other than femoral neck",300,Injury n-codes,2,171
301,Head Injuries,362,Injury n-codes,1,172
269,Minor TBI,301,Injury n-codes,2,173
270,Moderate/Severe TBI,301,Injury n-codes,2,174
302,Spinal Injuries,362,Injury n-codes,1,175
276,Spinal cord lesion at neck level,302,Injury n-codes,2,176
277,Spinal cord lesion below neck level,302,Injury n-codes,2,177
303,Minor Injuries,362,Injury n-codes,1,178
255,"Muscle and tendon injuries, including sprains and strains lesser dislocations",303,Injury n-codes,2,179
273,Foreign body in ear,303,Injury n-codes,2,180
284,Open wound(s),303,Injury n-codes,2,181
288,Contusion in any part of the body,303,Injury n-codes,2,182
291,Superficial injury of any part of the body,303,Injury n-codes,2,183
304,Other Injuries,362,Injury n-codes,1,184
252,Dislocation of hip,304,Injury n-codes,2,185
253,Dislocation of knee,304,Injury n-codes,2,186
254,Dislocation of shoulder,304,Injury n-codes,2,187
274,Foreign body in respiratory system,304,Injury n-codes,2,188
275,Foreign body in GI and urogenital system,304,Injury n-codes,2,189
278,Drowning and nonfatal submersion,304,Injury n-codes,2,190
279,Asphyxiation,304,Injury n-codes,2,191
280,Crush injury,304,Injury n-codes,2,192
281,Nerve injury,304,Injury n-codes,2,193
282,Injury to eyes,304,Injury n-codes,2,194
285,Poisoning requiring urgent care,304,Injury n-codes,2,195
286,Severe chest Injury,304,Injury n-codes,2,196
287,Internal hemorrhage in abdomen and pelvis,304,Injury n-codes,2,197
289,Effect of different environmental factors,304,Injury n-codes,2,198
290,Complications following therapeutic procedures,304,Injury n-codes,2,199
292,"Multiple fractures, dislocations, crashes, wounds, pains, and strains",304,Injury n-codes,2,200
