Name,Label,Concept,Required,Attributes,Limit,Predicate Type,Group,Valid Value
PCT0120050,Male: !! 47 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120051,Male: !! 48 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120052,Male: !! 49 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120053,Male: !! 50 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120054,Male: !! 51 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120055,Male: !! 52 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120056,Male: !! 53 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120057,Male: !! 54 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120058,Male: !! 55 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120059,Male: !! 56 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120060,Male: !! 57 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120061,Male: !! 58 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120062,Male: !! 59 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120063,Male: !! 60 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120064,Male: !! 61 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120065,Male: !! 62 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120066,Male: !! 63 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120067,Male: !! 64 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120068,Male: !! 65 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120069,Male: !! 66 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120070,Male: !! 67 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120071,Male: !! 68 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120072,Male: !! 69 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120073,Male: !! 70 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120074,Male: !! 71 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120075,Male: !! 72 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120076,Male: !! 73 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120077,Male: !! 74 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120078,Male: !! 75 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120079,Male: !! 76 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120080,Male: !! 77 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120081,Male: !! 78 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120082,Male: !! 79 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120083,Male: !! 80 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120084,Male: !! 81 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120085,Male: !! 82 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120086,Male: !! 83 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120087,Male: !! 84 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120088,Male: !! 85 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120089,Male: !! 86 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120090,Male: !! 87 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120091,Male: !! 88 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120092,Male: !! 89 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120093,Male: !! 90 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120094,Male: !! 91 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120095,Male: !! 92 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120096,Male: !! 93 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120097,Male: !! 94 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120098,Male: !! 95 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120099,Male: !! 96 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120100,Male: !! 97 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120101,Male: !! 98 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120102,Male: !! 99 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120103,Male: !! 100 to 104 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120104,Male: !! 105 to 109 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120105,Male: !! 110 years and over,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120106,Female: ,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120107,Female: !! Under 1 year,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120108,Female: !! 1 year,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120109,Female: !! 2 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120110,Female: !! 3 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120111,Female: !! 4 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120112,Female: !! 5 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120113,Female: !! 6 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120114,Female: !! 7 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120115,Female: !! 8 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120116,Female: !! 9 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120117,Female: !! 10 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120118,Female: !! 11 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120119,Female: !! 12 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120120,Female: !! 13 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120121,Female: !! 14 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120122,Female: !! 15 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120123,Female: !! 16 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120124,Female: !! 17 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120125,Female: !! 18 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120126,Female: !! 19 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120127,Female: !! 20 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120128,Female: !! 21 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120129,Female: !! 22 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120130,Female: !! 23 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120131,Female: !! 24 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120132,Female: !! 25 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120133,Female: !! 26 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120134,Female: !! 27 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120135,Female: !! 28 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120136,Female: !! 29 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120137,Female: !! 30 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120138,Female: !! 31 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120139,Female: !! 32 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120140,Female: !! 33 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120141,Female: !! 34 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120142,Female: !! 35 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120143,Female: !! 36 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120144,Female: !! 37 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120145,Female: !! 38 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120146,Female: !! 39 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120147,Female: !! 40 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120148,Female: !! 41 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120149,Female: !! 42 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120150,Female: !! 43 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120151,Female: !! 44 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120152,Female: !! 45 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120153,Female: !! 46 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120154,Female: !! 47 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120155,Female: !! 48 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120156,Female: !! 49 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120157,Female: !! 50 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120158,Female: !! 51 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120159,Female: !! 52 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120160,Female: !! 53 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120161,Female: !! 54 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120162,Female: !! 55 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120163,Female: !! 56 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120164,Female: !! 57 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120165,Female: !! 58 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120166,Female: !! 59 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120167,Female: !! 60 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120168,Female: !! 61 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120169,Female: !! 62 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120170,Female: !! 63 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120171,Female: !! 64 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120172,Female: !! 65 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120173,Female: !! 66 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120174,Female: !! 67 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120175,Female: !! 68 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120176,Female: !! 69 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120177,Female: !! 70 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120178,Female: !! 71 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120179,Female: !! 72 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120180,Female: !! 73 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120181,Female: !! 74 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120182,Female: !! 75 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120183,Female: !! 76 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120184,Female: !! 77 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120185,Female: !! 78 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120186,Female: !! 79 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120187,Female: !! 80 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120188,Female: !! 81 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120189,Female: !! 82 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120190,Female: !! 83 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120191,Female: !! 84 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120192,Female: !! 85 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120193,Female: !! 86 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120194,Female: !! 87 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120195,Female: !! 88 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120196,Female: !! 89 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120197,Female: !! 90 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120198,Female: !! 91 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120199,Female: !! 92 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120200,Female: !! 93 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120201,Female: !! 94 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120202,Female: !! 95 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120203,Female: !! 96 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120204,Female: !! 97 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120205,Female: !! 98 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120206,Female: !! 99 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120207,Female: !! 100 to 104 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120208,Female: !! 105 to 109 years,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT0120209,Female: !! 110 years and over,PCT12. Sex By Age [209],not required,,0,(not a predicate),N/A,N/A
PCT012A001,People who are White alone,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A002,Male:,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A003,Male: !! Under 1 year,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A004,Male: !! 1 year,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A005,Male: !! 2 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A006,Male: !! 3 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A007,Male: !! 4 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A008,Male: !! 5 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A009,Male: !! 6 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A010,Male: !! 7 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A011,Male: !! 8 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A012,Male: !! 9 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A013,Male: !! 10 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A014,Male: !! 11 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A015,Male: !! 12 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A016,Male: !! 13 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A017,Male: !! 14 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A018,Male: !! 15 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A019,Male: !! 16 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A020,Male: !! 17 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A021,Male: !! 18 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A022,Male: !! 19 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A023,Male: !! 20 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A024,Male: !! 21 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A025,Male: !! 22 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A026,Male: !! 23 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A027,Male: !! 24 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A028,Male: !! 25 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A029,Male: !! 26 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A030,Male: !! 27 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A031,Male: !! 28 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A032,Male: !! 29 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A033,Male: !! 30 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A034,Male: !! 31 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A035,Male: !! 32 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A036,Male: !! 33 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A037,Male: !! 34 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A038,Male: !! 35 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A039,Male: !! 36 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A040,Male: !! 37 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A041,Male: !! 38 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A042,Male: !! 39 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A043,Male: !! 40 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A044,Male: !! 41 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A045,Male: !! 42 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A046,Male: !! 43 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A047,Male: !! 44 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A048,Male: !! 45 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A049,Male: !! 46 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A050,Male: !! 47 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
PCT012A051,Male: !! 48 years,PCT12A. Sex By Age (White Alone) [209],not required,,0,(not a predicate),N/A,N/A
