Indicator,Geography,Year,Strata,Strata Name,Numerator,Denominator,Rate,Age Adjusted Rate
Homicide,CALIFORNIA,2010,Sex,Total,1961,37330000,5.253,5.124
Homicide,CALIFORNIA,2011,Sex,Female,343,18940000,1.811,1.784
Homicide,CALIFORNIA,2011,Sex,Male,1647,18730000,8.792,8.445
Homicide,CALIFORNIA,2011,Sex,Total,1990,37670000,5.282,5.172
Homicide,CALIFORNIA,2012,Sex,Female,343,19130000,1.793,1.788
Homicide,CALIFORNIA,2012,Sex,Male,1749,18920000,9.246,8.939
Homicide,CALIFORNIA,2012,Sex,Total,2092,38040000,5.499,5.427
Homicide,CALIFORNIA,2013,Sex,Female,306,19290000,1.586,1.588
Homicide,CALIFORNIA,2013,Sex,Male,1623,19080000,8.505,8.28
Homicide,CALIFORNIA,2013,Sex,Total,1929,38370000,5.027,4.989
Homicide,CALIFORNIA,2014,Sex,Female,306,19470000,1.572,1.574
Homicide,CALIFORNIA,2014,Sex,Male,1572,19270000,8.157,7.987
Homicide,CALIFORNIA,2014,Sex,Total,1878,38740000,4.848,4.834
Homicide,CALIFORNIA,2015,Sex,Female,325,19630000,1.656,1.645
Homicide,CALIFORNIA,2015,Sex,Male,1755,19430000,9.031,8.858
Homicide,CALIFORNIA,2015,Sex,Total,2080,39060000,5.325,5.32
Homicide,CALIFORNIA,2016,Sex,Female,325,19770000,1.644,1.645
Homicide,CALIFORNIA,2016,Sex,Male,1792,19580000,9.151,9.052
Homicide,CALIFORNIA,2016,Sex,Total,2117,39350000,5.379,5.414
Homicide,CALIFORNIA,2017,Sex,Female,360,19930000,1.806,1.817
Homicide,CALIFORNIA,2017,Sex,Male,1659,19760000,8.396,8.361
Homicide,CALIFORNIA,2017,Sex,Total,2019,39690000,5.086,5.152
Homicide,Alameda,2000-2002,Race/Ethnicity,Asian-NH,31,970100,3.196,3.038
Homicide,Alameda,2000-2002,Race/Ethnicity,Black-NH,250,622600,40.15,39.27
Homicide,Alameda,2000-2002,Race/Ethnicity,Hisp,44,858900,5.123,5.514
Homicide,Alameda,2000-2002,Race/Ethnicity,White-NH,44,1757000,2.505,2.361
Homicide,Alameda,2003-2005,Race/Ethnicity,Asian-NH,22,1028000,2.139,1.962
Homicide,Alameda,2003-2005,Race/Ethnicity,Black-NH,236,596200,39.58,38.78
Homicide,Alameda,2003-2005,Race/Ethnicity,Hisp,80,903100,8.858,7.557
Homicide,Alameda,2003-2005,Race/Ethnicity,White-NH,36,1677000,2.146,2.088
Homicide,Alameda,2006-2008,Race/Ethnicity,Asian-NH,22,1093000,2.014,1.93
Homicide,Alameda,2006-2008,Race/Ethnicity,Black-NH,299,576200,51.89,50.49
Homicide,Alameda,2006-2008,Race/Ethnicity,Hisp,111,950000,11.68,9.584
Homicide,Alameda,2006-2008,Race/Ethnicity,White-NH,42,1613000,2.604,2.593
Homicide,Alameda,2009-2011,Race/Ethnicity,Asian-NH,27,1180000,2.289,2.187
Homicide,Alameda,2009-2011,Race/Ethnicity,Black-NH,216,561000,38.5,37.03
Homicide,Alameda,2009-2011,Race/Ethnicity,Hisp,80,1024000,7.809,7.057
Homicide,Alameda,2009-2011,Race/Ethnicity,White-NH,41,1564000,2.621,2.478
Homicide,Alameda,2012-2014,Race/Ethnicity,Asian-NH,20,1259000,1.588,1.592
Homicide,Alameda,2012-2014,Race/Ethnicity,Black-NH,220,564700,38.96,38.72
Homicide,Alameda,2012-2014,Race/Ethnicity,Hisp,62,1087000,5.705,5.193
Homicide,Alameda,2012-2014,Race/Ethnicity,White-NH,41,1579000,2.596,2.413
Homicide,Alameda,2015-2017,Race/Ethnicity,Asian-NH,14,1338000,1.047,0.8879
Homicide,Alameda,2015-2017,Race/Ethnicity,Black-NH,177,567200,31.2,31.04
Homicide,Alameda,2015-2017,Race/Ethnicity,Hisp,85,1145000,7.427,6.573
Homicide,Alameda,2015-2017,Race/Ethnicity,White-NH,31,1589000,1.951,1.893
Homicide,Butte,2000-2002,Race/Ethnicity,White-NH,23,493000,4.665,4.946
Homicide,Butte,2003-2005,Race/Ethnicity,White-NH,16,500500,3.197,3.186
Homicide,Butte,2006-2008,Race/Ethnicity,White-NH,21,503500,4.171,4.666
Homicide,Butte,2009-2011,Race/Ethnicity,White-NH,20,498200,4.015,3.96
Homicide,Butte,2012-2014,Race/Ethnicity,White-NH,20,497100,4.024,3.958
Homicide,Butte,2015-2017,Race/Ethnicity,White-NH,15,500000,3,2.909
Homicide,CALIFORNIA,2000-2002,Race/Ethnicity,AIAN-NH,34,531100,6.401,6.147
Homicide,CALIFORNIA,2000-2002,Race/Ethnicity,Asian-NH,347,11980000,2.897,2.774
Homicide,CALIFORNIA,2000-2002,Race/Ethnicity,Black-NH,2003,6624000,30.24,29.04
Homicide,CALIFORNIA,2000-2002,Race/Ethnicity,Hisp,2971,34400000,8.636,7.934
Homicide,CALIFORNIA,2000-2002,Race/Ethnicity,Multi-NH,40,1964000,2.037,1.975
Homicide,CALIFORNIA,2000-2002,Race/Ethnicity,NHPI-NH,34,342600,9.925,8.229
Homicide,CALIFORNIA,2000-2002,Race/Ethnicity,White-NH,1567,47610000,3.291,3.285
Homicide,CALIFORNIA,2003-2005,Race/Ethnicity,AIAN-NH,41,518900,7.901,7.838
Homicide,CALIFORNIA,2003-2005,Race/Ethnicity,Asian-NH,402,12740000,3.154,3.015
Homicide,CALIFORNIA,2003-2005,Race/Ethnicity,Black-NH,2275,6673000,34.09,32.67
Homicide,CALIFORNIA,2003-2005,Race/Ethnicity,Hisp,3414,37200000,9.178,8.206
Homicide,CALIFORNIA,2003-2005,Race/Ethnicity,Multi-NH,65,2247000,2.893,2.866
Homicide,CALIFORNIA,2003-2005,Race/Ethnicity,NHPI-NH,37,361100,10.25,9.316
Homicide,CALIFORNIA,2003-2005,Race/Ethnicity,White-NH,1450,47380000,3.06,3.039
Homicide,CALIFORNIA,2006-2008,Race/Ethnicity,AIAN-NH,46,510300,9.015,8.678
Homicide,CALIFORNIA,2006-2008,Race/Ethnicity,Asian-NH,340,13420000,2.534,2.439
Homicide,CALIFORNIA,2006-2008,Race/Ethnicity,Black-NH,2037,6650000,30.63,29.15
Homicide,CALIFORNIA,2006-2008,Race/Ethnicity,Hisp,3451,39550000,8.725,7.785
Homicide,CALIFORNIA,2006-2008,Race/Ethnicity,Multi-NH,88,2477000,3.553,3.42
Homicide,CALIFORNIA,2006-2008,Race/Ethnicity,NHPI-NH,43,376800,11.41,9.629
Homicide,CALIFORNIA,2006-2008,Race/Ethnicity,White-NH,1322,46670000,2.833,2.785
Homicide,CALIFORNIA,2009-2011,Race/Ethnicity,AIAN-NH,26,502900,5.17,4.999
Homicide,CALIFORNIA,2009-2011,Race/Ethnicity,Asian-NH,299,14330000,2.086,1.994
Homicide,CALIFORNIA,2009-2011,Race/Ethnicity,Black-NH,1620,6606000,24.52,23.05
Homicide,CALIFORNIA,2009-2011,Race/Ethnicity,Hisp,2831,42170000,6.714,6.086
Homicide,CALIFORNIA,2009-2011,Race/Ethnicity,Multi-NH,93,2752000,3.38,3.502
Homicide,CALIFORNIA,2009-2011,Race/Ethnicity,NHPI-NH,32,398900,8.021,7.515
Homicide,CALIFORNIA,2009-2011,Race/Ethnicity,White-NH,1192,45330000,2.63,2.595
Homicide,CALIFORNIA,2012-2014,Race/Ethnicity,AIAN-NH,49,512900,9.553,9.697
Homicide,CALIFORNIA,2012-2014,Race/Ethnicity,Asian-NH,266,15060000,1.766,1.711
Homicide,CALIFORNIA,2012-2014,Race/Ethnicity,Black-NH,1623,6680000,24.3,23.36
Homicide,CALIFORNIA,2012-2014,Race/Ethnicity,Hisp,2534,44310000,5.719,5.306
Homicide,CALIFORNIA,2012-2014,Race/Ethnicity,Multi-NH,82,2993000,2.74,2.804
Homicide,CALIFORNIA,2012-2014,Race/Ethnicity,NHPI-NH,29,418200,6.934,6.336
Homicide,CALIFORNIA,2012-2014,Race/Ethnicity,White-NH,1303,45180000,2.884,2.85
Homicide,CALIFORNIA,2015-2017,Race/Ethnicity,AIAN-NH,53,523600,10.12,10.25
Homicide,CALIFORNIA,2015-2017,Race/Ethnicity,Asian-NH,291,15730000,1.85,1.748
Homicide,CALIFORNIA,2015-2017,Race/Ethnicity,Black-NH,1615,6755000,23.91,23.36
Homicide,CALIFORNIA,2015-2017,Race/Ethnicity,Hisp,2803,46350000,6.048,5.679
Homicide,CALIFORNIA,2015-2017,Race/Ethnicity,Multi-NH,108,3204000,3.371,3.618
Homicide,CALIFORNIA,2015-2017,Race/Ethnicity,NHPI-NH,32,435000,7.357,6.965
Homicide,CALIFORNIA,2015-2017,Race/Ethnicity,White-NH,1300,45010000,2.889,2.875
Homicide,Contra Costa,2000-2002,Race/Ethnicity,Black-NH,107,268200,39.9,40.44
Homicide,Contra Costa,2000-2002,Race/Ethnicity,Hisp,20,554400,3.607,4.063
Homicide,Contra Costa,2000-2002,Race/Ethnicity,White-NH,39,1635000,2.385,2.433
Homicide,Contra Costa,2003-2005,Race/Ethnicity,Asian-NH,14,373600,3.747,3.788
Homicide,Contra Costa,2003-2005,Race/Ethnicity,Black-NH,132,274000,48.18,48.37
Homicide,Contra Costa,2003-2005,Race/Ethnicity,Hisp,59,615100,9.592,8.601
Homicide,Contra Costa,2003-2005,Race/Ethnicity,White-NH,50,1618000,3.089,3.429
Homicide,Contra Costa,2006-2008,Race/Ethnicity,Black-NH,144,278100,51.77,51.37
Homicide,Contra Costa,2006-2008,Race/Ethnicity,Hisp,78,676700,11.53,10.13
Homicide,Contra Costa,2006-2008,Race/Ethnicity,White-NH,52,1584000,3.283,3.507
Homicide,Contra Costa,2009-2011,Race/Ethnicity,Black-NH,132,284200,46.44,45.11
Homicide,Contra Costa,2009-2011,Race/Ethnicity,Hisp,63,763000,8.257,7.755
Homicide,Contra Costa,2009-2011,Race/Ethnicity,White-NH,41,1527000,2.685,3.074
Homicide,Contra Costa,2012-2014,Race/Ethnicity,Black-NH,98,290700,33.71,32.6
Homicide,Contra Costa,2012-2014,Race/Ethnicity,Hisp,48,825600,5.814,5.164
Homicide,Contra Costa,2012-2014,Race/Ethnicity,White-NH,31,1516000,2.045,2.134
Homicide,Contra Costa,2015-2017,Race/Ethnicity,Black-NH,95,297300,31.95,32.45
Homicide,Contra Costa,2015-2017,Race/Ethnicity,Hisp,51,887100,5.749,5.011
Homicide,Contra Costa,2015-2017,Race/Ethnicity,White-NH,40,1502000,2.663,2.796
Homicide,El Dorado,2006-2008,Race/Ethnicity,White-NH,17,434000,3.917,4.271
Homicide,Fresno,2000-2002,Race/Ethnicity,Black-NH,34,124300,27.36,26.97
Homicide,Fresno,2000-2002,Race/Ethnicity,Hisp,84,1103000,7.617,7.778
Homicide,Fresno,2000-2002,Race/Ethnicity,White-NH,38,956600,3.972,3.986
Homicide,Fresno,2003-2005,Race/Ethnicity,Asian-NH,29,227400,12.75,11.11
Homicide,Fresno,2003-2005,Race/Ethnicity,Black-NH,50,129400,38.65,36.86
Homicide,Fresno,2003-2005,Race/Ethnicity,Hisp,121,1202000,10.07,10.05
Homicide,Fresno,2003-2005,Race/Ethnicity,White-NH,26,959900,2.709,2.72
Homicide,Fresno,2006-2008,Race/Ethnicity,Asian-NH,15,245600,6.109,4.889
Homicide,Fresno,2006-2008,Race/Ethnicity,Black-NH,38,133500,28.46,29.14
Homicide,Fresno,2006-2008,Race/Ethnicity,Hisp,128,1301000,9.835,9.152
Homicide,Fresno,2006-2008,Race/Ethnicity,White-NH,36,954700,3.771,3.61
Homicide,Fresno,2009-2011,Race/Ethnicity,Asian-NH,12,263400,4.555,4.427
Homicide,Fresno,2009-2011,Race/Ethnicity,Black-NH,38,136900,27.75,25.07
Homicide,Fresno,2009-2011,Race/Ethnicity,Hisp,127,1406000,9.036,8.59
Homicide,Fresno,2009-2011,Race/Ethnicity,White-NH,41,923900,4.438,4.387
Homicide,Fresno,2012-2014,Race/Ethnicity,Asian-NH,13,274800,4.731,4.341
Homicide,Fresno,2012-2014,Race/Ethnicity,Black-NH,50,140200,35.66,33.35
Homicide,Fresno,2012-2014,Race/Ethnicity,Hisp,119,1477000,8.056,7.756
Homicide,Fresno,2012-2014,Race/Ethnicity,White-NH,41,913700,4.487,4.36
Homicide,Fresno,2015-2017,Race/Ethnicity,Black-NH,56,145500,38.5,36.85
Homicide,Fresno,2015-2017,Race/Ethnicity,Hisp,124,1557000,7.966,8.038
Homicide,Fresno,2015-2017,Race/Ethnicity,White-NH,36,911800,3.948,3.972
Homicide,Humboldt,2000-2002,Race/Ethnicity,White-NH,15,312600,4.798,4.294
Homicide,Humboldt,2009-2011,Race/Ethnicity,White-NH,15,313000,4.792,4.685
Homicide,Humboldt,2012-2014,Race/Ethnicity,White-NH,20,310000,6.451,5.643
Homicide,Humboldt,2015-2017,Race/Ethnicity,White-NH,24,309700,7.751,7.805
Homicide,Imperial,2000-2002,Race/Ethnicity,Hisp,11,323000,3.405,3.307
Homicide,Imperial,2006-2008,Race/Ethnicity,Hisp,17,389300,4.367,4.416
Homicide,Kern,2000-2002,Race/Ethnicity,Black-NH,36,116500,30.89,28.23
Homicide,Kern,2000-2002,Race/Ethnicity,Hisp,67,826200,8.109,7.551
Homicide,Kern,2000-2002,Race/Ethnicity,White-NH,43,976500,4.403,4.508
Homicide,Kern,2003-2005,Race/Ethnicity,Black-NH,40,124700,32.09,28.79
Homicide,Kern,2003-2005,Race/Ethnicity,Hisp,77,966400,7.968,7.454
Homicide,Kern,2003-2005,Race/Ethnicity,White-NH,54,989800,5.456,5.674
Homicide,Kern,2006-2008,Race/Ethnicity,Black-NH,41,133400,30.73,26.15
Homicide,Kern,2006-2008,Race/Ethnicity,Hisp,105,1113000,9.433,8.931
Homicide,Kern,2006-2008,Race/Ethnicity,White-NH,40,1010000,3.961,3.973
Homicide,Kern,2009-2011,Race/Ethnicity,Black-NH,55,138000,39.86,36.09
Homicide,Kern,2009-2011,Race/Ethnicity,Hisp,113,1241000,9.106,8.019
Homicide,Kern,2009-2011,Race/Ethnicity,White-NH,42,978100,4.294,4.497
Homicide,Kern,2012-2014,Race/Ethnicity,Black-NH,44,142100,30.96,27.28
Homicide,Kern,2012-2014,Race/Ethnicity,Hisp,114,1316000,8.665,8.373
Homicide,Kern,2012-2014,Race/Ethnicity,White-NH,58,972900,5.962,6.07
Homicide,Kern,2015-2017,Race/Ethnicity,Black-NH,45,146000,30.82,28.06
Homicide,Kern,2015-2017,Race/Ethnicity,Hisp,149,1398000,10.65,10.25
Homicide,Kern,2015-2017,Race/Ethnicity,White-NH,54,977000,5.527,5.915
Homicide,Kings,2003-2005,Race/Ethnicity,Hisp,12,196100,6.12,5.404
Homicide,Kings,2009-2011,Race/Ethnicity,Hisp,15,230300,6.514,7.603
Homicide,Kings,2012-2014,Race/Ethnicity,White-NH,11,154300,7.131,6.838
Homicide,Kings,2015-2017,Race/Ethnicity,Hisp,24,245200,9.787,9.785
Homicide,Lake,2012-2014,Race/Ethnicity,White-NH,14,141900,9.866,10.81
Homicide,Lake,2015-2017,Race/Ethnicity,White-NH,14,142000,9.861,9.978
Homicide,Los Angeles,2000-2002,Race/Ethnicity,Asian-NH,120,3619000,3.316,3.125
Homicide,Los Angeles,2000-2002,Race/Ethnicity,Black-NH,1102,2704000,40.75,40.35
Homicide,Los Angeles,2000-2002,Race/Ethnicity,Hisp,1602,12950000,12.37,11.05
Homicide,Los Angeles,2000-2002,Race/Ethnicity,NHPI-NH,14,72030,19.44,16.14
Homicide,Los Angeles,2000-2002,Race/Ethnicity,White-NH,403,9065000,4.445,4.405
Homicide,Los Angeles,2003-2005,Race/Ethnicity,Asian-NH,119,3754000,3.17,3.038
Homicide,Los Angeles,2003-2005,Race/Ethnicity,Black-NH,1119,2665000,41.99,41.38
Homicide,Los Angeles,2003-2005,Race/Ethnicity,Hisp,1634,13520000,12.09,10.61
Homicide,Los Angeles,2003-2005,Race/Ethnicity,Multi-NH,13,464500,2.799,2.626
Homicide,Los Angeles,2003-2005,Race/Ethnicity,White-NH,323,8880000,3.637,3.589
Homicide,Los Angeles,2006-2008,Race/Ethnicity,Asian-NH,104,3819000,2.723,2.698
Homicide,Los Angeles,2006-2008,Race/Ethnicity,Black-NH,857,2574000,33.29,32.45
Homicide,Los Angeles,2006-2008,Race/Ethnicity,Hisp,1482,13790000,10.74,9.396
Homicide,Los Angeles,2006-2008,Race/Ethnicity,NHPI-NH,15,70820,21.18,17.27
Homicide,Los Angeles,2006-2008,Race/Ethnicity,White-NH,255,8541000,2.986,2.925
Homicide,Los Angeles,2009-2011,Race/Ethnicity,Asian-NH,65,3956000,1.643,1.515
Homicide,Los Angeles,2009-2011,Race/Ethnicity,Black-NH,638,2498000,25.54,24.88
Homicide,Los Angeles,2009-2011,Race/Ethnicity,Hisp,1068,14180000,7.533,6.733
Homicide,Los Angeles,2009-2011,Race/Ethnicity,Multi-NH,11,542400,2.028,2.089
Homicide,Los Angeles,2009-2011,Race/Ethnicity,White-NH,198,8239000,2.403,2.231
Homicide,Los Angeles,2012-2014,Race/Ethnicity,Asian-NH,46,4091000,1.125,1.09
Homicide,Los Angeles,2012-2014,Race/Ethnicity,Black-NH,618,2506000,24.66,24.59
Homicide,Los Angeles,2012-2014,Race/Ethnicity,Hisp,867,14700000,5.899,5.459
Homicide,Los Angeles,2012-2014,Race/Ethnicity,White-NH,205,8159000,2.512,2.349
Homicide,Los Angeles,2015-2017,Race/Ethnicity,Asian-NH,80,4216000,1.897,1.753
Homicide,Los Angeles,2015-2017,Race/Ethnicity,Black-NH,606,2511000,24.13,24.26
Homicide,Los Angeles,2015-2017,Race/Ethnicity,Hisp,988,15210000,6.495,6.096
Homicide,Los Angeles,2015-2017,Race/Ethnicity,Multi-NH,14,622600,2.249,2.309
Homicide,Los Angeles,2015-2017,Race/Ethnicity,White-NH,188,7994000,2.352,2.314
Homicide,Madera,2000-2002,Race/Ethnicity,Hisp,16,174900,9.15,7.904
Homicide,Madera,2003-2005,Race/Ethnicity,Hisp,15,198300,7.565,6.39
Homicide,Madera,2006-2008,Race/Ethnicity,Hisp,15,222900,6.73,5.771
Homicide,Madera,2009-2011,Race/Ethnicity,Hisp,13,241900,5.373,5.148
Homicide,Madera,2012-2014,Race/Ethnicity,Hisp,23,254000,9.055,7.703
Homicide,Madera,2015-2017,Race/Ethnicity,Hisp,11,267300,4.115,4.157
Homicide,Mendocino,2000-2002,Race/Ethnicity,White-NH,12,194300,6.175,6.321
Homicide,Mendocino,2009-2011,Race/Ethnicity,White-NH,11,180400,6.099,6.759
Homicide,Merced,2000-2002,Race/Ethnicity,Hisp,19,305800,6.212,5.543
Homicide,Merced,2003-2005,Race/Ethnicity,Hisp,32,349500,9.156,8.401
Homicide,Merced,2003-2005,Race/Ethnicity,White-NH,14,264100,5.301,5.432
Homicide,Merced,2006-2008,Race/Ethnicity,Hisp,33,388400,8.497,9.195
Homicide,Merced,2006-2008,Race/Ethnicity,White-NH,13,261800,4.965,5.92
Homicide,Merced,2009-2011,Race/Ethnicity,Hisp,34,421900,8.059,8.422
Homicide,Merced,2012-2014,Race/Ethnicity,Hisp,47,445900,10.54,10.04
Homicide,Merced,2012-2014,Race/Ethnicity,White-NH,13,245800,5.289,5.645
Homicide,Merced,2015-2017,Race/Ethnicity,Hisp,50,467000,10.71,9.996
Homicide,Monterey,2000-2002,Race/Ethnicity,Hisp,68,586400,11.6,9.826
Homicide,Monterey,2000-2002,Race/Ethnicity,White-NH,12,482100,2.489,2.903
Homicide,Monterey,2003-2005,Race/Ethnicity,Hisp,62,621600,9.974,8.213
Homicide,Monterey,2006-2008,Race/Ethnicity,Hisp,70,645700,10.84,9.619
Homicide,Monterey,2009-2011,Race/Ethnicity,Hisp,111,691300,16.06,13.11
Homicide,Monterey,2009-2011,Race/Ethnicity,White-NH,14,412800,3.392,3.128
Homicide,Monterey,2012-2014,Race/Ethnicity,Hisp,112,732800,15.28,13.46
Homicide,Monterey,2015-2017,Race/Ethnicity,Hisp,128,774100,16.54,15.66
Homicide,Monterey,2015-2017,Race/Ethnicity,White-NH,17,395000,4.303,4.914
Homicide,Orange,2000-2002,Race/Ethnicity,Asian-NH,22,1284000,1.714,1.712
Homicide,Orange,2000-2002,Race/Ethnicity,Black-NH,11,132100,8.33,7.573
Homicide,Orange,2000-2002,Race/Ethnicity,Hisp,130,2680000,4.85,4.629
Homicide,Orange,2000-2002,Race/Ethnicity,White-NH,73,4367000,1.672,1.638
Homicide,Orange,2003-2005,Race/Ethnicity,Asian-NH,38,1369000,2.775,2.599
Homicide,Orange,2003-2005,Race/Ethnicity,Black-NH,12,133400,8.998,9.109
Homicide,Orange,2003-2005,Race/Ethnicity,Hisp,135,2826000,4.778,4.632
Homicide,Orange,2003-2005,Race/Ethnicity,White-NH,71,4310000,1.647,1.593
Homicide,Orange,2006-2008,Race/Ethnicity,Asian-NH,24,1440000,1.666,1.656
Homicide,Orange,2006-2008,Race/Ethnicity,Hisp,166,2920000,5.685,5.169
Homicide,Orange,2006-2008,Race/Ethnicity,White-NH,62,4181000,1.483,1.459
Homicide,Orange,2009-2011,Race/Ethnicity,Asian-NH,23,1587000,1.449,1.467
Homicide,Orange,2009-2011,Race/Ethnicity,Hisp,128,3061000,4.181,3.69
Homicide,Orange,2009-2011,Race/Ethnicity,White-NH,70,4031000,1.737,1.695
Homicide,Orange,2012-2014,Race/Ethnicity,Asian-NH,17,1724000,0.9862,0.9645
Homicide,Orange,2012-2014,Race/Ethnicity,Hisp,106,3210000,3.302,2.87
Homicide,Orange,2012-2014,Race/Ethnicity,White-NH,54,3993000,1.352,1.296
Homicide,Orange,2015-2017,Race/Ethnicity,Asian-NH,24,1827000,1.313,1.345
Homicide,Orange,2015-2017,Race/Ethnicity,Hisp,118,3340000,3.533,3.202
Homicide,Orange,2015-2017,Race/Ethnicity,White-NH,68,3942000,1.725,1.615
Homicide,Placer,2000-2002,Race/Ethnicity,White-NH,11,653600,1.683,1.624
Homicide,Placer,2003-2005,Race/Ethnicity,White-NH,14,726700,1.927,1.884
Homicide,Placer,2012-2014,Race/Ethnicity,White-NH,21,822800,2.552,2.724
Homicide,Placer,2015-2017,Race/Ethnicity,White-NH,13,839700,1.548,1.626
Homicide,Riverside,2000-2002,Race/Ethnicity,Black-NH,43,297900,14.43,13.48
Homicide,Riverside,2000-2002,Race/Ethnicity,Hisp,158,1869000,8.454,7.766
Homicide,Riverside,2000-2002,Race/Ethnicity,White-NH,104,2383000,4.364,4.827
Homicide,Riverside,2003-2005,Race/Ethnicity,Black-NH,57,337800,16.88,16.72
Homicide,Riverside,2003-2005,Race/Ethnicity,Hisp,185,2282000,8.106,7.236
Homicide,Riverside,2003-2005,Race/Ethnicity,White-NH,89,2534000,3.513,3.803
Homicide,Riverside,2006-2008,Race/Ethnicity,Black-NH,54,374700,14.41,14.31
Homicide,Riverside,2006-2008,Race/Ethnicity,Hisp,202,2681000,7.533,7.281
Homicide,Riverside,2006-2008,Race/Ethnicity,White-NH,102,2669000,3.822,3.954
Homicide,Riverside,2009-2011,Race/Ethnicity,Black-NH,57,396400,14.38,13.9
Homicide,Riverside,2009-2011,Race/Ethnicity,Hisp,159,2985000,5.327,4.949
Homicide,Riverside,2009-2011,Race/Ethnicity,White-NH,63,2634000,2.392,2.386
Homicide,Riverside,2012-2014,Race/Ethnicity,Black-NH,67,411600,16.28,15.69
Homicide,Riverside,2012-2014,Race/Ethnicity,Hisp,138,3173000,4.349,4.247
Homicide,Riverside,2012-2014,Race/Ethnicity,White-NH,104,2647000,3.929,4.261
Homicide,Riverside,2015-2017,Race/Ethnicity,Black-NH,72,425700,16.91,16.92
Homicide,Riverside,2015-2017,Race/Ethnicity,Hisp,154,3342000,4.608,4.463
Homicide,Riverside,2015-2017,Race/Ethnicity,White-NH,82,2666000,3.075,3.093
Homicide,Sacramento,2000-2002,Race/Ethnicity,Asian-NH,18,454100,3.964,3.632
Homicide,Sacramento,2000-2002,Race/Ethnicity,Black-NH,81,372600,21.74,20.84
Homicide,Sacramento,2000-2002,Race/Ethnicity,Hisp,45,651200,6.91,6.783
Homicide,Sacramento,2000-2002,Race/Ethnicity,White-NH,86,2137000,4.025,4.011
Homicide,Sacramento,2003-2005,Race/Ethnicity,Asian-NH,38,507100,7.494,7.09
Homicide,Sacramento,2003-2005,Race/Ethnicity,Black-NH,98,395700,24.77,23.24
Homicide,Sacramento,2003-2005,Race/Ethnicity,Hisp,62,740000,8.379,7.311
Homicide,Sacramento,2003-2005,Race/Ethnicity,White-NH,89,2179000,4.085,4.114
Homicide,Sacramento,2006-2008,Race/Ethnicity,Asian-NH,32,550400,5.814,5.555
Homicide,Sacramento,2006-2008,Race/Ethnicity,Black-NH,92,410400,22.42,21.22
Homicide,Sacramento,2006-2008,Race/Ethnicity,Hisp,97,820800,11.82,10.89
Homicide,Sacramento,2006-2008,Race/Ethnicity,White-NH,77,2159000,3.566,3.442
Homicide,Sacramento,2009-2011,Race/Ethnicity,Asian-NH,21,598100,3.511,3.429
Homicide,Sacramento,2009-2011,Race/Ethnicity,Black-NH,83,423200,19.61,18.59
Homicide,Sacramento,2009-2011,Race/Ethnicity,Hisp,59,914500,6.452,5.506
