"Region","Cause","Sex","Age","RRadj"
"Central Coast","Inflammatory Heart Disease",2,"0",1
"Central Coast","Inflammatory Heart Disease",2,"15",1
"Central Coast","Inflammatory Heart Disease",2,"30",1
"Central Coast","Inflammatory Heart Disease",2,"45",1
"Central Coast","Inflammatory Heart Disease",2,"5",1
"Central Coast","Inflammatory Heart Disease",2,"60",1
"Central Coast","Inflammatory Heart Disease",2,"70",1
"Central Coast","Inflammatory Heart Disease",2,"80",1.6330982422967
"Central Coast","Inflammatory Heart Disease",2,"NA",1
"Central Coast","Ischemic Heart Disease",1,"0",1
"Central Coast","Ischemic Heart Disease",1,"15",1
"Central Coast","Ischemic Heart Disease",1,"30",1
"Central Coast","Ischemic Heart Disease",1,"45",1.64241387031765
"Central Coast","Ischemic Heart Disease",1,"5",1
"Central Coast","Ischemic Heart Disease",1,"60",1.78699309345689
"Central Coast","Ischemic Heart Disease",1,"70",1.22228937077853
"Central Coast","Ischemic Heart Disease",1,"80",1.01245872569402
"Central Coast","Ischemic Heart Disease",1,"NA",1
"Central Coast","Ischemic Heart Disease",2,"0",1
"Central Coast","Ischemic Heart Disease",2,"15",1
"Central Coast","Ischemic Heart Disease",2,"30",1
"Central Coast","Ischemic Heart Disease",2,"45",2.47302004292399
"Central Coast","Ischemic Heart Disease",2,"5",1
"Central Coast","Ischemic Heart Disease",2,"60",1.53152849833443
"Central Coast","Ischemic Heart Disease",2,"70",1.81357686074056
"Central Coast","Ischemic Heart Disease",2,"80",1.02728855551135
"Central Coast","Ischemic Heart Disease",2,"NA",1
"Central Coast","Lung Cancer",1,"0",1
"Central Coast","Lung Cancer",1,"15",1
"Central Coast","Lung Cancer",1,"30",1
"Central Coast","Lung Cancer",1,"45",1
"Central Coast","Lung Cancer",1,"5",1
"Central Coast","Lung Cancer",1,"60",1.07984996502161
"Central Coast","Lung Cancer",1,"70",0.948327960086789
"Central Coast","Lung Cancer",1,"80",1.08268707660921
"Central Coast","Lung Cancer",1,"NA",1
"Central Coast","Lung Cancer",2,"0",1
"Central Coast","Lung Cancer",2,"15",1
"Central Coast","Lung Cancer",2,"30",1
"Central Coast","Lung Cancer",2,"45",1.53195931862548
"Central Coast","Lung Cancer",2,"5",1
"Central Coast","Lung Cancer",2,"60",1.00699715725689
"Central Coast","Lung Cancer",2,"70",1.12644525511836
"Central Coast","Lung Cancer",2,"80",1.29504368504021
"Central Coast","Lung Cancer",2,"NA",1
"Central Coast","Other",1,"0",1.10118332627096
"Central Coast","Other",1,"15",0.976637776223602
"Central Coast","Other",1,"30",1.27946129996274
"Central Coast","Other",1,"45",1.56295126262191
"Central Coast","Other",1,"5",1
"Central Coast","Other",1,"60",1.50978084931296
"Central Coast","Other",1,"70",1.17797507050707
"Central Coast","Other",1,"80",0.994564035521179
"Central Coast","Other",1,"NA",1
"Central Coast","Other",2,"0",0.967687473224141
"Central Coast","Other",2,"15",0.437327492037541
"Central Coast","Other",2,"30",1.15742728346034
"Central Coast","Other",2,"45",1.442595025039
"Central Coast","Other",2,"5",1
"Central Coast","Other",2,"60",1.37416815262644
"Central Coast","Other",2,"70",1.49436611148295
"Central Coast","Other",2,"80",0.979765909482771
"Central Coast","Other",2,"NA",1
"Central Coast","Respiratory diseases",1,"0",1
"Central Coast","Respiratory diseases",1,"15",1
"Central Coast","Respiratory diseases",1,"30",1
"Central Coast","Respiratory diseases",1,"45",1.92022871321844
"Central Coast","Respiratory diseases",1,"5",1
"Central Coast","Respiratory diseases",1,"60",1.86027250611392
"Central Coast","Respiratory diseases",1,"70",1.21649653015872
"Central Coast","Respiratory diseases",1,"80",1.35290970763798
"Central Coast","Respiratory diseases",1,"NA",1
"Central Coast","Respiratory diseases",2,"0",1
"Central Coast","Respiratory diseases",2,"15",1
"Central Coast","Respiratory diseases",2,"30",1
"Central Coast","Respiratory diseases",2,"45",3.11417338738577
"Central Coast","Respiratory diseases",2,"5",1
"Central Coast","Respiratory diseases",2,"60",1
"Central Coast","Respiratory diseases",2,"70",2.16394219060975
"Central Coast","Respiratory diseases",2,"80",1.10465935592716
"Central Coast","Respiratory diseases",2,"NA",1
"Central Coast","Road Traffic Injuries",1,"0",1
"Central Coast","Road Traffic Injuries",1,"15",0.516245885679848
"Central Coast","Road Traffic Injuries",1,"30",0.958580529495891
"Central Coast","Road Traffic Injuries",1,"45",1
"Central Coast","Road Traffic Injuries",1,"5",1
"Central Coast","Road Traffic Injuries",1,"60",1
"Central Coast","Road Traffic Injuries",1,"70",1
"Central Coast","Road Traffic Injuries",1,"80",1
"Central Coast","Road Traffic Injuries",1,"NA",1
"Central Coast","Road Traffic Injuries",2,"0",1
"Central Coast","Road Traffic Injuries",2,"15",0.885330486826839
"Central Coast","Road Traffic Injuries",2,"30",1
"Central Coast","Road Traffic Injuries",2,"45",1
"Central Coast","Road Traffic Injuries",2,"5",1
"Central Coast","Road Traffic Injuries",2,"60",1
"Central Coast","Road Traffic Injuries",2,"70",1
"Central Coast","Road Traffic Injuries",2,"80",1
"Central Coast","Road Traffic Injuries",2,"NA",1
"Central Coast","Stroke",1,"0",1
"Central Coast","Stroke",1,"15",1
"Central Coast","Stroke",1,"30",1
"Central Coast","Stroke",1,"45",1.58260608232289
"Central Coast","Stroke",1,"5",1
"Central Coast","Stroke",1,"60",2.18969576240493
"Central Coast","Stroke",1,"70",1.38372381597569
"Central Coast","Stroke",1,"80",1.04493648119048
"Central Coast","Stroke",1,"NA",1
"Central Coast","Stroke",2,"0",1
"Central Coast","Stroke",2,"15",1
"Central Coast","Stroke",2,"30",1
"Central Coast","Stroke",2,"45",2.05520387128843
"Central Coast","Stroke",2,"5",1
"Central Coast","Stroke",2,"60",1.68355522427204
"Central Coast","Stroke",2,"70",1.71986620228284
"Central Coast","Stroke",2,"80",1.09316835122206
"Central Coast","Stroke",2,"NA",1
"Other","Acute resp infections",1,"0",1
"Other","Acute resp infections",2,"0",1
"Other","All Causes",1,"0",1.17011128775835
"Other","All Causes",1,"15",1.07273279622238
"Other","All Causes",1,"30",1.26758078709862
"Other","All Causes",1,"45",1.33826716488695
"Other","All Causes",1,"5",1.0129571946951
"Other","All Causes",1,"60",1.30673283444646
"Other","All Causes",1,"70",1.10572849805319
"Other","All Causes",1,"80",1.07230602665321
"Other","All Causes",1,"NA",1
"Other","All Causes",2,"0",1.23708939985532
"Other","All Causes",2,"15",1.02924624687914
"Other","All Causes",2,"30",1.18623066155485
"Other","All Causes",2,"45",1.28173081322606
"Other","All Causes",2,"5",1.00690670448854
"Other","All Causes",2,"60",1.26550841456128
"Other","All Causes",2,"70",1.18026028347822
"Other","All Causes",2,"80",1.06627363993512
"Other","All Causes",2,"NA",1
"Other","Breast Cancer",1,"0",1
"Other","Breast Cancer",1,"15",1
"Other","Breast Cancer",1,"30",1
"Other","Breast Cancer",1,"45",1
"Other","Breast Cancer",1,"5",1
"Other","Breast Cancer",1,"60",1
"Other","Breast Cancer",1,"70",1
"Other","Breast Cancer",1,"80",1
"Other","Breast Cancer",1,"NA",1
"Other","Breast Cancer",2,"0",1
"Other","Breast Cancer",2,"15",1
"Other","Breast Cancer",2,"30",1
"Other","Breast Cancer",2,"45",1.04531377697098
"Other","Breast Cancer",2,"5",1
"Other","Breast Cancer",2,"60",1.10785764660626
"Other","Breast Cancer",2,"70",1.01428155306535
"Other","Breast Cancer",2,"80",0.976624209264215
"Other","Breast Cancer",2,"NA",1
"Other","Colon Cancer",1,"0",1
"Other","Colon Cancer",1,"15",1
"Other","Colon Cancer",1,"30",1
"Other","Colon Cancer",1,"45",1.07906369800577
"Other","Colon Cancer",1,"5",1
"Other","Colon Cancer",1,"60",1.28474283880286
"Other","Colon Cancer",1,"70",1.10083583096297
"Other","Colon Cancer",1,"80",1.0891149870801
"Other","Colon Cancer",1,"NA",1
"Other","Colon Cancer",2,"0",1
"Other","Colon Cancer",2,"15",1
"Other","Colon Cancer",2,"30",1
"Other","Colon Cancer",2,"45",1.00691449536797
"Other","Colon Cancer",2,"5",1
"Other","Colon Cancer",2,"60",1.40785452143792
"Other","Colon Cancer",2,"70",1.3051786293279
"Other","Colon Cancer",2,"80",1.16041082960129
"Other","Colon Cancer",2,"NA",1
"Other","Dementia",1,"0",1
"Other","Dementia",1,"15",1
"Other","Dementia",1,"30",1
"Other","Dementia",1,"45",1
"Other","Dementia",1,"5",1
"Other","Dementia",1,"60",0.991731314163608
"Other","Dementia",1,"70",1.08570477924761
"Other","Dementia",1,"80",1.05226523187814
"Other","Dementia",1,"NA",1
"Other","Dementia",2,"0",1
"Other","Dementia",2,"15",1
"Other","Dementia",2,"30",1
"Other","Dementia",2,"45",1
"Other","Dementia",2,"5",1
"Other","Dementia",2,"60",0.970323021856507
"Other","Dementia",2,"70",1.14132894438845
"Other","Dementia",2,"80",1.08625282351589
"Other","Dementia",2,"NA",1
"Other","Depression",1,"0",1
"Other","Depression",1,"15",1
"Other","Depression",1,"30",1
"Other","Depression",1,"45",1
"Other","Depression",1,"5",1
"Other","Depression",1,"60",1
"Other","Depression",1,"70",1
"Other","Depression",1,"80",1
"Other","Depression",1,"NA",1
"Other","Depression",2,"0",1
"Other","Depression",2,"15",1
"Other","Depression",2,"30",1
"Other","Depression",2,"45",1
"Other","Depression",2,"5",1
"Other","Depression",2,"60",1
"Other","Depression",2,"70",1
"Other","Depression",2,"80",1
"Other","Depression",2,"NA",1
"Other","Diabetes",1,"0",1
"Other","Diabetes",1,"15",1
"Other","Diabetes",1,"30",1.11923033958892
"Other","Diabetes",1,"45",1.43734519304255
"Other","Diabetes",1,"5",1
"Other","Diabetes",1,"60",1.50090591961731
"Other","Diabetes",1,"70",1.24471407026816
"Other","Diabetes",1,"80",1.16317208850975
"Other","Diabetes",1,"NA",1
"Other","Diabetes",2,"0",1
"Other","Diabetes",2,"15",1
"Other","Diabetes",2,"30",1
"Other","Diabetes",2,"45",1.3313647216532
"Other","Diabetes",2,"5",1
"Other","Diabetes",2,"60",1.47829127047797
"Other","Diabetes",2,"70",1.33236985077224
"Other","Diabetes",2,"80",1.11150462605487
"Other","Diabetes",2,"NA",1
"Other","Hypertensive Heart Disease",1,"0",1
"Other","Hypertensive Heart Disease",1,"15",1
"Other","Hypertensive Heart Disease",1,"30",1.3430764075067
"Other","Hypertensive Heart Disease",1,"45",1.60995984885914
"Other","Hypertensive Heart Disease",1,"5",1
